Frequencies for trace parameter:	HRAng
Analyzed image:	\Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	16.0	2259.730801560923	23.0	1978.0789966773632	26.662201290982676
1-201	15.0	2389.646154748059	23.0	2028.7864617462933	26.507058943639365
2-202	15.0	2423.7077858237662	18.0	1971.9082131394566	25.46726472550438
3-203	16.0	2451.1520194917907	18.0	1979.3702672977513	25.68026199046334
4-204	16.0	2637.165969928379	9.0	1870.847702462998	25.87475864240641
5-205	16.0	2852.9825920211474	9.0	1936.5694127089814	25.891785271662048
6-206	16.0	2932.7214379335837	9.0	1954.8977612048368	24.855151910869083
7-207	16.0	2953.9415916378794	9.0	1963.0782945112767	25.220518403206924
8-208	16.0	2885.1493383715974	9.0	1905.3727559634783	25.482252796824252
9-209	16.0	2718.185793361263	23.0	1975.3105089013306	25.886480065915986
10-210	16.0	2575.1861658927446	23.0	1965.7540837521642	25.40999340653985
11-211	16.0	2371.2722745534184	10.0	1900.4088414611265	25.407837918344697
12-212	4.0	2459.132525903091	16.0	2269.132593922486	25.824575864027498
13-213	4.0	2454.375093652894	15.0	2394.554688771729	25.43028103490393
14-214	15.0	2571.3485440228565	4.0	2441.359397683656	25.592507386137903
15-215	15.0	2654.704626241938	4.0	2419.2411350981893	25.53729794146946
16-216	16.0	2711.631753645176	4.0	2393.7620348641994	25.547137072457218
17-217	16.0	2924.3028559449363	4.0	2357.4046394686115	25.453533855542418
18-218	16.0	3107.3998936277526	4.0	2305.6673267145457	25.69649685174831
19-219	16.0	3128.239201363269	23.0	1905.9570589218579	24.74002382804513
20-220	16.0	3032.220286127465	6.0	1874.4412102150452	24.811847306749677
21-221	16.0	3040.498399608769	6.0	1877.8323531011479	25.098568398262554
22-222	16.0	2860.134127285422	7.0	1856.9207159114765	25.058979033825967
23-223	16.0	2639.096681029324	7.0	1900.4279031063438	25.3341797572514
24-224	16.0	2423.809827273633	8.0	1919.5441111865239	24.96654953262554
25-225	16.0	2399.7622497559796	23.0	1972.9310145414697	24.81213272205582
26-226	16.0	2418.359565036902	23.0	2050.0391026710463	25.297743732985126
27-227	16.0	2569.877900728326	23.0	2115.4729761144013	25.487437711900398
28-228	16.0	2772.157465814154	23.0	2047.2806477083263	25.613896305824206
29-229	16.0	2984.8661573153336	9.0	1966.7793071727176	25.850727857908613
30-230	16.0	3155.3371255305137	9.0	1877.5938097382293	25.61177335126677
31-231	16.0	3222.637902670385	9.0	1778.7257749034277	25.58861258360769
