Frequencies for trace parameter:	HRMaxInt
Analyzed image:	\Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725_f.tif

t [frame]	Primary freq.	Amplitude of primary freq. peak in FFT	Secondary freq.	Amplitude of secondary freq. peak in FFT	COM freq.
0-200	17.0	1286.7809181179314	14.0	1226.046126082501	16.886280539873635
1-201	15.0	1279.5483875183472	4.0	1165.1854841790382	16.944009544795083
2-202	15.0	1281.4123691835644	4.0	1196.0659513916567	16.42608971272471
3-203	15.0	1252.8324109933014	4.0	1216.0432188497307	16.546052779314778
4-204	16.0	1232.2666291000007	4.0	1231.3690632563769	16.412510577728924
5-205	16.0	1297.730954036772	4.0	1244.001545234384	16.51211337464237
6-206	16.0	1326.7007724288726	4.0	1252.4931027327818	16.305221244243807
7-207	16.0	1316.540181855899	4.0	1256.9979254187012	16.586090281326232
8-208	17.0	1335.1273917621627	4.0	1257.2933964899275	16.555357074726842
9-209	17.0	1374.531783160838	14.0	1251.7365503054905	16.635099350757155
10-210	17.0	1355.7894031369353	14.0	1340.6146416583188	16.796132452510896
11-211	14.0	1383.5707452843903	17.0	1281.1242833042907	16.887592173123956
12-212	14.0	1379.3643505213515	4.0	1215.5622209259177	16.589345604774305
13-213	15.0	1358.304424787649	4.0	1199.7890027647898	16.692298468604427
14-214	15.0	1421.0348338644385	4.0	1182.3060300851032	16.19668760329146
15-215	15.0	1436.9408592813238	4.0	1164.18811224544	16.695699815363525
16-216	15.0	1407.0207506906956	4.0	1141.6067420172042	16.343756754284623
17-217	15.0	1327.4792843181642	7.0	1100.7909142106575	16.453200141808008
18-218	16.0	1313.9534298125207	7.0	1148.0899919618812	16.465058071009032
19-219	16.0	1306.2470185307156	7.0	1182.704684163135	16.013246583067613
20-220	17.0	1313.1755098460096	7.0	1195.3051300236064	15.945417744590038
21-221	17.0	1335.9705134931967	7.0	1199.1842221013121	16.192461357906897
22-222	17.0	1309.2081185344846	8.0	1213.4537789957187	16.333522715153475
