This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv:
Results Amplitude:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	0.274063
0.550000	0.265107
1.100000	0.254144
1.650000	0.237462
2.200000	0.228866
2.750000	0.221698
3.300000	0.211985
3.850000	0.200163
4.400000	0.190790
4.950000	0.181078
5.500000	0.175980
6.050000	0.177444
6.600000	0.178539
7.150000	0.169370
7.700000	0.164715
8.250000	0.170408
8.800000	0.168225
9.350000	0.158421
9.900000	0.146086
10.450000	0.141890
11.000000	0.148020
11.550000	0.153834
12.100000	0.152764
12.650000	0.148196
13.200000	0.142294
13.750000	0.142798
14.300000	0.135715
14.850000	0.135071
15.400000	0.139856
15.950000	0.154893
16.500000	0.155156
17.050000	0.131647
17.600000	0.121019
18.150000	0.127194
18.700000	0.115898
19.250000	0.116779
19.800000	0.117344
20.350000	0.114349
20.900000	0.107267
21.450000	0.116370
22.000000	0.126746
22.550000	0.127883
23.100000	0.124000
23.650000	0.122175
24.200000	0.132154
24.750000	0.130665
25.300000	0.136063
25.850000	0.134619
26.400000	0.142085
26.950000	0.146481
27.500000	0.153828
28.050000	0.152408
28.600000	0.151803
29.150000	0.147729
29.700000	0.117827
30.250000	0.122290
30.800000	0.124962
31.350000	0.136740
31.900000	0.143309
32.450000	0.135827
33.000000	0.136399
33.550000	0.141053
34.100000	0.132263
34.650000	0.129086
35.200000	0.129428
35.750000	0.119590
36.300000	0.118364
36.850000	0.119045
37.400000	0.121263
37.950000	0.126487
38.500000	0.132730
39.050000	0.131445
39.600000	0.141160
40.150000	0.145741
40.700000	0.142191
41.250000	0.137480
41.800000	0.131709
42.350000	0.135062
42.900000	0.137995
43.450000	0.149784
44.000000	0.153215
44.550000	0.153083
45.100000	0.152286
45.650000	0.154013
46.200000	0.155248
46.750000	0.153384
47.300000	0.142917
47.850000	0.144576
48.400000	0.142320
48.950000	0.135865
49.500000	0.141680
50.050000	0.136418
50.600000	0.137285
51.150000	0.141305
51.700000	0.144468
52.250000	0.148064
52.800000	0.152152
53.350000	0.150817
53.900000	0.150478
54.450000	0.150683
55.000000	0.149654
55.550000	0.149267
56.100000	0.144589
56.650000	0.146160
57.200000	0.150399
57.750000	0.145330
58.300000	0.144587
58.850000	0.145253
59.400000	0.145402
59.950000	0.153945
60.500000	0.149115
61.050000	0.147286
61.600000	0.143081
62.150000	0.125744
62.700000	0.141134
63.250000	0.143883
63.800000	0.123946
64.350000	0.140018
64.900000	0.138922
65.450000	0.137103
66.000000	0.139268
66.550000	0.139773
67.100000	0.138840
67.650000	0.140409
68.200000	0.144978
68.750000	0.142444
69.300000	0.144464
69.850000	0.148788
70.400000	0.147969
70.950000	0.145625
71.500000	0.137900
72.050000	0.133697
72.600000	0.123792
73.150000	0.132409
73.700000	0.136245
74.250000	0.142456
74.800000	0.136194
75.350000	0.133516
75.900000	0.131455
76.450000	0.132662
77.000000	0.127885
77.550000	0.132372
78.100000	0.136219
78.650000	0.143250
79.200000	0.147312
79.750000	0.143095
80.300000	0.151146
80.850000	0.160991
81.400000	0.160896
81.950000	0.157176
82.500000	0.151456
83.050000	0.150788
83.600000	0.152485
84.150000	0.145669
84.700000	0.137240
85.250000	0.133578
85.800000	0.137064
86.350000	0.130123
86.900000	0.133508
87.450000	0.126884
88.000000	0.122456
88.550000	0.120930
89.100000	0.113304
89.650000	0.117054
90.200000	0.123690
90.750000	0.123635
