This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	1.920797
0.550000	1.882839
1.100000	1.846626
1.650000	1.739126
2.200000	1.694638
2.750000	1.635878
3.300000	1.575979
3.850000	1.524127
4.400000	1.475463
4.950000	1.455421
5.500000	1.429002
6.050000	1.381629
6.600000	1.336078
7.150000	1.231008
7.700000	1.203374
8.250000	1.159645
8.800000	1.117283
9.350000	1.101720
9.900000	1.103314
10.450000	1.118346
11.000000	1.149624
11.550000	1.154559
12.100000	1.152129
12.650000	1.134061
13.200000	1.124419
13.750000	1.105668
14.300000	1.082209
14.850000	1.070062
15.400000	1.058826
15.950000	1.047287
16.500000	1.037797
17.050000	0.998320
17.600000	0.991411
18.150000	0.994600
18.700000	0.996042
19.250000	0.999534
19.800000	0.982225
20.350000	0.962183
20.900000	0.957704
21.450000	0.936902
22.000000	0.910635
22.550000	0.882393
23.100000	0.862806
23.650000	0.857644
24.200000	0.850508
24.750000	0.864097
25.300000	0.859010
25.850000	0.858783
26.400000	0.866906
26.950000	0.889074
27.500000	0.905320
28.050000	0.937889
28.600000	0.950416
29.150000	0.960209
29.700000	0.972811
30.250000	0.978581
30.800000	0.987767
31.350000	1.006973
31.900000	0.997030
32.450000	0.972382
33.000000	0.966171
33.550000	0.930102
34.100000	0.912698
34.650000	0.891402
35.200000	0.880214
35.750000	0.886811
36.300000	0.906296
36.850000	0.912113
37.400000	0.961009
37.950000	0.974452
38.500000	1.003202
39.050000	1.041046
39.600000	1.085805
40.150000	1.091404
40.700000	1.095322
41.250000	1.098313
41.800000	1.102450
42.350000	1.165767
42.900000	1.188321
43.450000	1.238811
44.000000	1.283447
44.550000	1.283128
45.100000	1.291139
45.650000	1.296129
46.200000	1.308060
46.750000	1.323631
47.300000	1.325456
47.850000	1.379818
48.400000	1.420669
48.950000	1.424661
49.500000	1.421937
50.050000	1.415374
50.600000	1.291582
51.150000	1.297411
51.700000	1.250816
52.250000	1.205267
52.800000	1.159372
53.350000	1.120763
53.900000	1.105157
54.450000	1.111515
55.000000	1.114636
55.550000	1.123191
56.100000	1.160754
56.650000	1.160180
57.200000	1.169628
57.750000	1.162380
58.300000	1.148073
58.850000	1.141031
59.400000	1.109377
59.950000	1.113233
60.500000	1.103571
61.050000	1.097133
61.600000	1.082823
62.150000	1.064643
62.700000	1.079114
63.250000	1.094839
63.800000	1.131667
64.350000	1.205500
64.900000	1.252921
65.450000	1.278648
66.000000	1.279133
66.550000	1.267870
67.100000	1.262628
67.650000	1.258526
68.200000	1.254354
68.750000	1.222102
69.300000	1.196983
69.850000	1.160084
70.400000	1.139334
70.950000	1.107939
71.500000	1.113815
72.050000	1.089606
72.600000	1.065510
73.150000	1.060936
73.700000	1.049635
74.250000	1.039020
74.800000	1.028305
75.350000	0.935871
75.900000	0.936222
76.450000	0.944761
77.000000	0.943908
77.550000	0.936906
78.100000	0.926052
78.650000	0.926679
79.200000	0.943363
79.750000	0.969931
80.300000	1.022798
80.850000	1.079084
81.400000	1.093872
81.950000	1.096443
82.500000	1.068724
83.050000	1.050704
83.600000	1.048312
84.150000	1.040477
84.700000	1.034274
85.250000	1.028998
85.800000	1.029293
86.350000	1.037003
86.900000	1.037163
87.450000	1.015405
88.000000	1.012213
88.550000	1.033175
89.100000	1.075876
89.650000	1.099832
90.200000	1.161108
90.750000	1.211915
91.300000	1.200413
91.850000	1.198217
92.400000	1.156350
92.950000	1.119266
93.500000	1.111136
94.050000	1.075704
94.600000	1.038047
95.150000	0.980470
95.700000	0.966756
96.250000	0.950783
96.800000	0.950001
97.350000	0.950588
97.900000	0.962487
98.450000	0.957931
99.000000	0.984006
99.550000	0.977678
100.100000	0.980355
100.650000	1.006609
101.200000	1.075419
101.750000	1.081422
102.300000	1.105260
102.850000	1.171555
103.400000	1.199989
103.950000	1.180406
104.500000	1.142666
105.050000	1.172720
105.600000	1.188445
106.150000	1.220759
106.700000	1.220759
107.250000	1.220759
107.800000	1.227042
108.350000	1.180067
108.900000	1.180067
109.450000	1.220759
110.000000	1.188333
110.550000	1.188333
