This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	1.814285
0.550000	1.747325
1.100000	1.682415
1.650000	1.582128
2.200000	1.526252
2.750000	1.473793
3.300000	1.437808
3.850000	1.414729
4.400000	1.374037
4.950000	1.359081
5.500000	1.334332
6.050000	1.275724
6.600000	1.233817
7.150000	1.151142
7.700000	1.102327
8.250000	1.065279
8.800000	1.047211
9.350000	1.008569
9.900000	1.002723
10.450000	1.005987
11.000000	1.012516
11.550000	1.010467
12.100000	0.992170
12.650000	0.975924
13.200000	0.957856
13.750000	0.940774
14.300000	0.934701
14.850000	0.927109
15.400000	0.926957
15.950000	0.924831
16.500000	0.913444
17.050000	0.909800
17.600000	0.908737
18.150000	0.916708
18.700000	0.916784
19.250000	0.916101
19.800000	0.907750
20.350000	0.884595
20.900000	0.871916
21.450000	0.855063
22.000000	0.840562
22.550000	0.833426
23.100000	0.821355
23.650000	0.813156
24.200000	0.811182
24.750000	0.816724
25.300000	0.809740
25.850000	0.799415
26.400000	0.781954
26.950000	0.784839
27.500000	0.793569
28.050000	0.807538
28.600000	0.814599
29.150000	0.849673
29.700000	0.880343
30.250000	0.886113
30.800000	0.892111
31.350000	0.885817
31.900000	0.872796
32.450000	0.875738
33.000000	0.869395
33.550000	0.848314
34.100000	0.837385
34.650000	0.818816
35.200000	0.816174
35.750000	0.813783
36.300000	0.829239
36.850000	0.828734
37.400000	0.853938
37.950000	0.862549
38.500000	0.883306
39.050000	0.918534
39.600000	0.940884
40.150000	0.941265
40.700000	0.943091
41.250000	0.946643
41.800000	0.954587
42.350000	0.981022
42.900000	0.993882
43.450000	1.025079
44.000000	1.065174
44.550000	1.104111
45.100000	1.134600
45.650000	1.138585
46.200000	1.163769
46.750000	1.165638
47.300000	1.167563
47.850000	1.179007
48.400000	1.205609
48.950000	1.191678
49.500000	1.172961
50.050000	1.135579
50.600000	1.127688
51.150000	1.123169
51.700000	1.116370
52.250000	1.074221
52.800000	1.042887
53.350000	1.024467
53.900000	1.013600
54.450000	1.022617
55.000000	1.026779
55.550000	1.034639
56.100000	1.051987
56.650000	1.044300
57.200000	1.039012
57.750000	1.010363
58.300000	0.991983
58.850000	0.987490
59.400000	1.004002
59.950000	1.004051
60.500000	0.990913
61.050000	0.978395
61.600000	0.965193
62.150000	0.957826
62.700000	0.980917
63.250000	0.995944
63.800000	0.995388
64.350000	1.004661
64.900000	1.012878
65.450000	1.038251
66.000000	1.035344
66.550000	1.027593
67.100000	1.023268
67.650000	1.023276
68.200000	1.044536
68.750000	1.047289
69.300000	1.043678
69.850000	1.027714
70.400000	0.983810
70.950000	0.958346
71.500000	0.950030
72.050000	0.917016
72.600000	0.910262
73.150000	0.925207
73.700000	0.934235
74.250000	0.937153
74.800000	0.936485
75.350000	0.896329
75.900000	0.895311
76.450000	0.894604
77.000000	0.873061
77.550000	0.869791
78.100000	0.867800
78.650000	0.872468
79.200000	0.885050
79.750000	0.912708
80.300000	0.968084
80.850000	1.014826
81.400000	1.012763
81.950000	1.010346
82.500000	0.981927
83.050000	0.979542
83.600000	0.979570
84.150000	0.981484
84.700000	0.981575
85.250000	0.973725
85.800000	0.957975
86.350000	0.957975
86.900000	0.949622
87.450000	0.931965
88.000000	0.934110
88.550000	0.937919
89.100000	0.988257
89.650000	1.016151
90.200000	1.037992
90.750000	1.073366
91.300000	1.081494
91.850000	1.079609
92.400000	1.042259
92.950000	1.003045
93.500000	0.974502
94.050000	0.967272
94.600000	0.960745
95.150000	0.924841
95.700000	0.905718
96.250000	0.879377
96.800000	0.863922
97.350000	0.863139
97.900000	0.860453
98.450000	0.888467
99.000000	0.901928
99.550000	0.904325
100.100000	0.905932
100.650000	0.909879
101.200000	0.946839
101.750000	0.958346
102.300000	0.968714
102.850000	0.976919
103.400000	0.977879
103.950000	0.995258
104.500000	1.000843
105.050000	0.990171
105.600000	0.968529
106.150000	1.037645
106.700000	1.073251
107.250000	1.093597
107.800000	1.191138
108.350000	1.103770
108.900000	1.103770
109.450000	1.077065
110.000000	1.056720
110.550000	1.056720
