This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	42.392593
0.550000	42.034527
1.100000	40.293114
1.650000	35.546864
2.200000	35.300625
2.750000	39.305573
3.300000	43.350254
3.850000	42.083992
4.400000	38.790627
4.950000	38.382736
5.500000	37.651360
6.050000	37.178776
6.600000	37.362911
7.150000	38.601753
7.700000	39.248859
8.250000	38.791096
8.800000	37.214039
9.350000	37.154320
9.900000	38.248882
10.450000	36.895645
11.000000	40.686790
11.550000	38.905807
12.100000	38.283947
12.650000	32.885864
13.200000	30.517557
13.750000	31.895586
14.300000	36.263660
14.850000	38.985046
15.400000	54.029778
15.950000	52.228733
16.500000	47.407913
17.050000	34.005280
17.600000	30.363142
18.150000	27.144320
18.700000	25.069859
19.250000	25.214121
19.800000	25.044809
20.350000	26.412884
20.900000	27.193964
21.450000	29.000053
22.000000	32.537510
22.550000	34.965553
23.100000	39.846107
23.650000	41.557625
24.200000	45.522675
24.750000	46.278843
25.300000	47.403198
25.850000	46.801128
26.400000	48.288734
26.950000	58.925610
27.500000	62.233971
28.050000	62.487720
28.600000	57.930435
29.150000	55.636868
29.700000	54.079708
30.250000	53.811062
30.800000	50.567223
31.350000	50.577984
31.900000	47.338451
32.450000	43.156479
33.000000	42.930180
33.550000	44.515987
34.100000	44.782295
34.650000	43.373051
35.200000	42.065601
35.750000	34.016479
36.300000	30.801096
36.850000	30.408833
37.400000	26.766937
37.950000	24.503063
38.500000	21.942911
39.050000	17.428507
39.600000	18.005594
40.150000	22.976690
40.700000	25.464096
41.250000	34.818100
41.800000	48.784882
42.350000	50.157211
42.900000	49.584911
43.450000	37.496380
44.000000	18.340782
44.550000	15.412292
45.100000	11.608505
45.650000	12.104390
46.200000	11.770191
46.750000	12.004942
47.300000	10.378362
47.850000	9.229183
48.400000	8.456869
48.950000	9.398571
49.500000	9.452236
50.050000	10.294741
50.600000	15.053422
51.150000	16.364305
51.700000	17.598471
52.250000	19.702190
52.800000	24.064772
53.350000	30.460335
53.900000	34.037979
54.450000	41.523174
55.000000	41.280704
55.550000	40.932228
56.100000	43.489166
56.650000	42.654568
57.200000	51.500401
57.750000	45.447269
58.300000	41.984970
58.850000	15.604840
59.400000	15.338861
59.950000	14.876353
60.500000	15.211584
61.050000	16.125683
61.600000	15.725040
62.150000	16.454199
62.700000	16.981316
63.250000	16.389681
63.800000	14.361558
64.350000	13.638628
64.900000	12.961691
65.450000	13.849607
66.000000	14.044024
66.550000	14.091598
67.100000	13.306038
67.650000	11.217022
68.200000	9.726122
68.750000	9.720325
69.300000	10.147507
69.850000	10.587654
70.400000	11.064414
70.950000	12.381494
71.500000	11.554418
72.050000	12.482942
72.600000	22.652075
73.150000	26.297966
73.700000	26.955067
74.250000	27.071808
74.800000	30.232405
75.350000	39.208405
75.900000	43.585838
76.450000	51.564987
77.000000	57.928421
77.550000	57.690083
78.100000	51.312840
78.650000	42.412045
79.200000	41.517727
79.750000	35.866188
80.300000	34.554031
80.850000	34.697292
81.400000	34.263523
81.950000	33.555073
82.500000	33.027561
83.050000	34.153927
83.600000	36.286381
84.150000	37.133896
84.700000	38.662575
85.250000	40.410805
85.800000	40.920635
86.350000	44.204617
86.900000	45.751862
87.450000	46.525631
88.000000	41.918468
88.550000	35.347935
89.100000	35.209229
89.650000	34.929695
90.200000	30.295103
90.750000	28.681406
91.300000	25.114431
91.850000	28.209692
92.400000	23.790075
92.950000	24.493586
93.500000	20.947639
94.050000	20.587673
94.600000	14.920468
95.150000	12.163757
95.700000	11.916829
96.250000	11.877393
96.800000	13.599322
97.350000	15.804662
97.900000	16.791197
98.450000	17.895628
99.000000	18.333406
99.550000	19.772070
100.100000	20.385897
100.650000	27.338717
101.200000	29.196577
101.750000	29.729383
102.300000	27.473934
102.850000	23.193485
103.400000	18.277712
103.950000	15.072253
104.500000	14.852964
105.050000	15.666737
105.600000	13.941437
106.150000	12.000728
106.700000	12.000728
107.250000	12.000728
107.800000	9.411844
108.350000	12.000728
108.900000	11.333679
109.450000	9.500056
110.000000	11.500315
110.550000	11.500315
