This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	2.227885
0.550000	2.197366
1.100000	2.182107
1.650000	2.121069
2.200000	2.105809
2.750000	2.029512
3.300000	1.922695
3.850000	1.846398
4.400000	1.846398
4.950000	1.800619
5.500000	1.724322
6.050000	1.709063
6.600000	1.617506
7.150000	1.449651
7.700000	1.403873
8.250000	1.388613
8.800000	1.297056
9.350000	1.266537
9.900000	1.281797
10.450000	1.297056
11.000000	1.327575
11.550000	1.327575
12.100000	1.327575
12.650000	1.297056
13.200000	1.297056
13.750000	1.266537
14.300000	1.220759
14.850000	1.205500
15.400000	1.266537
15.950000	1.266537
16.500000	1.266537
17.050000	1.236019
17.600000	1.236019
18.150000	1.236019
18.700000	1.236019
19.250000	1.236019
19.800000	1.312316
20.350000	1.312316
20.900000	1.312316
21.450000	1.251278
22.000000	1.174981
22.550000	1.113943
23.100000	1.052905
23.650000	1.007126
24.200000	0.961348
24.750000	0.976607
25.300000	0.991867
25.850000	1.022386
26.400000	1.037645
26.950000	1.098683
27.500000	1.144462
28.050000	1.205500
28.600000	1.220759
29.150000	1.220759
29.700000	1.220759
30.250000	1.220759
30.800000	1.220759
31.350000	1.190240
31.900000	1.129202
32.450000	1.083424
33.000000	1.068164
33.550000	1.037645
34.100000	1.022386
34.650000	1.007126
35.200000	1.007126
35.750000	1.022386
36.300000	1.098683
36.850000	1.098683
37.400000	1.220759
37.950000	1.220759
38.500000	1.220759
39.050000	1.205500
39.600000	1.373354
40.150000	1.373354
40.700000	1.373354
41.250000	1.403873
41.800000	1.403873
42.350000	1.480170
42.900000	1.480170
43.450000	1.480170
44.000000	1.480170
44.550000	1.495430
45.100000	1.510689
45.650000	1.541208
46.200000	1.541208
46.750000	1.541208
47.300000	1.495430
47.850000	1.556468
48.400000	1.602246
48.950000	1.602246
49.500000	1.602246
50.050000	1.586987
50.600000	1.510689
51.150000	1.785360
51.700000	1.785360
52.250000	1.785360
52.800000	1.556468
53.350000	1.525949
53.900000	1.373354
54.450000	1.373354
55.000000	1.373354
55.550000	1.373354
56.100000	1.388613
56.650000	1.388613
57.200000	1.449651
57.750000	1.388613
58.300000	1.388613
58.850000	1.388613
59.400000	1.358094
59.950000	1.358094
60.500000	1.342835
61.050000	1.312316
61.600000	1.312316
62.150000	1.236019
62.700000	1.236019
63.250000	1.236019
63.800000	1.312316
64.350000	1.419132
64.900000	1.464911
65.450000	1.464911
66.000000	1.464911
66.550000	1.449651
67.100000	1.449651
67.650000	1.449651
68.200000	1.388613
68.750000	1.388613
69.300000	1.388613
69.850000	1.327575
70.400000	1.266537
70.950000	1.266537
71.500000	1.281797
72.050000	1.373354
72.600000	1.373354
73.150000	1.373354
73.700000	1.373354
74.250000	1.358094
74.800000	1.342835
75.350000	1.022386
75.900000	1.022386
76.450000	1.022386
77.000000	1.022386
77.550000	1.022386
78.100000	1.022386
78.650000	0.991867
79.200000	1.022386
79.750000	1.068164
80.300000	1.190240
80.850000	1.190240
81.400000	1.251278
81.950000	1.251278
82.500000	1.251278
83.050000	1.220759
83.600000	1.220759
84.150000	1.159721
84.700000	1.098683
85.250000	1.098683
85.800000	1.129202
86.350000	1.129202
86.900000	1.129202
87.450000	1.113943
88.000000	1.113943
88.550000	1.190240
89.100000	1.297056
89.650000	1.297056
90.200000	1.297056
90.750000	1.358094
91.300000	1.358094
91.850000	1.358094
92.400000	1.327575
92.950000	1.251278
93.500000	1.251278
94.050000	1.205500
94.600000	1.159721
95.150000	1.083424
95.700000	1.083424
96.250000	1.113943
96.800000	1.113943
97.350000	1.129202
97.900000	1.174981
98.450000	1.174981
99.000000	1.174981
99.550000	1.129202
100.100000	1.129202
100.650000	1.129202
101.200000	1.236019
101.750000	1.251278
102.300000	1.312316
102.850000	1.388613
103.400000	1.388613
103.950000	1.388613
104.500000	1.388613
105.050000	1.342835
105.600000	1.327575
106.150000	1.236019
106.700000	1.236019
107.250000	1.236019
107.800000	1.312316
108.350000	1.220759
108.900000	1.220759
109.450000	1.358094
110.000000	1.220759
110.550000	1.220759
