This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	51.323166
0.550000	51.034683
1.100000	50.746204
1.650000	50.746204
2.200000	50.746204
2.750000	51.004318
3.300000	51.004318
3.850000	51.004318
4.400000	49.792702
4.950000	49.012283
5.500000	48.827049
6.050000	48.180244
6.600000	48.180244
7.150000	48.283489
7.700000	48.842232
8.250000	48.842232
8.800000	48.842232
9.350000	48.842232
9.900000	49.844322
10.450000	50.144951
11.000000	50.867668
11.550000	51.465889
12.100000	51.465889
12.650000	51.465889
13.200000	51.450703
13.750000	51.304947
14.300000	50.952694
14.850000	50.396992
15.400000	49.662125
15.950000	49.525475
16.500000	49.519402
17.050000	49.519402
17.600000	49.504219
18.150000	49.094273
18.700000	48.984955
19.250000	48.984955
19.800000	49.073017
20.350000	49.567989
20.900000	49.567989
21.450000	49.923275
22.000000	49.923275
22.550000	49.999191
23.100000	50.491127
23.650000	50.976990
24.200000	51.131859
24.750000	51.213848
25.300000	51.213848
25.850000	51.213848
26.400000	51.031647
26.950000	50.169243
27.500000	50.169243
28.050000	50.169243
28.600000	49.607464
29.150000	49.531548
29.700000	49.531548
30.250000	49.531548
30.800000	49.507256
31.350000	49.586208
31.900000	49.662125
32.450000	49.662125
33.000000	49.662125
33.550000	49.543697
34.100000	49.328094
34.650000	49.176262
35.200000	49.176262
35.750000	48.945477
36.300000	48.043598
36.850000	48.043598
37.400000	48.043598
37.950000	47.940350
38.500000	48.149879
39.050000	48.918148
39.600000	48.918148
40.150000	48.918148
40.700000	48.866524
41.250000	48.447468
41.800000	48.155952
42.350000	47.894802
42.900000	47.524330
43.450000	47.062763
44.000000	46.935223
44.550000	46.883602
45.100000	46.883602
45.650000	46.883602
46.200000	47.715641
46.750000	47.715641
47.300000	47.715641
47.850000	47.636688
48.400000	47.281399
48.950000	47.281399
49.500000	47.281399
50.050000	47.600246
50.600000	47.934277
51.150000	47.934277
51.700000	47.934277
52.250000	47.660980
52.800000	47.697418
53.350000	47.697418
53.900000	47.697418
54.450000	47.752079
55.000000	47.752079
55.550000	47.752079
56.100000	47.824959
56.650000	48.028412
57.200000	48.080036
57.750000	48.757206
58.300000	48.757206
58.850000	48.757206
59.400000	48.462654
59.950000	48.690399
60.500000	48.690399
61.050000	48.690399
61.600000	48.672180
62.150000	47.627579
62.700000	47.627579
63.250000	47.545589
63.800000	47.545589
64.350000	47.244961
64.900000	46.838051
65.450000	46.838051
66.000000	46.838051
66.550000	46.838051
67.100000	46.838051
67.650000	46.838051
68.200000	47.879620
68.750000	47.882656
69.300000	48.034485
69.850000	48.034485
70.400000	48.617519
70.950000	49.355423
71.500000	49.358459
72.050000	49.671234
72.600000	49.999191
73.150000	49.999191
73.700000	49.999191
74.250000	49.057835
74.800000	49.057835
75.350000	49.057835
75.900000	49.139824
76.450000	49.139824
77.000000	49.139824
77.550000	49.240032
78.100000	49.334167
78.650000	49.334167
79.200000	49.334167
79.750000	48.918148
80.300000	47.670090
80.850000	47.296585
81.400000	47.296585
81.950000	46.865379
82.500000	46.850197
83.050000	45.729679
83.600000	44.572720
84.150000	43.634399
84.700000	43.634399
85.250000	43.634399
85.800000	44.013977
86.350000	44.536278
86.900000	44.688110
87.450000	44.760990
88.000000	44.879421
88.550000	44.909786
89.100000	44.909786
89.650000	44.909786
90.200000	44.354080
90.750000	44.278164
91.300000	43.634399
91.850000	43.634399
92.400000	43.634399
92.950000	44.095966
93.500000	44.262981
94.050000	44.344971
94.600000	44.344971
95.150000	45.395649
95.700000	45.738789
96.250000	45.738789
96.800000	45.738789
97.350000	45.152718
97.900000	44.050419
98.450000	44.050419
99.000000	44.050419
99.550000	44.511986
100.100000	45.456379
100.650000	45.860252
101.200000	45.456379
101.750000	45.456379
102.300000	45.432087
102.850000	44.797432
103.400000	43.467384
103.950000	43.467384
104.500000	43.467384
105.050000	43.467384
105.600000	43.467384
106.150000	42.993668
106.700000	42.987595
107.250000	42.589794
107.800000	42.614086
108.350000	41.542156
108.900000	41.211163
109.450000	41.156502
110.000000	41.065403
110.550000	41.065403
