This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	39.000488
0.550000	42.999741
1.100000	42.999741
1.650000	42.999741
2.200000	42.999741
2.750000	42.999741
3.300000	42.999741
3.850000	42.999741
4.400000	42.999741
4.950000	42.999741
5.500000	42.000687
6.050000	39.999542
6.600000	33.000092
7.150000	33.000092
7.700000	42.999741
8.250000	42.999741
8.800000	42.999741
9.350000	42.999741
9.900000	88.998734
10.450000	90.999878
11.000000	90.999878
11.550000	90.999878
12.100000	90.999878
12.650000	90.999878
13.200000	90.999878
13.750000	90.999878
14.300000	90.999878
14.850000	90.999878
15.400000	7.999451
15.950000	7.999451
16.500000	7.999451
17.050000	7.999451
17.600000	7.999451
18.150000	20.999298
18.700000	20.999298
19.250000	20.999298
19.800000	20.999298
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	7.000397
22.550000	20.999298
23.100000	20.999298
23.650000	40.998596
24.200000	40.998596
24.750000	52.999390
25.300000	54.001480
25.850000	54.001480
26.400000	54.001480
26.950000	54.001480
27.500000	54.001480
28.050000	54.001480
28.600000	54.001480
29.150000	54.001480
29.700000	54.001480
30.250000	54.001480
30.800000	54.001480
31.350000	54.001480
31.900000	54.001480
32.450000	54.001480
33.000000	54.001480
33.550000	54.001480
34.100000	54.001480
34.650000	54.001480
35.200000	32.001038
35.750000	30.998947
36.300000	30.998947
36.850000	30.998947
37.400000	13.999847
37.950000	11.998703
38.500000	7.000397
39.050000	7.000397
39.600000	7.000397
40.150000	7.000397
40.700000	7.000397
41.250000	7.000397
41.800000	7.000397
42.350000	7.000397
42.900000	7.000397
43.450000	7.000397
44.000000	7.999451
44.550000	7.999451
45.100000	7.999451
45.650000	7.999451
46.200000	7.999451
46.750000	7.999451
47.300000	7.999451
47.850000	7.999451
48.400000	7.999451
48.950000	7.999451
49.500000	7.999451
50.050000	7.999451
50.600000	7.999451
51.150000	7.999451
51.700000	7.999451
52.250000	8.998505
52.800000	13.999847
53.350000	22.001389
53.900000	22.001389
54.450000	29.000839
55.000000	29.000839
55.550000	29.000839
56.100000	26.999695
56.650000	20.000244
57.200000	7.999451
57.750000	7.999451
58.300000	7.999451
58.850000	7.999451
59.400000	7.999451
59.950000	7.999451
60.500000	7.999451
61.050000	7.999451
61.600000	7.999451
62.150000	7.999451
62.700000	7.999451
63.250000	7.999451
63.800000	22.001389
64.350000	22.001389
64.900000	22.001389
65.450000	22.001389
66.000000	4.000198
66.550000	4.000198
67.100000	4.000198
67.650000	10.000595
68.200000	10.000595
68.750000	10.000595
69.300000	10.000595
69.850000	10.000595
70.400000	10.000595
70.950000	10.000595
71.500000	10.000595
72.050000	10.000595
72.600000	13.999847
73.150000	13.999847
73.700000	13.999847
74.250000	13.999847
74.800000	13.999847
75.350000	20.000244
75.900000	21.999870
76.450000	81.999283
77.000000	81.999283
77.550000	56.998642
78.100000	29.000839
78.650000	56.998642
79.200000	36.999344
79.750000	31.000465
80.300000	29.000839
80.850000	29.000839
81.400000	29.000839
81.950000	29.000839
82.500000	29.000839
83.050000	29.000839
83.600000	29.000839
84.150000	29.000839
84.700000	29.000839
85.250000	11.998703
85.800000	10.999649
86.350000	10.999649
86.900000	6.001343
87.450000	8.998505
88.000000	8.998505
88.550000	8.998505
89.100000	8.998505
89.650000	8.998505
90.200000	8.998505
90.750000	8.998505
91.300000	8.998505
91.850000	8.998505
92.400000	8.998505
92.950000	8.998505
93.500000	8.998505
94.050000	8.998505
94.600000	8.998505
95.150000	14.998901
95.700000	14.998901
96.250000	14.998901
96.800000	14.998901
97.350000	14.998901
97.900000	14.998901
98.450000	14.998901
99.000000	14.998901
99.550000	14.998901
100.100000	14.998901
100.650000	4.999252
101.200000	4.999252
101.750000	4.999252
102.300000	4.999252
102.850000	4.999252
103.400000	4.999252
103.950000	4.999252
104.500000	4.999252
105.050000	4.999252
105.600000	4.999252
106.150000	4.999252
106.700000	4.999252
107.250000	4.999252
107.800000	1.999054
108.350000	4.999252
108.900000	4.999252
109.450000	13.999847
110.000000	13.999847
110.550000	13.999847
