This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X:
Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	0.070667
0.550000	0.433744
1.100000	0.896063
1.650000	1.390120
2.200000	1.901437
2.750000	2.415027
3.300000	2.951385
3.850000	3.493694
4.400000	4.016696
4.950000	4.537572
5.500000	5.072308
6.050000	5.606236
6.600000	6.120922
7.150000	6.670819
7.700000	7.163333
8.250000	7.663272
8.800000	8.149503
9.350000	8.622166
9.900000	9.098846
10.450000	9.554241
11.000000	9.959891
11.550000	10.393789
12.100000	10.837485
12.650000	11.276971
13.200000	11.709300
13.750000	12.121805
14.300000	12.542690
14.850000	12.972825
15.400000	13.384459
15.950000	13.766931
16.500000	14.194684
17.050000	14.583849
17.600000	14.979645
18.150000	15.364828
18.700000	15.773398
19.250000	16.158708
19.800000	16.519186
20.350000	16.895010
20.900000	17.262365
21.450000	17.687658
22.000000	18.005316
22.550000	18.329853
23.100000	18.676752
23.650000	19.003830
24.200000	19.360887
24.750000	19.695267
25.300000	20.035740
25.850000	20.242006
26.400000	20.601963
26.950000	20.857379
27.500000	20.983709
28.050000	21.352886
28.600000	21.667901
29.150000	21.943951
29.700000	22.021921
30.250000	22.247980
30.800000	22.428391
31.350000	22.656692
31.900000	22.943092
32.450000	23.128211
33.000000	23.466221
33.550000	23.603600
34.100000	23.624970
34.650000	23.950696
35.200000	24.157147
35.750000	24.325055
36.300000	
36.850000	
37.400000	
37.950000	
38.500000	
39.050000	
39.600000	
40.150000	
40.700000	
41.250000	
41.800000	
42.350000	
42.900000	
43.450000	
44.000000	
44.550000	
45.100000	
45.650000	
46.200000	
46.750000	
47.300000	
47.850000	
48.400000	
48.950000	
49.500000	
50.050000	
50.600000	
51.150000	
51.700000	
52.250000	
52.800000	
53.350000	
53.900000	
54.450000	
55.000000	
55.550000	
56.100000	
56.650000	
57.200000	
57.750000	
58.300000	
58.850000	
59.400000	
59.950000	
60.500000	
61.050000	
61.600000	
62.150000	
62.700000	
63.250000	
63.800000	
64.350000	
64.900000	
65.450000	
66.000000	
66.550000	
67.100000	
67.650000	
68.200000	
68.750000	
69.300000	
69.850000	
70.400000	
70.950000	
71.500000	
72.050000	
72.600000	
73.150000	
73.700000	
74.250000	
74.800000	
75.350000	
75.900000	
76.450000	
77.000000	
77.550000	
78.100000	
78.650000	
79.200000	
79.750000	
80.300000	
80.850000	
81.400000	
81.950000	
82.500000	
83.050000	
83.600000	
84.150000	
84.700000	
85.250000	
85.800000	
86.350000	
86.900000	
87.450000	
88.000000	
88.550000	
89.100000	
89.650000	
90.200000	
90.750000	
91.300000	
91.850000	
92.400000	
92.950000	
93.500000	
94.050000	
94.600000	
95.150000	
95.700000	
96.250000	
96.800000	
97.350000	
97.900000	
98.450000	
99.000000	
99.550000	
100.100000	
100.650000	
101.200000	
101.750000	
102.300000	
102.850000	
103.400000	
103.950000	
104.500000	
105.050000	
105.600000	
106.150000	
106.700000	
