This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
peak height of primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	9.512583
0.550000	13.229057
1.100000	16.895781
1.650000	20.532652
2.200000	24.706844
2.750000	28.677055
3.300000	29.388508
3.850000	30.378572
4.400000	31.542770
4.950000	33.090057
5.500000	33.348766
6.050000	34.114948
6.600000	35.229393
7.150000	36.577671
7.700000	36.856285
8.250000	39.244381
8.800000	41.428493
9.350000	44.572819
9.900000	49.970913
10.450000	55.289402
11.000000	59.045677
11.550000	63.204945
12.100000	67.493568
12.650000	70.563263
13.200000	74.414070
13.750000	79.473846
14.300000	84.732635
14.850000	91.663094
15.400000	97.668159
15.950000	103.872231
16.500000	110.832535
17.050000	116.359985
17.600000	122.952126
18.150000	129.325363
18.700000	133.997070
19.250000	142.086746
19.800000	149.345566
20.350000	156.042175
20.900000	169.957825
21.450000	175.271332
22.000000	180.928131
22.550000	189.027756
23.100000	193.196976
23.650000	201.565262
24.200000	215.669952
24.750000	222.207367
25.300000	229.948776
25.850000	233.351822
26.400000	237.550888
26.950000	240.575806
27.500000	249.103302
28.050000	253.600891
28.600000	257.023834
29.150000	262.013947
29.700000	274.775330
30.250000	287.571564
30.800000	291.820374
31.350000	299.522156
31.900000	303.868286
32.450000	317.994598
33.000000	328.352173
33.550000	343.465576
34.100000	354.731232
34.650000	365.108276
35.200000	376.410126
35.750000	384.126740
36.300000	393.022583
36.850000	410.238312
37.400000	412.067413
37.950000	412.870728
38.500000	418.583527
39.050000	440.303864
39.600000	453.064728
40.150000	473.352051
40.700000	489.596771
41.250000	495.728790
41.800000	524.856140
42.350000	530.234497
42.900000	537.222046
43.450000	557.694763
44.000000	574.745239
44.550000	582.223633
45.100000	585.764038
45.650000	588.718445
46.200000	585.764038
46.750000	589.526001
47.300000	592.384033
47.850000	597.592468
48.400000	624.923218
48.950000	631.154541
49.500000	634.252319
50.050000	639.226196
50.600000	647.261780
51.150000	651.226990
51.700000	650.623596
52.250000	656.819214
52.800000	664.949097
53.350000	666.623840
53.900000	667.979919
54.450000	672.919373
55.000000	685.396851
55.550000	698.086426
56.100000	741.094055
56.650000	751.056580
57.200000	766.362427
57.750000	791.110535
58.300000	789.370850
58.850000	812.097656
59.400000	817.185730
59.950000	816.469849
60.500000	817.215576
61.050000	816.106201
61.600000	814.476990
62.150000	820.912537
62.700000	828.272217
63.250000	838.402100
63.800000	868.736328
64.350000	876.567200
64.900000	879.498047
65.450000	879.545166
66.000000	880.291199
66.550000	880.791199
67.100000	882.096130
67.650000	897.988708
68.200000	923.909241
68.750000	929.982178
69.300000	931.494873
69.850000	935.173035
70.400000	936.342285
70.950000	966.162292
71.500000	965.823059
72.050000	970.307922
72.600000	962.579895
73.150000	965.348083
73.700000	977.586365
74.250000	1023.925537
74.800000	1085.490723
75.350000	1085.442627
75.900000	1086.076904
76.450000	1089.825317
77.000000	1090.793457
77.550000	1083.264282
78.100000	1056.494385
78.650000	1058.323120
79.200000	1063.623413
79.750000	1067.677002
80.300000	1123.116211
80.850000	1123.329102
81.400000	1123.837036
81.950000	1123.347412
82.500000	1200.532104
83.050000	1224.374512
83.600000	1225.164307
84.150000	1235.647705
84.700000	1238.658447
85.250000	1213.762939
85.800000	1216.450195
86.350000	1218.050171
86.900000	1220.387085
87.450000	1221.369751
88.000000	1217.792847
88.550000	1216.574097
89.100000	1189.598755
89.650000	1192.319336
90.200000	1203.597900
90.750000	1208.938965
91.300000	1215.420898
91.850000	1221.177734
92.400000	1221.088379
92.950000	1228.914062
93.500000	1260.881348
94.050000	1273.172363
94.600000	1256.124390
95.150000	1267.285156
95.700000	1294.994507
96.250000	1294.968506
96.800000	1301.994263
97.350000	1301.994263
97.900000	1280.825562
98.450000	1280.138916
99.000000	1285.413574
99.550000	1351.511841
100.100000	1367.564697
100.650000	1398.665405
101.200000	1401.005005
101.750000	1401.726318
102.300000	1406.762817
102.850000	1408.899048
103.400000	1528.690063
103.950000	1544.579102
104.500000	1536.670532
105.050000	1598.654053
105.600000	1624.318848
106.150000	1735.026489
106.700000	1735.026489
107.250000	1735.026489
107.800000	1718.320312
108.350000	1735.026489
108.900000	1747.359985
109.450000	1773.277100
110.000000	1808.027588
110.550000	1808.027588
