This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	8.437940
0.550000	11.248928
1.100000	14.179321
1.650000	17.875895
2.200000	21.184402
2.750000	24.328730
3.300000	25.229240
3.850000	26.487967
4.400000	27.005386
4.950000	29.582541
5.500000	29.995483
6.050000	30.960670
6.600000	31.522869
7.150000	31.881083
7.700000	31.269135
8.250000	32.164669
8.800000	33.090057
9.350000	34.851276
9.900000	37.274200
10.450000	44.921082
11.000000	47.463409
11.550000	50.771919
12.100000	54.652576
12.650000	57.891430
13.200000	62.125324
13.750000	66.652756
14.300000	71.284668
14.850000	76.234993
15.400000	80.832077
15.950000	86.299828
16.500000	92.523796
17.050000	98.260208
17.600000	104.260300
18.150000	110.558899
18.700000	115.001755
19.250000	123.713333
19.800000	129.594025
20.350000	135.449829
20.900000	147.091797
21.450000	151.803314
22.000000	156.161591
22.550000	163.818420
23.100000	170.316025
23.650000	179.420654
24.200000	187.933212
24.750000	190.873566
25.300000	195.067657
25.850000	199.734390
26.400000	204.052872
26.950000	212.928619
27.500000	226.053207
28.050000	232.481155
28.600000	237.312073
29.150000	242.710175
29.700000	249.366989
30.250000	256.466614
30.800000	262.854767
31.350000	272.923767
31.900000	279.277008
32.450000	295.804535
33.000000	301.885437
33.550000	311.941284
34.100000	319.752197
34.650000	328.275299
35.200000	338.343964
35.750000	345.032745
36.300000	355.016479
36.850000	356.486115
37.400000	357.305450
37.950000	357.118439
38.500000	362.582672
39.050000	367.502747
39.600000	381.028931
40.150000	390.080658
40.700000	395.059601
41.250000	398.951538
41.800000	401.373230
42.350000	415.358551
42.900000	418.056702
43.450000	426.614349
44.000000	436.466125
44.550000	443.590668
45.100000	455.136200
45.650000	459.844849
46.200000	477.170563
46.750000	485.415588
47.300000	496.077026
47.850000	503.174347
48.400000	526.619568
48.950000	533.870483
49.500000	541.890625
50.050000	543.493347
50.600000	547.748840
51.150000	553.287537
51.700000	569.319275
52.250000	570.733887
52.800000	572.306458
53.350000	572.796631
53.900000	575.258789
54.450000	579.213379
55.000000	583.993774
55.550000	589.425659
56.100000	598.873779
56.650000	602.873840
57.200000	606.777893
57.750000	611.713867
58.300000	611.032227
58.850000	611.924072
59.400000	612.332214
59.950000	625.280884
60.500000	633.415894
61.050000	634.228455
61.600000	636.938843
62.150000	660.125488
62.700000	679.712646
63.250000	690.636475
63.800000	724.995667
64.350000	736.549683
64.900000	747.003723
65.450000	765.519653
66.000000	766.892639
66.550000	767.932373
67.100000	766.474487
67.650000	768.378418
68.200000	773.777954
68.750000	780.083923
69.300000	805.857239
69.850000	810.179016
70.400000	810.132385
70.950000	808.881226
71.500000	808.729004
72.050000	812.348633
72.600000	817.499451
73.150000	856.197266
73.700000	864.825684
74.250000	881.869324
74.800000	922.962341
75.350000	930.727234
75.900000	934.591858
76.450000	933.153381
77.000000	931.255310
77.550000	940.412598
78.100000	962.136414
78.650000	966.365601
79.200000	967.559387
79.750000	968.880859
80.300000	986.132202
80.850000	1013.630127
81.400000	1015.393860
81.950000	1014.043030
82.500000	1024.272461
83.050000	1027.496460
83.600000	1027.510864
84.150000	1026.531128
84.700000	1047.795044
85.250000	1090.661133
85.800000	1100.143066
86.350000	1127.669800
86.900000	1129.154053
87.450000	1129.059814
88.000000	1126.866699
88.550000	1123.754517
89.100000	1056.349487
89.650000	1056.198975
90.200000	1055.038818
90.750000	1058.163818
91.300000	1060.475952
91.850000	1060.766235
92.400000	1061.051025
92.950000	1065.620972
93.500000	1090.234985
94.050000	1098.216797
94.600000	1094.003540
95.150000	1105.713135
95.700000	1139.789551
96.250000	1144.055908
96.800000	1148.312378
97.350000	1148.453369
97.900000	1141.151733
98.450000	1142.539795
99.000000	1141.411377
99.550000	1181.544312
100.100000	1203.878052
100.650000	1220.171143
101.200000	1234.904053
101.750000	1238.920532
102.300000	1245.639648
102.850000	1257.243652
103.400000	1291.769775
103.950000	1293.708618
104.500000	1286.764771
105.050000	1286.315918
105.600000	1280.078369
106.150000	1188.018188
106.700000	1188.018188
107.250000	1188.018188
107.800000	1145.958618
108.350000	1170.684570
108.900000	1184.684692
109.450000	1204.685059
110.000000	1162.267700
110.550000	1162.267700
