This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	42.000687
0.550000	40.998596
1.100000	40.998596
1.650000	52.000336
2.200000	52.000336
2.750000	52.000336
3.300000	40.998596
3.850000	40.998596
4.400000	40.998596
4.950000	90.000824
5.500000	90.000824
6.050000	90.000824
6.600000	90.000824
7.150000	90.000824
7.700000	90.000824
8.250000	90.000824
8.800000	90.000824
9.350000	90.000824
9.900000	90.000824
10.450000	90.000824
11.000000	90.000824
11.550000	90.000824
12.100000	90.000824
12.650000	90.000824
13.200000	90.000824
13.750000	90.000824
14.300000	90.000824
14.850000	55.999588
15.400000	55.999588
15.950000	55.999588
16.500000	61.000931
17.050000	93.001022
17.600000	93.001022
18.150000	93.001022
18.700000	93.001022
19.250000	97.999329
19.800000	97.999329
20.350000	97.999329
20.900000	97.999329
21.450000	97.999329
22.000000	97.999329
22.550000	97.999329
23.100000	97.999329
23.650000	97.999329
24.200000	97.999329
24.750000	97.999329
25.300000	97.999329
25.850000	97.999329
26.400000	97.999329
26.950000	97.999329
27.500000	97.999329
28.050000	97.999329
28.600000	97.999329
29.150000	97.999329
29.700000	97.999329
30.250000	97.999329
30.800000	97.999329
31.350000	97.999329
31.900000	97.999329
32.450000	97.999329
33.000000	97.999329
33.550000	97.999329
34.100000	97.999329
34.650000	97.999329
35.200000	97.999329
35.750000	97.999329
36.300000	97.999329
36.850000	88.998734
37.400000	88.998734
37.950000	88.998734
38.500000	88.998734
39.050000	88.998734
39.600000	88.998734
40.150000	88.998734
40.700000	88.998734
41.250000	88.998734
41.800000	88.998734
42.350000	88.998734
42.900000	88.998734
43.450000	24.998550
44.000000	24.998550
44.550000	24.998550
45.100000	24.998550
45.650000	24.998550
46.200000	24.998550
46.750000	24.998550
47.300000	24.998550
47.850000	24.998550
48.400000	24.998550
48.950000	24.998550
49.500000	24.998550
50.050000	24.998550
50.600000	40.998596
51.150000	58.999786
51.700000	100.000473
52.250000	100.000473
52.800000	100.000473
53.350000	100.000473
53.900000	100.000473
54.450000	100.000473
55.000000	100.000473
55.550000	24.998550
56.100000	24.998550
56.650000	24.998550
57.200000	24.998550
57.750000	24.998550
58.300000	24.998550
58.850000	24.998550
59.400000	24.998550
59.950000	24.998550
60.500000	24.998550
61.050000	24.998550
61.600000	24.998550
62.150000	24.998550
62.700000	24.998550
63.250000	24.998550
63.800000	24.998550
64.350000	24.998550
64.900000	24.998550
65.450000	58.999786
66.000000	58.999786
66.550000	58.999786
67.100000	58.999786
67.650000	58.999786
68.200000	58.999786
68.750000	58.999786
69.300000	58.999786
69.850000	58.999786
70.400000	58.999786
70.950000	24.998550
71.500000	24.998550
72.050000	24.998550
72.600000	24.998550
73.150000	58.999786
73.700000	58.999786
74.250000	58.999786
74.800000	58.999786
75.350000	58.999786
75.900000	58.999786
76.450000	58.999786
77.000000	58.999786
77.550000	58.999786
78.100000	58.999786
78.650000	58.999786
79.200000	58.999786
79.750000	58.999786
80.300000	24.998550
80.850000	24.998550
81.400000	24.998550
81.950000	24.998550
82.500000	24.998550
83.050000	24.998550
83.600000	24.998550
84.150000	24.998550
84.700000	24.998550
85.250000	24.998550
85.800000	24.998550
86.350000	24.998550
86.900000	24.998550
87.450000	24.998550
88.000000	24.998550
88.550000	24.998550
89.100000	24.998550
89.650000	24.998550
90.200000	24.998550
90.750000	24.998550
91.300000	24.998550
91.850000	24.998550
92.400000	24.998550
92.950000	24.998550
93.500000	24.998550
94.050000	24.998550
94.600000	24.998550
95.150000	24.998550
95.700000	24.998550
96.250000	24.998550
96.800000	24.998550
97.350000	24.998550
97.900000	24.998550
98.450000	24.998550
99.000000	24.998550
99.550000	24.998550
100.100000	24.998550
100.650000	10.999649
101.200000	10.999649
101.750000	10.999649
102.300000	10.999649
102.850000	10.999649
103.400000	10.999649
103.950000	17.999100
104.500000	17.999100
105.050000	3.001144
105.600000	3.001144
106.150000	3.001144
106.700000	3.001144
107.250000	3.001144
107.800000	3.001144
108.350000	3.001144
108.900000	3.001144
109.450000	3.001144
110.000000	3.001144
110.550000	3.001144
