This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X:
Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	0.126614
0.550000	0.663901
1.100000	1.165812
1.650000	1.739927
2.200000	2.283639
2.750000	2.838965
3.300000	3.381959
3.850000	3.984419
4.400000	4.474862
4.950000	5.017220
5.500000	5.587217
6.050000	6.109780
6.600000	6.676111
7.150000	7.209876
7.700000	7.773016
8.250000	8.267777
8.800000	8.870309
9.350000	9.400303
9.900000	9.964100
10.450000	10.486121
11.000000	11.027051
11.550000	11.583523
12.100000	12.157075
12.650000	12.666832
13.200000	13.233688
13.750000	13.780284
14.300000	14.337262
14.850000	14.866996
15.400000	15.381217
15.950000	15.987206
16.500000	16.534046
17.050000	17.090978
17.600000	17.625654
18.150000	18.182412
18.700000	18.683122
19.250000	19.201103
19.800000	19.760810
20.350000	20.322425
20.900000	20.808718
21.450000	21.408501
22.000000	21.964925
22.550000	22.499636
23.100000	23.039402
23.650000	23.579931
24.200000	24.093472
24.750000	24.633449
25.300000	25.237279
25.850000	25.682566
26.400000	26.332300
26.950000	26.921369
27.500000	27.356214
28.050000	27.894162
28.600000	28.441672
29.150000	28.954462
29.700000	29.525690
30.250000	30.138001
30.800000	30.646831
31.350000	31.126931
31.900000	31.670526
32.450000	32.177036
33.000000	32.682322
33.550000	33.193542
34.100000	33.693371
34.650000	34.205902
35.200000	34.726282
35.750000	35.269065
36.300000	35.793162
36.850000	36.396588
37.400000	36.974227
37.950000	37.485714
38.500000	37.990093
39.050000	38.241331
39.600000	38.701550
40.150000	39.267927
40.700000	39.505194
41.250000	40.394721
41.800000	40.897514
42.350000	41.396096
42.900000	42.058000
43.450000	42.525469
44.000000	43.083806
44.550000	43.583487
45.100000	44.137614
45.650000	44.619628
46.200000	45.135666
46.750000	45.614814
47.300000	46.089197
47.850000	46.569276
48.400000	47.104585
48.950000	47.626525
49.500000	48.122793
50.050000	48.626624
50.600000	49.141253
51.150000	49.660578
51.700000	50.140507
52.250000	50.632689
52.800000	51.118307
53.350000	51.696339
53.900000	52.211405
54.450000	52.719709
55.000000	53.226067
55.550000	53.808650
56.100000	54.304951
56.650000	54.788625
57.200000	55.276163
57.750000	55.595953
58.300000	55.868139
58.850000	56.128292
59.400000	56.299400
59.950000	56.493654
60.500000	56.669687
61.050000	56.919287
61.600000	57.314861
62.150000	57.804001
62.700000	58.301138
63.250000	58.846020
63.800000	59.037465
64.350000	59.694153
64.900000	59.933588
65.450000	60.267392
66.000000	60.649743
66.550000	61.059119
67.100000	61.504036
67.650000	61.939156
68.200000	62.433718
68.750000	62.898180
69.300000	63.915923
69.850000	64.366920
70.400000	64.817864
70.950000	65.327014
71.500000	65.871210
72.050000	66.405809
72.600000	66.891283
73.150000	67.440693
73.700000	67.907386
74.250000	67.181033
74.800000	68.021725
75.350000	69.597678
75.900000	70.131051
76.450000	70.757756
77.000000	72.741525
77.550000	70.831153
78.100000	71.356219
78.650000	74.639070
79.200000	75.039574
79.750000	75.325454
80.300000	76.076782
80.850000	76.458372
81.400000	76.984334
81.950000	77.541528
82.500000	78.071317
83.050000	78.461163
83.600000	79.024956
84.150000	79.698140
84.700000	80.171639
85.250000	80.485407
85.800000	81.150862
86.350000	81.598678
86.900000	82.048075
87.450000	82.504897
88.000000	82.966567
88.550000	83.438358
89.100000	83.909251
89.650000	84.353188
90.200000	84.760016
90.750000	85.173487
91.300000	85.495005
91.850000	85.817197
92.400000	86.111460
92.950000	86.326116
93.500000	86.524478
94.050000	86.707974
94.600000	86.877828
95.150000	87.035003
95.700000	87.299231
96.250000	87.412472
96.800000	87.563460
97.350000	87.714447
97.900000	87.865435
98.450000	88.026738
99.000000	88.240935
99.550000	88.387623
100.100000	88.653055
100.650000	88.954252
101.200000	89.286564
101.750000	89.533870
102.300000	90.085868
102.850000	90.549203
103.400000	90.965307
103.950000	91.378779
104.500000	92.194517
105.050000	92.656177
105.600000	93.209790
106.150000	91.816452
106.700000	94.187419
107.250000	94.694162
107.800000	95.126373
108.350000	95.535906
108.900000	95.962488
109.450000	96.355191
110.000000	96.715700
110.550000	97.069987
111.100000	97.459643
111.650000	97.743954
112.200000	97.925781
112.750000	98.089590
113.300000	98.267018
113.850000	97.320453
