This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter X:
Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	-0.073881
0.550000	-0.275427
1.100000	-0.429950
1.650000	-0.643104
2.200000	-0.741855
2.750000	-0.284935
3.300000	0.355981
3.850000	0.382950
4.400000	0.561216
4.950000	0.979515
5.500000	1.592071
6.050000	2.089053
6.600000	2.555668
7.150000	4.514500
7.700000	5.083452
8.250000	5.449135
8.800000	5.810790
9.350000	6.132916
9.900000	6.357424
10.450000	6.479355
11.000000	5.355721
11.550000	5.781150
12.100000	5.954968
12.650000	5.706237
13.200000	5.742074
13.750000	5.583665
14.300000	5.301516
14.850000	4.873193
15.400000	4.959909
15.950000	5.360092
16.500000	5.445906
17.050000	5.369446
17.600000	5.305914
18.150000	5.325328
18.700000	5.405393
19.250000	5.529029
19.800000	5.683372
20.350000	5.816948
20.900000	5.824639
21.450000	5.557384
22.000000	5.406532
22.550000	5.083464
23.100000	4.594226
23.650000	4.157816
24.200000	4.099367
24.750000	4.471319
25.300000	4.875896
25.850000	5.217645
26.400000	5.204344
26.950000	5.222754
27.500000	5.294031
28.050000	5.449017
28.600000	5.634770
29.150000	5.825337
29.700000	6.023153
30.250000	6.228077
30.800000	6.431878
31.350000	6.642943
31.900000	6.872313
32.450000	2.394839
33.000000	2.310797
33.550000	2.200236
34.100000	2.073932
34.650000	1.717354
35.200000	1.380981
35.750000	0.946278
36.300000	0.614344
36.850000	0.212344
37.400000	-0.196247
37.950000	-0.622706
38.500000	-1.026483
39.050000	-1.469552
39.600000	-1.964227
40.150000	-2.413116
40.700000	-2.891381
41.250000	-3.317457
41.800000	-3.782289
42.350000	-4.485315
42.900000	-5.027381
43.450000	-4.231285
44.000000	-6.114298
44.550000	-6.641193
45.100000	-7.106967
45.650000	-7.640810
46.200000	-8.148120
46.750000	-8.563788
47.300000	-9.115037
47.850000	-8.197530
48.400000	-8.517380
48.950000	-8.787534
49.500000	-9.124612
50.050000	-6.858956
50.600000	-9.772212
51.150000	-10.002797
51.700000	-10.252883
52.250000	-10.494725
52.800000	-13.583643
53.350000	-13.938277
53.900000	-14.250991
54.450000	-14.500886
55.000000	-14.916665
55.550000	-15.227073
56.100000	-15.447824
56.650000	-15.474418
57.200000	-15.680152
57.750000	-15.832089
58.300000	-15.904993
58.850000	-16.030270
59.400000	-16.126517
59.950000	-16.137249
60.500000	-16.154342
61.050000	-13.396539
61.600000	-13.379199
62.150000	-16.272020
62.700000	-13.274017
63.250000	-16.256513
63.800000	-16.156480
64.350000	-17.100525
64.900000	-17.522067
65.450000	-17.934458
66.000000	-15.184995
66.550000	-19.044072
67.100000	-19.493223
67.650000	-20.021835
68.200000	-20.530479
68.750000	-21.059477
69.300000	-21.633876
69.850000	-22.008318
70.400000	-22.465384
70.950000	-23.093985
71.500000	-23.546855
72.050000	-24.086375
72.600000	-24.610106
73.150000	-25.085073
73.700000	-25.622856
74.250000	-26.169880
74.800000	-7.379983
75.350000	-27.179702
75.900000	-27.850690
76.450000	-28.194131
77.000000	-9.469241
77.550000	-10.074268
78.100000	-10.627613
78.650000	-11.065376
79.200000	-11.565672
79.750000	-12.116579
80.300000	-12.763289
80.850000	-13.160575
81.400000	-13.665278
81.950000	-14.313188
82.500000	-14.870177
83.050000	-15.384465
83.600000	-15.962973
84.150000	-16.429221
84.700000	-16.970972
85.250000	-17.560816
85.800000	-18.091365
86.350000	-18.614982
86.900000	-19.172871
87.450000	-19.793758
88.000000	-20.296696
88.550000	-20.717689
89.100000	-21.243601
89.650000	-21.875621
90.200000	-22.506471
90.750000	-23.015451
91.300000	-23.433900
91.850000	-23.959588
92.400000	-24.574733
92.950000	-25.213177
93.500000	-25.649006
94.050000	-26.223946
94.600000	-26.746643
95.150000	-27.325986
95.700000	-27.760668
96.250000	-28.285619
96.800000	-28.903340
97.350000	-29.458918
97.900000	-29.880729
98.450000	-30.562251
99.000000	-31.087929
99.550000	-31.664061
100.100000	-31.630446
100.650000	-31.184638
101.200000	-30.785497
101.750000	-30.415322
102.300000	-34.161479
102.850000	-29.394777
103.400000	-35.299177
103.950000	-35.775975
104.500000	-36.282462
105.050000	-36.824968
105.600000	-37.277966
106.150000	-37.790710
106.700000	-38.342762
107.250000	-38.808112
107.800000	-38.401358
108.350000	-37.868058
108.900000	-37.406651
109.450000	-36.995051
110.000000	-36.548942
110.550000	-36.157584
111.100000	-36.436448
111.650000	-36.955982
112.200000	-37.401408
112.750000	-37.884595
113.300000	-38.266308
113.850000	-38.695658
114.400000	-39.217983
114.950000	-39.734784
115.500000	-40.137418
116.050000	-40.530589
116.600000	-40.953180
117.150000	-41.390776
117.700000	-41.793997
118.250000	-42.180206
118.800000	-42.626313
119.350000	-43.051692
119.900000	-43.485875
120.450000	-43.996633
121.000000	-44.413807
121.550000	-44.743540
122.100000	-45.263410
122.650000	-45.683743
123.200000	-46.091103
123.750000	-46.584129
124.300000	-47.092785
124.850000	-47.403713
125.400000	-47.951989
125.950000	-48.400146
126.500000	-48.799001
127.050000	-49.406294
127.600000	-49.927391
128.150000	-50.344458
128.700000	-50.825507
129.250000	-51.407183
129.800000	-51.969113
130.350000	-52.419194
130.900000	-52.889219
131.450000	-53.402337
132.000000	-53.940889
132.550000	-54.396383
133.100000	-54.859951
133.650000	-55.406459
134.200000	-55.867697
134.750000	-56.327533
135.300000	-56.874032
135.850000	-57.332223
136.400000	-57.796506
136.950000	-58.351184
137.500000	-58.846857
138.050000	-59.477425
138.600000	-59.949920
139.150000	-60.434368
139.700000	-60.991974
140.250000	-61.461044
140.800000	-61.920592
141.350000	-62.309502
141.900000	-54.776473
142.450000	-55.136703
143.000000	-55.406651
143.550000	-55.704482
144.100000	-56.018135
144.650000	-56.303928
145.200000	-56.476085
145.750000	-56.567639
146.300000	-56.563485
146.850000	?
147.400000	?
147.950000	?
148.500000	?
149.050000	?
149.600000	?
150.150000	?
150.700000	?
151.250000	?
151.800000	?
152.350000	?
152.900000	?
153.450000	?
154.000000	?
154.550000	?
155.100000	?
155.650000	?
156.200000	?
156.750000	?
157.300000	?
157.850000	?
158.400000	?
158.950000	?
159.500000	?
160.050000	?
160.600000	?
161.150000	?
161.700000	?
162.250000	?
162.800000	?
163.350000	?
163.900000	?
164.450000	?
165.000000	?
165.550000	?
166.100000	?
166.650000	?
167.200000	?
167.750000	?
168.300000	?
168.850000	?
169.400000	?
169.950000	?
170.500000	?
171.050000	?
171.600000	?
172.150000	?
172.700000	?
173.250000	?
173.800000	?
174.350000	?
174.900000	?
175.450000	?
176.000000	?
176.550000	?
177.100000	?
177.650000	?
178.200000	?
178.750000	?
179.300000	?
179.850000	?
180.400000	?
180.950000	?
181.500000	?
182.050000	?
182.600000	?
183.150000	?
183.700000	?
184.250000	?
184.800000	?
185.350000	?
185.900000	?
186.450000	?
187.000000	?
187.550000	?
188.100000	?
188.650000	?
189.200000	?
189.750000	?
190.300000	?
190.850000	?
191.400000	?
191.950000	?
192.500000	?
193.050000	?
193.600000	?
194.150000	?
194.700000	?
195.250000	?
195.800000	?
196.350000	?
196.900000	?
197.450000	?
198.000000	?
198.550000	?
199.100000	?
199.650000	?
200.200000	?
200.750000	?
201.300000	?
201.850000	?
202.400000	?
202.950000	?
203.500000	?
204.050000	?
204.600000	?
205.150000	?
205.700000	?
206.250000	?
206.800000	?
207.350000	?
207.900000	?
208.450000	?
209.000000	?
209.550000	?
210.100000	?
210.650000	?
211.200000	?
211.750000	?
212.300000	?
212.850000	?
213.400000	?
213.950000	?
214.500000	?
215.050000	?
215.600000	?
216.150000	?
216.700000	?
217.250000	?
217.800000	?
218.350000	?
218.900000	?
219.450000	?
220.000000	?
220.550000	?
221.100000	?
221.650000	?
222.200000	?
222.750000	?
223.300000	?
223.850000	?
224.400000	?
224.950000	?
225.500000	?
226.050000	?
226.600000	?
227.150000	?
227.700000	?
228.250000	?
228.800000	?
229.350000	?
229.900000	?
230.450000	?
231.000000	?
231.550000	?
232.100000	?
232.650000	?
233.200000	?
233.750000	?
234.300000	?
234.850000	?
235.400000	?
235.950000	?
236.500000	?
237.050000	?
237.600000	?
238.150000	?
238.700000	?
239.250000	?
239.800000	?
240.350000	?
240.900000	?
241.450000	?
242.000000	?
242.550000	?
243.100000	?
243.650000	?
244.200000	?
244.750000	?
245.300000	?
245.850000	?
246.400000	?
246.950000	?
247.500000	?
248.050000	?
248.600000	?
249.150000	?
249.700000	?
250.250000	?
250.800000	?
251.350000	?
251.900000	?
252.450000	?
253.000000	?
253.550000	?
254.100000	?
254.650000	?
255.200000	?
255.750000	?
256.300000	?
256.850000	?
257.400000	?
257.950000	?
258.500000	?
259.050000	?
259.600000	?
260.150000	?
260.700000	?
261.250000	?
261.800000	?
262.350000	?
262.900000	?
263.450000	?
264.000000	?
264.550000	?
265.100000	?
265.650000	?
266.200000	?
266.750000	?
267.300000	?
267.850000	?
268.400000	?
268.950000	?
269.500000	?
270.050000	?
270.600000	?
271.150000	?
271.700000	?
272.250000	?
272.800000	?
273.350000	?
273.900000	?
274.450000	?
275.000000	?
275.550000	?
276.100000	?
276.650000	?
277.200000	?
277.750000	?
278.300000	?
278.850000	?
279.400000	?
279.950000	?
280.500000	?
281.050000	?
281.600000	?
282.150000	?
282.700000	?
283.250000	?
283.800000	?
284.350000	?
284.900000	?
285.450000	?
286.000000	?
286.550000	?
287.100000	?
287.650000	?
288.200000	?
288.750000	?
289.300000	?
289.850000	?
290.400000	?
290.950000	?
291.500000	?
292.050000	?
292.600000	?
293.150000	?
293.700000	?
294.250000	?
294.800000	?
295.350000	?
295.900000	?
296.450000	?
297.000000	?
297.550000	?
298.100000	?
298.650000	?
299.200000	?
299.750000	?
300.300000	?
300.850000	?
301.400000	?
301.950000	?
302.500000	?
303.050000	?
303.600000	?
304.150000	?
304.700000	?
305.250000	
305.800000	
306.350000	
306.900000	?
307.450000	
308.000000	
308.550000	
309.100000	
309.650000	
310.200000	
310.750000	?
311.300000	
311.850000	?
312.400000	?
312.950000	?
313.500000	
314.050000	
314.600000	?
