This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y:
Results Amplitude:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	0.205758
0.550000	1.064107
1.100000	2.093819
1.650000	3.001141
2.200000	3.723282
2.750000	4.478967
3.300000	5.064176
3.850000	5.613178
4.400000	5.759610
4.950000	5.675158
5.500000	5.651015
6.050000	5.711945
6.600000	5.668934
7.150000	2.851704
7.700000	2.064848
8.250000	2.377622
8.800000	2.855993
9.350000	3.705396
9.900000	4.492996
10.450000	5.766499
11.000000	6.662098
11.550000	7.415989
12.100000	8.458368
12.650000	9.345875
13.200000	10.474011
13.750000	11.197931
14.300000	12.346995
14.850000	13.204581
15.400000	14.204701
15.950000	15.262650
16.500000	16.265733
17.050000	17.235626
17.600000	18.112378
18.150000	19.157167
18.700000	20.112039
19.250000	21.172132
19.800000	22.379293
20.350000	23.290865
20.900000	24.224426
21.450000	25.205528
22.000000	25.393344
22.550000	27.227737
23.100000	28.291882
23.650000	29.422104
24.200000	30.427161
24.750000	30.560333
25.300000	32.619453
25.850000	33.772290
26.400000	34.777631
26.950000	35.646988
27.500000	36.510788
28.050000	37.237782
28.600000	37.973960
29.150000	38.846113
29.700000	39.790462
30.250000	40.745653
30.800000	41.750169
31.350000	42.788143
31.900000	43.710858
32.450000	45.246066
33.000000	46.089414
33.550000	47.028478
34.100000	47.889305
34.650000	48.888920
35.200000	49.796506
35.750000	50.920324
36.300000	51.810784
36.850000	52.892064
37.400000	53.864554
37.950000	53.804381
38.500000	55.866103
39.050000	56.712176
39.600000	57.480033
40.150000	58.375016
40.700000	59.263392
41.250000	60.184184
41.800000	61.291981
42.350000	62.261500
42.900000	63.303557
43.450000	64.300034
44.000000	65.324173
44.550000	66.244616
45.100000	67.052976
45.650000	68.388345
46.200000	69.355264
46.750000	70.265063
47.300000	71.133923
47.850000	71.972206
48.400000	73.190059
48.950000	74.332057
49.500000	75.207508
50.050000	76.202303
50.600000	76.687995
51.150000	78.147996
51.700000	79.143657
52.250000	80.059664
52.800000	80.903148
53.350000	81.899285
53.900000	82.809900
54.450000	81.677754
55.000000	84.578673
55.550000	85.613587
56.100000	86.423902
56.650000	87.197679
57.200000	88.026389
57.750000	88.770696
58.300000	89.405077
58.850000	90.047450
59.400000	90.835800
59.950000	90.235909
60.500000	91.982820
61.050000	92.193954
61.600000	92.969838
62.150000	93.851653
62.700000	94.741571
63.250000	95.605594
63.800000	96.569727
64.350000	97.478559
64.900000	98.420418
65.450000	99.441243
66.000000	100.329934
66.550000	100.802706
67.100000	102.316714
67.650000	103.265814
68.200000	104.106372
68.750000	104.990730
69.300000	103.667558
69.850000	106.598652
70.400000	106.797790
70.950000	108.001878
71.500000	108.689853
72.050000	109.340126
72.600000	109.653604
73.150000	109.771427
73.700000	110.225829
74.250000	110.700150
74.800000	108.178590
