This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	10.159359
0.550000	14.129569
1.100000	18.064953
1.650000	23.189409
2.200000	27.040215
2.750000	29.393484
3.300000	30.488028
3.850000	30.627333
4.400000	30.219366
4.950000	29.159649
5.500000	26.269058
6.050000	23.662052
6.600000	22.139641
7.150000	21.064999
7.700000	21.064999
8.250000	21.179428
8.800000	26.020298
9.350000	32.383579
9.900000	40.124989
10.450000	46.965889
11.000000	55.214771
11.550000	63.324348
12.100000	70.304558
12.650000	78.016113
13.200000	86.832169
13.750000	95.165634
14.300000	102.678185
14.850000	109.912125
15.400000	116.613716
15.950000	124.205872
16.500000	129.404953
17.050000	136.773224
17.600000	145.554459
18.150000	151.270966
18.700000	159.141739
19.250000	165.713974
19.800000	172.037445
20.350000	185.858551
20.900000	193.818878
21.450000	201.311523
22.000000	209.276825
22.550000	216.829178
23.100000	226.510925
23.650000	234.764771
24.200000	245.884354
24.750000	252.008820
25.300000	257.939270
25.850000	266.078705
26.400000	276.188293
26.950000	282.233154
27.500000	291.830322
28.050000	297.367737
28.600000	304.656403
29.150000	310.556976
29.700000	322.198944
30.250000	328.303528
30.800000	335.930511
31.350000	342.231354
31.900000	347.586121
32.450000	358.672150
33.000000	365.015930
33.550000	369.598236
34.100000	375.677795
34.650000	384.362640
35.200000	392.366638
35.750000	396.159912
36.300000	406.122223
36.850000	413.453827
37.400000	423.562042
37.950000	435.560333
38.500000	440.983887
39.050000	468.990021
39.600000	476.527496
40.150000	486.812042
40.700000	498.424286
41.250000	504.801636
41.800000	508.950806
42.350000	514.253113
42.900000	520.152588
43.450000	526.753113
44.000000	541.542053
44.550000	551.384277
45.100000	560.750061
45.650000	569.589783
46.200000	590.641663
46.750000	598.036316
47.300000	605.905090
47.850000	610.759338
48.400000	617.412292
48.950000	625.400879
49.500000	636.267090
50.050000	645.017334
50.600000	651.987061
51.150000	661.056580
51.700000	671.464783
52.250000	674.842346
52.800000	676.666809
53.350000	683.639221
53.900000	695.828796
54.450000	702.980408
55.000000	709.238098
55.550000	714.927612
56.100000	723.447144
56.650000	726.905823
57.200000	729.130554
57.750000	739.208252
58.300000	740.690674
58.850000	744.585022
59.400000	746.397217
59.950000	758.755798
60.500000	774.449341
61.050000	780.113464
61.600000	787.019897
62.150000	785.335083
62.700000	787.576904
63.250000	790.096008
63.800000	794.619812
64.350000	798.358337
64.900000	802.543030
65.450000	824.472900
66.000000	828.385681
66.550000	830.330139
67.100000	834.268921
67.650000	839.912842
68.200000	841.061218
68.750000	843.052856
69.300000	844.501282
69.850000	844.973206
70.400000	841.940857
70.950000	842.635803
71.500000	845.946228
72.050000	856.711365
72.600000	880.952576
73.150000	888.057434
73.700000	890.424316
74.250000	914.338257
74.800000	917.341614
75.350000	919.040100
75.900000	919.341614
76.450000	920.501038
77.000000	937.469666
77.550000	948.925964
78.100000	962.588623
78.650000	964.093689
79.200000	967.300476
79.750000	967.961182
80.300000	966.014771
80.850000	969.601929
81.400000	969.104858
81.950000	969.436829
82.500000	969.326721
83.050000	976.072571
83.600000	980.354797
84.150000	994.200745
84.700000	994.491943
85.250000	993.226257
85.800000	980.815002
86.350000	982.425537
86.900000	982.583435
87.450000	990.461914
88.000000	991.101135
88.550000	996.661682
89.100000	1029.607178
89.650000	1032.047974
90.200000	1064.516235
90.750000	1083.812012
91.300000	1084.166016
91.850000	1086.550659
92.400000	1085.004883
92.950000	1087.981689
93.500000	1080.625732
94.050000	1080.192993
94.600000	1057.318726
95.150000	1029.876465
95.700000	1030.446167
96.250000	1037.682495
96.800000	1037.503052
97.350000	1037.618408
97.900000	1035.105347
98.450000	1054.583252
99.000000	1061.652588
99.550000	1076.963867
100.100000	1080.279663
100.650000	1082.304688
101.200000	1107.869385
101.750000	1108.984131
102.300000	1108.741089
102.850000	1111.690430
103.400000	1110.016968
103.950000	1093.905640
104.500000	1082.604736
105.050000	1083.312866
105.600000	1083.016602
106.150000	1074.349731
106.700000	1077.349854
107.250000	1082.349854
107.800000	1101.781494
108.350000	1162.684448
108.900000	1162.684448
109.450000	1229.268799
110.000000	1201.018311
110.550000	1201.018311
