This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	50.118767
0.550000	48.862686
1.100000	47.457176
1.650000	48.044456
2.200000	41.999825
2.750000	39.024765
3.300000	38.273510
3.850000	38.771004
4.400000	38.890415
4.950000	39.616821
5.500000	41.348263
6.050000	40.925354
6.600000	38.407906
7.150000	37.746159
7.700000	38.059525
8.250000	59.119682
8.800000	65.925514
9.350000	70.467583
9.900000	68.984856
10.450000	69.935066
11.000000	69.293358
11.550000	68.974930
12.100000	67.765968
12.650000	63.646507
13.200000	60.203716
13.750000	58.238556
14.300000	55.377819
14.850000	50.711063
15.400000	43.651379
15.950000	42.392670
16.500000	31.969810
17.050000	36.969807
17.600000	34.815578
18.150000	29.382685
18.700000	26.054274
19.250000	24.835327
19.800000	24.113937
20.350000	29.865208
20.900000	30.636395
21.450000	30.507042
22.000000	30.382721
22.550000	30.293163
23.100000	27.870243
23.650000	27.019501
24.200000	24.954874
24.750000	23.925045
25.300000	22.686249
25.850000	19.502220
26.400000	18.412657
26.950000	17.964911
27.500000	14.681248
28.050000	14.467354
28.600000	14.457382
29.150000	14.357883
29.700000	14.651365
30.250000	14.964788
30.800000	15.402577
31.350000	16.371462
31.900000	16.403654
32.450000	14.835577
33.000000	15.730227
33.550000	15.819790
34.100000	15.967442
34.650000	15.567278
35.200000	15.649986
35.750000	15.554673
36.300000	13.983154
36.850000	11.287240
37.400000	11.655226
37.950000	11.564652
38.500000	11.593980
39.050000	11.222642
39.600000	11.629830
40.150000	12.758404
40.700000	20.342047
41.250000	21.784683
41.800000	23.468142
42.350000	23.188427
42.900000	23.188427
43.450000	21.914795
44.000000	23.107813
44.550000	23.103750
45.100000	23.741217
45.650000	23.693987
46.200000	24.537085
46.750000	24.904455
47.300000	25.569206
47.850000	25.520662
48.400000	26.086147
48.950000	26.123009
49.500000	25.617443
50.050000	25.455021
50.600000	25.518812
51.150000	25.239927
51.700000	25.840527
52.250000	25.908012
52.800000	26.075954
53.350000	25.893599
53.900000	22.151358
54.450000	22.211975
55.000000	22.181654
55.550000	22.181654
56.100000	23.699007
56.650000	23.507288
57.200000	23.438217
57.750000	24.210175
58.300000	23.946575
58.850000	23.968988
59.400000	23.157438
59.950000	20.627863
60.500000	18.843737
61.050000	18.640614
61.600000	18.322824
62.150000	18.392321
62.700000	18.358814
63.250000	19.534363
63.800000	19.730801
64.350000	19.730801
64.900000	19.730801
65.450000	23.516117
66.000000	23.516117
66.550000	23.516117
67.100000	22.372084
67.650000	17.391569
68.200000	16.128996
68.750000	16.307983
69.300000	17.561848
69.850000	16.320995
70.400000	16.093525
70.950000	15.718759
71.500000	15.649476
72.050000	14.111470
72.600000	13.573133
73.150000	13.797484
73.700000	13.829606
74.250000	13.972217
74.800000	14.568274
75.350000	15.660466
75.900000	24.318657
76.450000	24.408386
77.000000	24.562197
77.550000	24.650143
78.100000	14.556080
78.650000	14.560960
79.200000	13.731729
79.750000	13.731729
80.300000	13.513137
80.850000	13.550063
81.400000	13.558167
81.950000	13.550063
82.500000	17.109728
83.050000	19.927568
83.600000	19.951157
84.150000	17.499933
84.700000	15.011578
85.250000	14.966612
85.800000	15.463092
86.350000	12.105177
86.900000	12.105177
87.450000	10.510782
88.000000	10.161471
88.550000	11.353678
89.100000	10.129375
89.650000	10.129375
90.200000	7.398403
90.750000	8.716615
91.300000	8.655888
91.850000	8.716615
92.400000	7.361227
92.950000	7.361227
93.500000	6.552440
94.050000	6.871214
94.600000	12.920523
95.150000	14.189349
95.700000	16.176655
96.250000	21.640301
96.800000	22.140257
97.350000	22.140257
97.900000	18.864723
98.450000	18.111137
99.000000	17.991600
99.550000	18.279802
100.100000	15.929071
100.650000	17.033192
101.200000	16.934385
101.750000	16.934385
102.300000	16.965490
102.850000	17.101990
103.400000	4.195302
103.950000	4.112014
104.500000	3.844020
105.050000	4.130549
105.600000	4.059859
106.150000	3.001144
106.700000	3.001144
107.250000	3.001144
107.800000	5.118753
108.350000	3.001144
108.900000	3.001144
109.450000	3.001144
110.000000	3.001144
110.550000	3.001144
