This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	12.000183
0.550000	16.000244
1.100000	20.000305
1.650000	27.000412
2.200000	33.000504
2.750000	36.000549
3.300000	39.000595
3.850000	39.000595
4.400000	39.000595
4.950000	36.000549
5.500000	31.000473
6.050000	28.000427
6.600000	27.000412
7.150000	27.000412
7.700000	27.000412
8.250000	27.000412
8.800000	34.000519
9.350000	43.000656
9.900000	53.000809
10.450000	63.000961
11.000000	74.001129
11.550000	84.001282
12.100000	92.001404
12.650000	101.001541
13.200000	110.001678
13.750000	118.001801
14.300000	126.001923
14.850000	132.002014
15.400000	139.002121
15.950000	149.002274
16.500000	156.002380
17.050000	164.002502
17.600000	175.002670
18.150000	181.002762
18.700000	185.002823
19.250000	193.002945
19.800000	200.003052
20.350000	220.003357
20.900000	233.003555
21.450000	243.003708
22.000000	259.003967
22.550000	266.004059
23.100000	266.004059
23.650000	273.004181
24.200000	280.004272
24.750000	294.004486
25.300000	297.004547
25.850000	307.004700
26.400000	315.004822
26.950000	319.004883
27.500000	331.005066
28.050000	342.005219
28.600000	342.005219
29.150000	348.005310
29.700000	359.005493
30.250000	366.005585
30.800000	380.005798
31.350000	390.005951
31.900000	390.005951
32.450000	407.006226
33.000000	417.006378
33.550000	426.006500
34.100000	437.006683
34.650000	448.006836
35.200000	448.006836
35.750000	448.006836
36.300000	454.006927
36.850000	465.007111
37.400000	474.007233
37.950000	486.007416
38.500000	493.007538
39.050000	528.008057
39.600000	528.008057
40.150000	528.008057
40.700000	538.008240
41.250000	552.008423
41.800000	562.008606
42.350000	573.008728
42.900000	578.008850
43.450000	578.008850
44.000000	624.009521
44.550000	640.009766
45.100000	649.009888
45.650000	656.010010
46.200000	689.010498
46.750000	701.010681
47.300000	712.010864
47.850000	718.010986
48.400000	718.010986
48.950000	718.010986
49.500000	710.010864
50.050000	727.011108
50.600000	735.011230
51.150000	735.011230
51.700000	756.011536
52.250000	756.011536
52.800000	756.011536
53.350000	776.011841
53.900000	808.012329
54.450000	824.012573
55.000000	835.012756
55.550000	845.012878
56.100000	845.012878
56.650000	845.012878
57.200000	843.012878
57.750000	826.012634
58.300000	826.012634
58.850000	826.012634
59.400000	825.012573
59.950000	869.013245
60.500000	894.013672
61.050000	894.013672
61.600000	897.013672
62.150000	897.013672
62.700000	897.013672
63.250000	874.013367
63.800000	874.013367
64.350000	875.013367
64.900000	882.013489
65.450000	921.014038
66.000000	921.014038
66.550000	921.014038
67.100000	915.013977
67.650000	920.014038
68.200000	920.014038
68.750000	920.014038
69.300000	921.014038
69.850000	921.014038
70.400000	921.014038
70.950000	928.014160
71.500000	928.014160
72.050000	928.014160
72.600000	976.014893
73.150000	996.015198
73.700000	996.015198
74.250000	1016.015503
74.800000	1016.015503
75.350000	1016.015503
75.900000	1010.015442
76.450000	1015.015503
77.000000	1015.015503
77.550000	1053.016113
78.100000	1080.016479
78.650000	1080.016479
79.200000	1080.016479
79.750000	1080.016479
80.300000	1074.016357
80.850000	1074.016357
81.400000	1074.016357
81.950000	1074.016357
82.500000	1074.016357
83.050000	1074.016357
83.600000	1074.016357
84.150000	1103.016846
84.700000	1103.016846
85.250000	1103.016846
85.800000	1103.016846
86.350000	1104.016846
86.900000	1104.016846
87.450000	1104.016846
88.000000	1104.016846
88.550000	1121.017090
89.100000	1165.017822
89.650000	1165.017822
90.200000	1203.018311
90.750000	1203.018311
91.300000	1206.018433
91.850000	1206.018433
92.400000	1206.018433
92.950000	1216.018555
93.500000	1216.018555
94.050000	1216.018555
94.600000	1147.017456
95.150000	1126.017212
95.700000	1150.017578
96.250000	1168.017822
96.800000	1176.017944
97.350000	1176.017944
97.900000	1176.017944
98.450000	1193.018188
99.000000	1197.018311
99.550000	1216.018555
100.100000	1216.018555
100.650000	1216.018555
101.200000	1280.019531
101.750000	1284.019653
102.300000	1284.019653
102.850000	1284.019653
103.400000	1255.019165
103.950000	1255.019165
104.500000	1255.019165
105.050000	1195.018188
105.600000	1176.017944
106.150000	1166.017822
106.700000	1175.017944
107.250000	1181.018066
107.800000	1202.018311
108.350000	1270.019409
108.900000	1270.019409
109.450000	1362.020752
110.000000	1314.020020
110.550000	1314.020020
