This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	100.000473
0.550000	88.998734
1.100000	100.000473
1.650000	100.000473
2.200000	100.000473
2.750000	100.000473
3.300000	100.000473
3.850000	100.000473
4.400000	100.000473
4.950000	64.001129
5.500000	64.001129
6.050000	64.001129
6.600000	64.001129
7.150000	77.000977
7.700000	81.999283
8.250000	91.998932
8.800000	91.998932
9.350000	91.998932
9.900000	91.998932
10.450000	91.998932
11.000000	91.998932
11.550000	91.998932
12.100000	91.998932
12.650000	91.998932
13.200000	91.998932
13.750000	91.998932
14.300000	91.998932
14.850000	91.998932
15.400000	91.998932
15.950000	91.998932
16.500000	84.000427
17.050000	84.000427
17.600000	84.000427
18.150000	91.998932
18.700000	91.998932
19.250000	91.998932
19.800000	84.000427
20.350000	91.998932
20.900000	91.998932
21.450000	91.998932
22.000000	91.998932
22.550000	91.998932
23.100000	91.998932
23.650000	91.998932
24.200000	91.998932
24.750000	93.001022
25.300000	93.001022
25.850000	93.001022
26.400000	93.001022
26.950000	93.001022
27.500000	93.001022
28.050000	93.001022
28.600000	93.001022
29.150000	93.001022
29.700000	93.001022
30.250000	93.001022
30.800000	93.001022
31.350000	58.999786
31.900000	58.999786
32.450000	90.999878
33.000000	90.999878
33.550000	90.999878
34.100000	90.999878
34.650000	90.999878
35.200000	90.999878
35.750000	90.999878
36.300000	64.001129
36.850000	64.001129
37.400000	64.001129
37.950000	55.999588
38.500000	55.999588
39.050000	58.000732
39.600000	58.000732
40.150000	58.000732
40.700000	69.998489
41.250000	69.998489
41.800000	69.998489
42.350000	69.998489
42.900000	69.998489
43.450000	69.998489
44.000000	69.998489
44.550000	69.998489
45.100000	69.998489
45.650000	69.998489
46.200000	69.998489
46.750000	69.998489
47.300000	69.998489
47.850000	69.998489
48.400000	69.998489
48.950000	69.998489
49.500000	69.998489
50.050000	69.998489
50.600000	69.998489
51.150000	69.998489
51.700000	69.998489
52.250000	69.998489
52.800000	69.998489
53.350000	69.998489
53.900000	69.998489
54.450000	69.998489
55.000000	69.998489
55.550000	69.998489
56.100000	69.998489
56.650000	69.998489
57.200000	69.998489
57.750000	69.998489
58.300000	69.998489
58.850000	69.998489
59.400000	69.998489
59.950000	69.998489
60.500000	69.998489
61.050000	69.998489
61.600000	69.998489
62.150000	69.998489
62.700000	69.998489
63.250000	69.998489
63.800000	69.998489
64.350000	69.998489
64.900000	69.998489
65.450000	55.999588
66.000000	55.999588
66.550000	55.999588
67.100000	55.999588
67.650000	55.999588
68.200000	55.999588
68.750000	55.999588
69.300000	69.998489
69.850000	69.998489
70.400000	69.998489
70.950000	55.999588
71.500000	55.999588
72.050000	69.998489
72.600000	69.998489
73.150000	69.998489
73.700000	69.998489
74.250000	69.998489
74.800000	69.998489
75.350000	69.998489
75.900000	69.998489
76.450000	69.998489
77.000000	55.999588
77.550000	55.999588
78.100000	55.999588
78.650000	55.999588
79.200000	55.999588
79.750000	69.998489
80.300000	69.998489
80.850000	69.998489
81.400000	69.998489
81.950000	69.998489
82.500000	69.998489
83.050000	69.998489
83.600000	69.998489
84.150000	55.999588
84.700000	55.999588
85.250000	55.999588
85.800000	69.998489
86.350000	69.998489
86.900000	69.998489
87.450000	55.999588
88.000000	55.999588
88.550000	55.999588
89.100000	55.999588
89.650000	55.999588
90.200000	55.999588
90.750000	55.999588
91.300000	55.999588
91.850000	55.999588
92.400000	55.999588
92.950000	55.999588
93.500000	55.999588
94.050000	55.999588
94.600000	55.999588
95.150000	55.999588
95.700000	55.999588
96.250000	55.999588
96.800000	55.999588
97.350000	55.999588
97.900000	55.999588
98.450000	55.999588
99.000000	55.999588
99.550000	55.999588
100.100000	55.999588
100.650000	55.999588
101.200000	55.999588
101.750000	55.999588
102.300000	55.999588
102.850000	55.999588
103.400000	69.998489
103.950000	69.998489
104.500000	69.998489
105.050000	69.998489
105.600000	69.998489
106.150000	39.000488
106.700000	39.000488
107.250000	39.000488
107.800000	39.000488
108.350000	10.000595
108.900000	10.000595
109.450000	10.000595
110.000000	10.000595
110.550000	10.000595
