This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	12.000183
0.550000	16.000244
1.100000	21.000320
1.650000	27.000412
2.200000	31.000473
2.750000	35.000534
3.300000	36.000549
3.850000	36.000549
4.400000	36.000549
4.950000	34.000519
5.500000	29.000443
6.050000	26.000397
6.600000	25.000381
7.150000	22.000336
7.700000	22.000336
8.250000	22.000336
8.800000	27.000412
9.350000	33.000504
9.900000	42.000641
10.450000	49.000748
11.000000	60.000916
11.550000	68.001038
12.100000	76.001160
12.650000	84.001282
13.200000	92.001404
13.750000	102.001556
14.300000	111.001694
14.850000	116.001770
15.400000	123.001877
15.950000	129.001968
16.500000	137.002090
17.050000	145.002213
17.600000	154.002350
18.150000	157.002396
18.700000	168.002563
19.250000	178.002716
19.800000	186.002838
20.350000	199.003036
20.900000	208.003174
21.450000	218.003326
22.000000	226.003448
22.550000	236.003601
23.100000	243.003708
23.650000	251.003830
24.200000	261.003998
24.750000	271.004150
25.300000	282.004303
25.850000	293.004486
26.400000	305.004669
26.950000	310.004730
27.500000	325.004974
28.050000	333.005096
28.600000	346.005280
29.150000	351.005371
29.700000	361.005524
30.250000	367.005615
30.800000	377.005768
31.350000	383.005859
31.900000	390.005951
32.450000	405.006195
33.000000	408.006226
33.550000	411.006287
34.100000	418.506409
34.650000	427.006531
35.200000	430.006561
35.750000	431.506592
36.300000	439.006714
36.850000	467.007141
37.400000	477.007294
37.950000	485.007416
38.500000	499.007629
39.050000	504.007690
39.600000	508.007751
40.150000	521.507935
40.700000	529.508057
41.250000	540.008240
41.800000	545.508301
42.350000	552.008423
42.900000	556.008484
43.450000	559.008545
44.000000	573.508789
44.550000	581.008850
45.100000	596.009094
45.650000	598.009155
46.200000	619.009460
46.750000	628.009583
47.300000	636.009705
47.850000	639.509766
48.400000	658.010071
48.950000	665.510132
49.500000	686.010498
50.050000	689.510498
50.600000	696.010620
51.150000	714.010925
51.700000	726.011108
52.250000	726.011108
52.800000	731.011169
53.350000	741.511353
53.900000	760.511597
54.450000	765.511719
55.000000	774.011841
55.550000	780.011902
56.100000	790.012085
56.650000	792.012085
57.200000	795.012146
57.750000	810.012390
58.300000	814.012451
58.850000	815.012451
59.400000	814.012451
59.950000	828.012634
60.500000	836.512756
61.050000	855.013062
61.600000	864.013184
62.150000	864.013184
62.700000	866.013245
63.250000	865.013184
63.800000	865.013184
64.350000	867.513245
64.900000	871.013306
65.450000	911.513916
66.000000	912.513916
66.550000	912.513916
67.100000	911.013916
67.650000	932.014221
68.200000	930.514221
68.750000	923.014099
69.300000	914.013977
69.850000	916.013977
70.400000	917.013977
70.950000	915.513977
71.500000	920.014038
72.050000	942.514404
72.600000	989.015076
73.150000	996.015198
73.700000	997.015259
74.250000	998.015259
74.800000	999.515259
75.350000	997.015198
75.900000	999.015259
76.450000	999.015259
77.000000	1009.515381
77.550000	1037.015869
78.100000	1040.015869
78.650000	1040.515869
79.200000	1034.515747
79.750000	1035.015869
80.300000	1034.015747
80.850000	1057.016113
81.400000	1056.016113
81.950000	1057.016113
82.500000	1056.016113
83.050000	1071.516357
83.600000	1084.016602
84.150000	1095.016724
84.700000	1095.016724
85.250000	1095.016724
85.800000	1093.016724
86.350000	1093.016724
86.900000	1093.016724
87.450000	1075.016357
88.000000	1061.016235
88.550000	1062.016235
89.100000	1085.016602
89.650000	1085.016602
90.200000	1173.017944
90.750000	1176.017944
91.300000	1177.017944
91.850000	1177.517944
92.400000	1175.017944
92.950000	1177.517944
93.500000	1166.017822
94.050000	1163.017700
94.600000	1129.017212
95.150000	1124.017212
95.700000	1124.017212
96.250000	1132.017334
96.800000	1133.017334
97.350000	1133.017334
97.900000	1130.017212
98.450000	1138.017334
99.000000	1136.517334
99.550000	1147.017456
100.100000	1147.017456
100.650000	1155.017578
101.200000	1166.017822
101.750000	1166.017822
102.300000	1160.017700
102.850000	1167.017822
103.400000	1219.518555
103.950000	1205.018433
104.500000	1218.018555
105.050000	1218.018555
105.600000	1207.018433
106.150000	1209.018433
106.700000	1211.018433
107.250000	1213.018555
107.800000	1291.019653
108.350000	1273.019409
108.900000	1299.019775
109.450000	1410.521484
110.000000	1336.520386
110.550000	1336.520386
