This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	10.000153
0.550000	14.000214
1.100000	18.000275
1.650000	24.000366
2.200000	28.000427
2.750000	30.000458
3.300000	31.000473
3.850000	31.000473
4.400000	31.000473
4.950000	29.000443
5.500000	26.000397
6.050000	24.000366
6.600000	22.000336
7.150000	22.000336
7.700000	22.000336
8.250000	22.000336
8.800000	25.000381
9.350000	31.000473
9.900000	38.000580
10.450000	45.000687
11.000000	53.000809
11.550000	62.000946
12.100000	68.001038
12.650000	76.001160
13.200000	85.001297
13.750000	93.001419
14.300000	101.001541
14.850000	110.001678
15.400000	117.001785
15.950000	125.001907
16.500000	129.001968
17.050000	136.002075
17.600000	144.002197
18.150000	151.002304
18.700000	158.002411
19.250000	166.002533
19.800000	172.002625
20.350000	188.002869
20.900000	197.003006
21.450000	206.003143
22.000000	213.003250
22.550000	220.003357
23.100000	223.003403
23.650000	231.003525
24.200000	243.003708
24.750000	251.003830
25.300000	258.003937
25.850000	269.004120
26.400000	280.004272
26.950000	287.004395
27.500000	293.004486
28.050000	298.004547
28.600000	307.004700
29.150000	313.004791
29.700000	325.004974
30.250000	331.005066
30.800000	338.005157
31.350000	345.005280
31.900000	352.005371
32.450000	360.005493
33.000000	366.005585
33.550000	370.005646
34.100000	376.005737
34.650000	385.005890
35.200000	392.005981
35.750000	396.006042
36.300000	406.006195
36.850000	414.006317
37.400000	424.006470
37.950000	432.006592
38.500000	437.006683
39.050000	472.007202
39.600000	479.007324
40.150000	488.007446
40.700000	500.007629
41.250000	505.007721
41.800000	510.007782
42.350000	516.007874
42.900000	524.007996
43.450000	529.008057
44.000000	538.508240
44.550000	547.008362
45.100000	561.008545
45.650000	566.008667
46.200000	588.008972
46.750000	598.009155
47.300000	608.009277
47.850000	611.009338
48.400000	621.009460
48.950000	631.009644
49.500000	641.509766
50.050000	650.509949
50.600000	656.010010
51.150000	671.010254
51.700000	683.510437
52.250000	685.010437
52.800000	687.010498
53.350000	693.510620
53.900000	706.010803
54.450000	714.010925
55.000000	720.510986
55.550000	724.511047
56.100000	733.011169
56.650000	736.011230
57.200000	739.011292
57.750000	748.511414
58.300000	750.011475
58.850000	752.011475
59.400000	757.011536
59.950000	769.011719
60.500000	783.011963
61.050000	785.511963
61.600000	792.012085
62.150000	791.012085
62.700000	800.012207
63.250000	801.012207
63.800000	806.012329
64.350000	811.012390
64.900000	814.012451
65.450000	835.012756
66.000000	839.012817
66.550000	841.512817
67.100000	845.012878
67.650000	848.512939
68.200000	848.012939
68.750000	850.013000
69.300000	852.013000
69.850000	852.013000
70.400000	852.013000
70.950000	852.013000
71.500000	853.013062
72.050000	860.013123
72.600000	884.013489
73.150000	887.513550
73.700000	888.513550
74.250000	923.014099
74.800000	920.514038
75.350000	922.014099
75.900000	920.514038
76.450000	920.014038
77.000000	938.014343
77.550000	947.014465
78.100000	958.014648
78.650000	960.014648
79.200000	960.014648
79.750000	960.014648
80.300000	960.014648
80.850000	963.014709
81.400000	966.014771
81.950000	966.014771
82.500000	966.014771
83.050000	967.014771
83.600000	969.014771
84.150000	991.015137
84.700000	991.015137
85.250000	990.515137
85.800000	976.014893
86.350000	977.014893
86.900000	977.014893
87.450000	992.015137
88.000000	993.015137
88.550000	994.015198
89.100000	1021.015564
89.650000	1023.015625
90.200000	1055.016113
90.750000	1084.016602
91.300000	1082.016479
91.850000	1084.016602
92.400000	1080.016479
92.950000	1081.516479
93.500000	1073.016357
94.050000	1071.016357
94.600000	1053.016113
95.150000	1033.015747
95.700000	1030.015747
96.250000	1034.515869
96.800000	1037.515869
97.350000	1038.015869
97.900000	1044.015991
98.450000	1061.016235
99.000000	1073.016357
99.550000	1078.016479
100.100000	1078.016479
100.650000	1086.016602
101.200000	1099.016724
101.750000	1099.016724
102.300000	1098.516724
102.850000	1101.016846
103.400000	1102.516846
103.950000	1091.016602
104.500000	1070.016357
105.050000	1070.016357
105.600000	1058.016113
106.150000	1036.015869
106.700000	1036.015869
107.250000	1041.015869
107.800000	1080.016479
108.350000	1117.017090
108.900000	1117.017090
109.450000	1231.518799
110.000000	1177.017944
110.550000	1177.017944
