This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z:
Results Amplitude:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	3.584831
0.550000	2.482635
1.100000	2.007182
1.650000	2.782392
2.200000	2.419409
2.750000	1.588360
3.300000	1.557666
3.850000	1.526808
4.400000	1.479357
4.950000	1.389843
5.500000	1.523149
6.050000	1.718140
6.600000	1.799070
7.150000	1.674677
7.700000	1.759842
8.250000	1.821053
8.800000	2.095470
9.350000	2.059414
9.900000	2.265320
10.450000	2.103831
11.000000	2.052144
11.550000	1.989243
12.100000	1.985473
12.650000	1.779438
13.200000	2.054246
13.750000	2.363950
14.300000	2.722960
14.850000	2.473656
15.400000	2.399688
15.950000	2.622710
16.500000	2.802528
17.050000	2.360877
17.600000	2.357934
18.150000	1.996595
18.700000	2.259101
19.250000	2.113439
19.800000	2.232745
20.350000	2.290119
20.900000	2.271284
21.450000	2.251614
22.000000	2.408667
22.550000	2.419870
23.100000	2.511998
23.650000	1.743819
24.200000	1.727635
24.750000	1.654030
25.300000	1.633166
25.850000	1.859923
26.400000	2.156784
26.950000	2.331975
27.500000	1.780100
28.050000	2.349100
28.600000	2.584786
29.150000	2.269066
29.700000	2.526691
30.250000	2.845626
30.800000	2.625276
31.350000	2.707587
31.900000	2.632429
32.450000	2.619877
33.000000	2.458423
33.550000	2.693745
34.100000	2.700997
34.650000	2.265585
35.200000	2.087464
35.750000	2.046975
36.300000	1.967048
36.850000	1.912626
37.400000	2.141858
37.950000	2.411501
38.500000	2.675846
39.050000	2.008993
39.600000	2.198514
40.150000	2.153380
40.700000	1.919463
41.250000	1.983987
41.800000	2.006972
42.350000	2.252914
42.900000	2.287812
43.450000	2.035842
44.000000	1.859800
44.550000	1.888413
45.100000	1.775147
45.650000	2.177518
46.200000	2.185477
46.750000	2.267024
47.300000	2.409848
47.850000	2.042851
48.400000	1.930897
48.950000	1.905725
49.500000	1.909152
50.050000	1.872839
50.600000	1.879654
51.150000	1.900810
51.700000	2.137908
52.250000	2.098761
52.800000	2.045934
53.350000	2.148795
53.900000	2.265138
54.450000	2.448971
55.000000	2.564123
55.550000	2.340654
56.100000	1.715530
56.650000	2.011106
57.200000	1.816996
57.750000	1.836817
58.300000	2.168310
58.850000	2.370087
59.400000	2.202078
59.950000	2.367784
60.500000	2.229301
61.050000	1.987681
61.600000	2.220375
62.150000	2.274568
62.700000	2.622617
63.250000	2.236091
63.800000	2.264781
64.350000	2.247031
64.900000	2.268172
65.450000	2.290517
66.000000	2.305758
66.550000	2.230798
67.100000	2.536987
67.650000	2.689535
68.200000	1.765993
68.750000	1.670745
69.300000	1.511082
69.850000	1.505530
70.400000	1.524538
70.950000	1.530440
71.500000	1.764125
72.050000	1.623719
72.600000	1.774411
73.150000	1.770636
73.700000	1.908461
74.250000	1.961779
74.800000	2.345636
75.350000	1.828046
75.900000	1.696718
76.450000	1.771276
77.000000	2.195183
77.550000	2.388226
78.100000	2.473815
78.650000	2.225205
79.200000	2.233124
79.750000	2.359190
80.300000	2.332110
80.850000	2.736344
81.400000	2.819995
81.950000	2.704110
82.500000	3.024213
83.050000	3.202092
83.600000	3.190055
84.150000	3.094449
84.700000	3.040484
85.250000	2.702729
85.800000	2.375076
86.350000	2.170945
86.900000	2.168505
87.450000	2.121747
88.000000	1.978197
88.550000	2.393808
89.100000	2.531732
89.650000	2.555980
90.200000	2.457621
90.750000	2.494440
91.300000	2.176173
91.850000	2.486366
92.400000	2.136380
92.950000	2.683321
93.500000	2.764067
94.050000	2.051171
94.600000	2.009221
95.150000	1.959551
95.700000	1.495635
96.250000	1.503214
96.800000	1.657540
97.350000	1.779025
97.900000	1.795758
98.450000	1.929424
99.000000	1.809289
99.550000	1.813938
100.100000	1.654093
100.650000	1.622050
101.200000	1.243554
101.750000	1.273614
102.300000	1.208885
102.850000	1.287257
103.400000	1.335954
103.950000	1.490780
104.500000	1.287801
105.050000	1.330156
105.600000	1.403714
106.150000	1.479700
106.700000	1.599813
107.250000	1.705963
107.800000	1.928624
108.350000	1.685380
108.900000	1.841720
109.450000	2.030826
110.000000	1.996688
110.550000	2.037268
111.100000	1.867733
111.650000	2.470750
112.200000	2.550676
112.750000	2.721360
113.300000	2.526007
113.850000	2.504406
114.400000	2.412737
114.950000	2.264961
115.500000	1.914876
116.050000	1.903225
116.600000	1.755172
117.150000	1.753028
117.700000	1.763542
118.250000	1.769253
118.800000	1.930247
119.350000	1.911062
119.900000	2.111038
120.450000	1.348175
121.000000	1.990172
121.550000	1.637745
122.100000	1.396729
122.650000	1.280437
123.200000	1.186119
123.750000	1.229328
124.300000	1.511101
124.850000	1.447724
125.400000	1.419897
125.950000	1.377457
126.500000	1.562430
127.050000	1.799893
127.600000	2.067148
128.150000	2.234604
128.700000	2.037791
129.250000	2.007955
129.800000	1.816282
130.350000	1.733748
130.900000	1.792726
131.450000	1.947282
132.000000	1.989126
132.550000	1.730347
133.100000	1.218098
133.650000	1.983941
134.200000	0.861321
134.750000	1.976420
135.300000	2.052380
135.850000	1.889893
136.400000	1.816659
136.950000	1.663078
137.500000	1.507074
138.050000	1.441594
138.600000	1.254967
139.150000	1.278454
139.700000	1.279669
140.250000	1.334378
140.800000	1.436100
141.350000	1.463868
141.900000	1.002347
142.450000	0.805409
143.000000	0.597967
143.550000	0.790795
144.100000	0.835603
144.650000	0.753079
145.200000	0.554722
145.750000	0.474903
146.300000	0.468194
146.850000	
147.400000	
147.950000	
148.500000	
149.050000	
149.600000	
150.150000	
150.700000	
151.250000	
151.800000	
152.350000	
152.900000	
153.450000	
154.000000	
154.550000	
155.100000	
155.650000	
156.200000	
156.750000	
157.300000	
157.850000	
158.400000	
158.950000	
159.500000	
160.050000	
160.600000	
161.150000	
161.700000	
162.250000	
162.800000	
163.350000	
163.900000	
164.450000	
165.000000	
165.550000	
166.100000	
166.650000	
167.200000	
167.750000	
168.300000	
168.850000	
169.400000	
169.950000	
170.500000	
171.050000	
171.600000	
172.150000	
172.700000	
173.250000	
173.800000	
174.350000	
174.900000	
175.450000	
176.000000	
176.550000	
177.100000	
177.650000	
178.200000	
178.750000	
179.300000	
179.850000	
180.400000	
180.950000	
181.500000	
182.050000	
182.600000	
183.150000	
183.700000	
184.250000	
184.800000	
185.350000	
185.900000	
186.450000	
187.000000	
187.550000	
188.100000	
188.650000	
189.200000	
189.750000	
190.300000	
190.850000	
191.400000	
191.950000	
192.500000	
193.050000	
193.600000	
194.150000	
194.700000	
195.250000	
195.800000	
196.350000	
196.900000	
197.450000	
198.000000	
198.550000	
199.100000	
199.650000	
200.200000	
200.750000	
201.300000	
201.850000	
202.400000	
202.950000	
203.500000	
204.050000	
204.600000	
205.150000	
205.700000	
206.250000	
206.800000	
207.350000	
207.900000	
208.450000	
209.000000	
209.550000	
210.100000	
210.650000	
211.200000	
211.750000	
212.300000	
212.850000	
213.400000	
213.950000	
214.500000	
215.050000	
215.600000	
216.150000	
216.700000	
217.250000	
217.800000	
218.350000	
218.900000	
219.450000	
220.000000	
220.550000	
221.100000	
221.650000	
222.200000	
222.750000	
223.300000	
223.850000	
224.400000	
224.950000	
225.500000	
226.050000	
226.600000	
227.150000	
227.700000	
228.250000	
228.800000	
229.350000	
229.900000	
230.450000	
231.000000	
231.550000	
232.100000	
232.650000	
233.200000	
233.750000	
234.300000	
234.850000	
235.400000	
235.950000	
236.500000	
237.050000	
237.600000	
238.150000	
238.700000	
239.250000	
239.800000	
240.350000	
240.900000	
241.450000	
242.000000	
242.550000	
243.100000	
243.650000	
244.200000	
244.750000	
245.300000	
245.850000	
246.400000	
246.950000	
247.500000	
248.050000	
248.600000	
249.150000	
249.700000	
250.250000	
250.800000	
251.350000	
251.900000	
252.450000	
253.000000	
253.550000	
254.100000	
254.650000	
255.200000	
255.750000	
256.300000	
256.850000	
