This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	26.374420
0.550000	26.538019
1.100000	26.709311
1.650000	32.053856
2.200000	32.341427
2.750000	32.432468
3.300000	29.622429
3.850000	29.257156
4.400000	28.077082
4.950000	28.027679
5.500000	28.420736
6.050000	28.918276
6.600000	30.162285
7.150000	30.218033
7.700000	29.345385
8.250000	28.970383
8.800000	29.491249
9.350000	26.916164
9.900000	25.288013
10.450000	25.322458
11.000000	25.322458
11.550000	25.864279
12.100000	26.703691
12.650000	27.092819
13.200000	26.998184
13.750000	27.460070
14.300000	27.908525
14.850000	27.989882
15.400000	27.579300
15.950000	26.977654
16.500000	26.766403
17.050000	26.757141
17.600000	27.165834
18.150000	27.353909
18.700000	26.847076
19.250000	27.987795
19.800000	28.032183
20.350000	29.640814
20.900000	29.738108
21.450000	29.843061
22.000000	30.558756
22.550000	30.919678
23.100000	30.513191
23.650000	29.714752
24.200000	28.006876
24.750000	26.759680
25.300000	26.662477
25.850000	26.664381
26.400000	26.619980
26.950000	27.415503
27.500000	27.207636
28.050000	27.236311
28.600000	26.297068
29.150000	26.000383
29.700000	25.750443
30.250000	25.428364
30.800000	26.246698
31.350000	27.201014
31.900000	28.209059
32.450000	28.280954
33.000000	27.826416
33.550000	27.128664
34.100000	26.532608
34.650000	24.906515
35.200000	24.667143
35.750000	24.643280
36.300000	24.656769
36.850000	24.239408
37.400000	23.245161
37.950000	23.218479
38.500000	23.228746
39.050000	26.275639
39.600000	27.049633
40.150000	27.690687
40.700000	27.854418
41.250000	27.924397
41.800000	27.934479
42.350000	27.689184
42.900000	27.689260
43.450000	27.719576
44.000000	27.748369
44.550000	27.831347
45.100000	25.118198
45.650000	25.272566
46.200000	25.424713
46.750000	27.433666
47.300000	27.780743
47.850000	27.743608
48.400000	27.878506
48.950000	28.146246
49.500000	28.251862
50.050000	28.296474
50.600000	28.750675
51.150000	29.241982
51.700000	29.112068
52.250000	28.757259
52.800000	28.923996
53.350000	28.375843
53.900000	28.344603
54.450000	28.325878
55.000000	28.685926
55.550000	29.476740
56.100000	30.077271
56.650000	30.443424
57.200000	30.583359
57.750000	30.500639
58.300000	29.774811
58.850000	29.115007
59.400000	28.175375
59.950000	27.557095
60.500000	27.440672
61.050000	27.443329
61.600000	27.515110
62.150000	27.455751
62.700000	27.780111
63.250000	27.349720
63.800000	26.649734
64.350000	25.198898
64.900000	23.408661
65.450000	22.865215
66.000000	22.833138
66.550000	21.371094
67.100000	22.479120
67.650000	22.698727
68.200000	23.886921
68.750000	23.223162
69.300000	23.269621
69.850000	23.698677
70.400000	24.647224
70.950000	26.381763
71.500000	26.796644
72.050000	26.563021
72.600000	26.369104
73.150000	25.054701
73.700000	24.918350
74.250000	24.563818
74.800000	24.289915
75.350000	24.277494
75.900000	24.298632
76.450000	23.805706
77.000000	23.287540
77.550000	22.850170
78.100000	22.031782
78.650000	21.914152
79.200000	21.889196
79.750000	21.925175
80.300000	23.043119
80.850000	23.771805
81.400000	24.514166
81.950000	25.982840
82.500000	26.141691
83.050000	26.228155
83.600000	24.979004
84.150000	24.357225
84.700000	23.438953
85.250000	23.399557
85.800000	23.363560
86.350000	24.147652
86.900000	25.344152
87.450000	25.373348
88.000000	25.309725
88.550000	25.024347
89.100000	24.633730
89.650000	23.852268
90.200000	22.910240
90.750000	22.623728
91.300000	22.119783
91.850000	22.185209
92.400000	22.431425
92.950000	22.668072
93.500000	22.666239
94.050000	21.889568
94.600000	21.976936
95.150000	22.841154
95.700000	25.339653
96.250000	25.974440
96.800000	25.974440
97.350000	25.974440
97.900000	26.066858
98.450000	26.057203
99.000000	25.951595
99.550000	30.284378
100.100000	30.281820
100.650000	30.309013
101.200000	25.425024
101.750000	24.821829
102.300000	24.246250
102.850000	24.386017
103.400000	24.711758
103.950000	25.007120
104.500000	25.015638
105.050000	24.052019
105.600000	23.707623
106.150000	22.027706
106.700000	22.027706
107.250000	23.693808
107.800000	26.468105
108.350000	25.156456
108.900000	25.156456
109.450000	25.175941
110.000000	25.157974
110.550000	25.157974
