This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
peak height of primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	166.816711
0.550000	137.899994
1.100000	111.226402
1.650000	111.226402
2.200000	71.948486
2.750000	71.948486
3.300000	30.427418
3.850000	30.427418
4.400000	30.427418
4.950000	26.292097
5.500000	25.010300
6.050000	24.323624
6.600000	21.836327
7.150000	18.128271
7.700000	17.395815
8.250000	16.999069
8.800000	15.808829
9.350000	17.487373
9.900000	17.487373
10.450000	17.929897
11.000000	17.929897
11.550000	17.929897
12.100000	17.609449
12.650000	17.609449
13.200000	17.884119
13.750000	17.884119
14.300000	17.884119
14.850000	17.090626
15.400000	20.752903
15.950000	25.880091
16.500000	30.244305
17.050000	32.243298
17.600000	32.243298
18.150000	32.243298
18.700000	28.581020
19.250000	26.978773
19.800000	26.978773
20.350000	26.978773
20.900000	31.358248
21.450000	31.724474
22.000000	31.724474
22.550000	31.724474
23.100000	31.724474
23.650000	32.594265
24.200000	33.967621
24.750000	39.430515
25.300000	39.430515
25.850000	39.430515
26.400000	31.312468
26.950000	30.351120
27.500000	30.351120
28.050000	30.549494
28.600000	34.486443
29.150000	34.990005
29.700000	34.990005
30.250000	36.866920
30.800000	36.866920
31.350000	36.866920
31.900000	39.415257
32.450000	68.377762
33.000000	68.377762
33.550000	68.377762
34.100000	59.359406
34.650000	49.333923
35.200000	35.768238
35.750000	35.035782
36.300000	34.745853
36.850000	34.745853
37.400000	31.266689
37.950000	26.002167
38.500000	26.002167
39.050000	25.483345
39.600000	25.544382
40.150000	25.544382
40.700000	25.544382
41.250000	24.644072
41.800000	24.628813
42.350000	24.415180
42.900000	24.415180
43.450000	24.415180
44.000000	25.193415
44.550000	67.050186
45.100000	152.259171
45.650000	152.259171
46.200000	152.259171
46.750000	120.855141
47.300000	33.891323
47.850000	53.453983
48.400000	27.909603
48.950000	27.909603
49.500000	26.505730
50.050000	25.498604
50.600000	25.483345
51.150000	21.378542
51.700000	21.286985
52.250000	19.944151
52.800000	19.944151
53.350000	22.523005
53.900000	23.759022
54.450000	23.759022
55.000000	23.759022
55.550000	20.203562
56.100000	19.562664
56.650000	19.562664
57.200000	19.562664
57.750000	22.202555
58.300000	22.202555
58.850000	22.507744
59.400000	23.118124
59.950000	27.711229
60.500000	28.245312
61.050000	29.756001
61.600000	28.672577
62.150000	29.908596
62.700000	30.259563
63.250000	31.251431
63.800000	33.540352
64.350000	41.810997
64.900000	47.029739
65.450000	47.029739
66.000000	47.029739
66.550000	393.328552
67.100000	393.328552
67.650000	393.328552
68.200000	29.862818
68.750000	30.869944
69.300000	31.816032
69.850000	31.465063
70.400000	30.259563
70.950000	27.009293
71.500000	27.985901
72.050000	30.396900
72.600000	32.594265
73.150000	32.731602
73.700000	32.731602
74.250000	32.731602
74.800000	32.655304
75.350000	32.182259
75.900000	32.182259
76.450000	30.549494
77.000000	27.680710
77.550000	27.680710
78.100000	27.680710
78.650000	27.680710
79.200000	29.466070
79.750000	34.593258
80.300000	38.194496
80.850000	38.194496
81.400000	38.194496
81.950000	37.828270
82.500000	41.322693
83.050000	41.322693
83.600000	41.322693
84.150000	37.446781
84.700000	43.672653
85.250000	43.672653
85.800000	43.672653
86.350000	29.740742
86.900000	26.383654
87.450000	28.352127
88.000000	34.898449
88.550000	36.744846
89.100000	42.207741
89.650000	54.857857
90.200000	54.857857
90.750000	55.544537
91.300000	55.544537
91.850000	55.544537
92.400000	46.297287
92.950000	36.348099
93.500000	36.348099
94.050000	32.899456
94.600000	27.772268
95.150000	27.772268
95.700000	23.499611
96.250000	21.698992
96.800000	20.600307
97.350000	20.600307
97.900000	16.739658
98.450000	15.595197
99.000000	15.595197
99.550000	17.685745
100.100000	17.868860
100.650000	18.250347
101.200000	19.059099
101.750000	19.059099
102.300000	19.059099
102.850000	18.509758
103.400000	17.884119
103.950000	17.777304
104.500000	17.777304
105.050000	17.777304
105.600000	16.953291
106.150000	18.692873
106.700000	20.447714
107.250000	20.447714
107.800000	20.508751
108.350000	20.081486
108.900000	19.364290
109.450000	17.350037
110.000000	16.159798
110.550000	16.159798
