This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	46.604229
0.550000	45.957424
1.100000	45.319733
1.650000	44.675964
2.200000	44.675964
2.750000	44.675964
3.300000	36.540810
3.850000	35.951702
4.400000	33.461662
4.950000	33.461662
5.500000	33.461662
6.050000	33.461662
6.600000	33.267315
7.150000	33.267315
7.700000	33.267315
8.250000	31.254025
8.800000	31.800619
9.350000	31.800619
9.900000	31.800619
10.450000	31.800619
11.000000	31.800619
11.550000	31.815804
12.100000	31.815804
12.650000	31.815804
13.200000	30.616331
13.750000	29.183037
14.300000	29.626387
14.850000	29.626387
15.400000	29.626387
15.950000	29.438116
16.500000	29.438116
17.050000	29.517067
17.600000	29.517067
18.150000	29.517067
18.700000	29.237698
19.250000	36.501335
19.800000	37.041859
20.350000	37.403217
20.900000	39.082478
21.450000	39.865929
22.000000	39.881115
22.550000	39.881115
23.100000	39.881115
23.650000	39.537971
24.200000	38.487297
24.750000	37.123844
25.300000	37.123844
25.850000	37.123844
26.400000	36.243221
26.950000	35.909191
27.500000	35.541759
28.050000	35.541759
28.600000	34.718830
29.150000	34.448566
29.700000	33.273388
30.250000	33.273388
30.800000	33.273388
31.350000	33.124592
31.900000	32.984909
32.450000	34.834221
33.000000	34.834221
33.550000	34.834221
34.100000	34.314957
34.650000	31.603237
35.200000	28.970472
35.750000	27.160637
36.300000	27.160637
36.850000	25.557291
37.400000	25.296141
37.950000	25.296141
38.500000	25.672684
39.050000	28.763981
39.600000	30.002930
40.150000	30.804602
40.700000	30.892664
41.250000	30.892664
41.800000	30.892664
42.350000	30.054552
42.900000	30.054552
43.450000	30.054552
44.000000	30.054552
44.550000	30.336960
45.100000	30.549524
45.650000	30.549524
46.200000	30.549524
46.750000	30.549524
47.300000	30.206385
47.850000	30.206385
48.400000	30.206385
48.950000	31.108267
49.500000	32.183235
50.050000	32.183235
50.600000	32.183235
51.150000	31.764179
51.700000	31.764179
52.250000	31.764179
52.800000	31.463552
53.350000	29.559580
53.900000	29.854134
54.450000	29.854134
55.000000	30.507011
55.550000	31.703447
56.100000	32.025330
56.650000	32.025330
57.200000	32.025330
57.750000	31.861353
58.300000	31.220621
58.850000	30.853188
59.400000	29.395601
59.950000	28.824715
60.500000	28.824715
61.050000	28.824715
61.600000	28.824715
62.150000	28.836861
62.700000	29.495811
63.250000	29.495811
63.800000	29.495811
64.350000	28.338852
64.900000	28.108068
65.450000	28.004822
66.000000	28.004822
66.550000	27.221369
67.100000	27.221369
67.650000	27.221369
68.200000	25.806295
68.750000	24.354784
69.300000	24.354784
69.850000	24.861902
70.400000	25.833626
70.950000	28.305449
71.500000	28.563564
72.050000	28.563564
72.600000	28.563564
73.150000	26.926815
73.700000	26.926815
74.250000	26.926815
74.800000	26.926815
75.350000	26.926815
75.900000	26.696032
76.450000	26.696032
77.000000	25.341690
77.550000	25.144308
78.100000	24.679703
78.650000	24.679703
79.200000	24.476248
79.750000	24.840645
80.300000	25.165565
80.850000	25.241482
81.400000	26.419697
81.950000	27.701159
82.500000	27.701159
83.050000	27.701159
83.600000	26.872156
84.150000	26.334671
84.700000	24.928707
85.250000	24.928707
85.800000	24.928707
86.350000	24.998550
86.900000	26.735508
87.450000	26.735508
88.000000	26.735508
88.550000	26.735508
89.100000	26.735508
89.650000	26.088703
90.200000	25.010696
90.750000	25.010696
91.300000	24.597713
91.850000	23.893213
92.400000	23.865885
92.950000	23.865885
93.500000	23.865885
94.050000	23.261593
94.600000	23.261593
95.150000	24.640226
95.700000	26.137289
96.250000	26.893412
96.800000	26.893412
97.350000	26.893412
97.900000	26.893412
98.450000	26.893412
99.000000	26.887339
99.550000	31.639677
100.100000	31.639677
100.650000	31.639677
101.200000	28.016968
101.750000	28.016968
102.300000	25.572475
102.850000	25.344727
103.400000	25.344727
103.950000	25.994568
104.500000	25.994568
105.050000	25.214151
105.600000	24.297087
106.150000	22.213953
106.700000	22.213953
107.250000	23.723162
107.800000	26.826607
108.350000	25.198969
108.900000	25.198969
109.450000	25.299177
110.000000	25.299177
110.550000	25.299177
