This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	96.001221
0.550000	96.001221
1.100000	96.001221
1.650000	96.001221
2.200000	96.001221
2.750000	90.000824
3.300000	90.999878
3.850000	90.999878
4.400000	90.999878
4.950000	84.000427
5.500000	84.000427
6.050000	84.000427
6.600000	84.000427
7.150000	84.000427
7.700000	84.000427
8.250000	100.000473
8.800000	100.000473
9.350000	100.000473
9.900000	100.000473
10.450000	100.000473
11.000000	100.000473
11.550000	100.000473
12.100000	100.000473
12.650000	100.000473
13.200000	100.000473
13.750000	100.000473
14.300000	100.000473
14.850000	100.000473
15.400000	100.000473
15.950000	100.000473
16.500000	100.000473
17.050000	96.001221
17.600000	96.001221
18.150000	83.001373
18.700000	83.001373
19.250000	83.001373
19.800000	83.001373
20.350000	83.001373
20.900000	83.001373
21.450000	83.001373
22.000000	81.000229
22.550000	81.000229
23.100000	96.001221
23.650000	96.001221
24.200000	96.001221
24.750000	84.999481
25.300000	84.999481
25.850000	69.998489
26.400000	65.000183
26.950000	67.001328
27.500000	67.001328
28.050000	67.001328
28.600000	67.001328
29.150000	67.001328
29.700000	67.001328
30.250000	64.001129
30.800000	55.999588
31.350000	94.999130
31.900000	94.999130
32.450000	94.999130
33.000000	94.999130
33.550000	94.999130
34.100000	94.999130
34.650000	94.999130
35.200000	94.999130
35.750000	94.999130
36.300000	55.000534
36.850000	55.000534
37.400000	55.000534
37.950000	55.000534
38.500000	55.000534
39.050000	46.998993
39.600000	46.998993
40.150000	46.998993
40.700000	46.998993
41.250000	84.999481
41.800000	84.999481
42.350000	84.999481
42.900000	84.999481
43.450000	84.999481
44.000000	84.999481
44.550000	84.999481
45.100000	100.000473
45.650000	100.000473
46.200000	100.000473
46.750000	84.999481
47.300000	84.999481
47.850000	84.999481
48.400000	39.000488
48.950000	72.998688
49.500000	72.998688
50.050000	72.998688
50.600000	72.998688
51.150000	72.998688
51.700000	72.998688
52.250000	72.998688
52.800000	72.998688
53.350000	83.001373
53.900000	83.001373
54.450000	83.001373
55.000000	68.999435
55.550000	68.999435
56.100000	68.999435
56.650000	68.999435
57.200000	61.000931
57.750000	61.000931
58.300000	61.000931
58.850000	61.000931
59.400000	61.000931
59.950000	61.000931
60.500000	61.000931
61.050000	61.000931
61.600000	61.000931
62.150000	61.000931
62.700000	61.000931
63.250000	58.999786
63.800000	58.999786
64.350000	58.999786
64.900000	58.999786
65.450000	58.999786
66.000000	58.999786
66.550000	58.999786
67.100000	58.999786
67.650000	68.999435
68.200000	68.999435
68.750000	68.999435
69.300000	74.999832
69.850000	74.999832
70.400000	74.999832
70.950000	39.000488
71.500000	39.000488
72.050000	39.000488
72.600000	39.000488
73.150000	39.000488
73.700000	39.000488
74.250000	39.000488
74.800000	39.000488
75.350000	39.000488
75.900000	39.000488
76.450000	39.000488
77.000000	39.000488
77.550000	39.000488
78.100000	39.000488
78.650000	39.000488
79.200000	39.000488
79.750000	39.000488
80.300000	39.000488
80.850000	14.998901
81.400000	55.000534
81.950000	55.000534
82.500000	55.000534
83.050000	14.998901
83.600000	14.998901
84.150000	14.998901
84.700000	19.001190
85.250000	19.001190
85.800000	19.001190
86.350000	19.001190
86.900000	19.001190
87.450000	19.001190
88.000000	30.998947
88.550000	30.998947
89.100000	30.998947
89.650000	30.998947
90.200000	30.998947
90.750000	30.998947
91.300000	30.998947
91.850000	27.998749
92.400000	27.998749
92.950000	27.998749
93.500000	27.998749
94.050000	22.001389
94.600000	22.001389
95.150000	48.001083
95.700000	48.001083
96.250000	48.001083
96.800000	48.001083
97.350000	48.001083
97.900000	33.000092
98.450000	33.000092
99.000000	33.000092
99.550000	32.001038
100.100000	23.999496
100.650000	23.999496
101.200000	23.999496
101.750000	23.999496
102.300000	23.999496
102.850000	23.999496
103.400000	23.999496
103.950000	16.000992
104.500000	19.001190
105.050000	16.000992
105.600000	16.000992
106.150000	7.999451
106.700000	7.999451
107.250000	7.999451
107.800000	7.999451
108.350000	7.000397
108.900000	7.000397
109.450000	24.998550
110.000000	24.998550
110.550000	24.998550
