This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	12.802711
0.550000	12.054996
1.100000	11.475135
1.650000	11.475135
2.200000	10.788458
2.750000	10.376451
3.300000	9.796591
3.850000	9.796591
4.400000	9.796591
4.950000	11.200464
5.500000	11.154685
6.050000	11.368319
6.600000	11.429357
7.150000	11.459875
7.700000	11.475135
8.250000	11.505653
8.800000	11.612470
9.350000	11.963438
9.900000	12.497520
10.450000	12.619596
11.000000	12.879007
11.550000	12.650115
12.100000	12.177071
12.650000	12.039736
13.200000	12.314406
13.750000	13.016343
14.300000	12.802711
14.850000	12.787451
15.400000	12.650115
15.950000	12.360185
16.500000	12.253368
17.050000	12.238109
17.600000	11.612470
18.150000	11.978698
18.700000	12.161812
19.250000	12.329666
19.800000	12.375444
20.350000	12.589077
20.900000	12.848489
21.450000	12.894267
22.000000	12.970565
22.550000	12.985824
23.100000	13.245235
23.650000	13.260495
24.200000	13.458868
24.750000	13.413090
25.300000	13.291014
25.850000	13.535166
26.400000	13.550425
26.950000	13.931912
27.500000	14.374437
28.050000	14.618589
28.600000	15.366304
29.150000	15.946164
29.700000	16.144537
30.250000	16.144537
30.800000	16.159798
31.350000	16.098759
31.900000	16.037722
32.450000	16.007202
33.000000	15.778310
33.550000	15.991943
34.100000	15.953794
34.650000	15.717272
35.200000	15.427342
35.750000	15.137412
36.300000	15.137412
36.850000	15.335785
37.400000	16.648102
37.950000	16.876993
38.500000	16.892252
39.050000	15.228969
39.600000	14.710146
40.150000	14.229472
40.700000	14.244732
41.250000	14.328659
41.800000	14.450735
42.350000	14.755924
42.900000	15.152671
43.450000	15.305266
44.000000	15.228969
44.550000	15.137412
45.100000	15.076374
45.650000	15.076374
46.200000	15.274747
46.750000	15.457861
47.300000	15.457861
47.850000	15.549417
48.400000	15.320525
48.950000	15.206079
49.500000	14.542292
50.050000	14.488884
50.600000	15.167931
51.150000	15.427342
51.700000	15.526529
52.250000	15.518899
52.800000	15.518899
53.350000	15.694384
53.900000	15.969053
54.450000	15.892756
55.000000	15.419712
55.550000	14.710146
56.100000	13.474128
56.650000	13.291014
57.200000	13.291014
57.750000	13.825096
58.300000	14.633848
58.850000	15.640975
59.400000	16.083500
59.950000	16.602322
60.500000	16.640471
61.050000	17.082996
61.600000	17.517891
62.150000	16.732029
62.700000	15.991943
63.250000	15.366304
63.800000	15.167931
64.350000	15.831718
64.900000	17.266109
65.450000	17.662857
66.000000	17.662857
66.550000	16.907513
67.100000	16.068241
67.650000	15.976684
68.200000	16.037722
68.750000	15.503639
69.300000	14.588070
69.850000	14.313399
70.400000	14.298140
70.950000	14.511772
71.500000	14.733036
72.050000	15.106893
72.600000	15.152671
73.150000	15.938535
73.700000	16.503136
74.250000	16.983810
74.800000	17.411076
75.350000	18.021456
75.900000	18.799688
76.450000	19.104879
77.000000	18.937023
77.550000	18.937023
78.100000	18.250347
78.650000	18.105381
79.200000	17.807821
79.750000	17.380556
80.300000	17.380556
80.850000	17.380556
81.400000	17.929897
81.950000	18.677612
82.500000	21.317505
83.050000	20.859718
83.600000	22.263592
84.150000	19.974669
84.700000	21.447210
85.250000	21.576916
85.800000	21.073353
86.350000	20.615568
86.900000	20.417194
87.450000	19.684738
88.000000	19.715258
88.550000	19.989929
89.100000	19.959410
89.650000	19.822075
90.200000	19.173546
90.750000	18.853096
91.300000	18.830208
91.850000	18.494499
92.400000	18.364794
92.950000	18.090122
93.500000	17.945158
94.050000	17.426334
94.600000	16.861734
95.150000	15.503639
95.700000	15.396823
96.250000	15.084003
96.800000	14.496513
97.350000	13.924282
97.900000	12.497520
98.450000	12.497520
99.000000	12.489891
99.550000	12.924786
100.100000	12.940045
100.650000	13.336792
101.200000	13.397830
101.750000	13.397830
102.300000	13.275754
102.850000	13.199457
103.400000	12.795080
103.950000	12.970565
104.500000	13.046862
105.050000	12.711153
105.600000	12.054996
106.150000	11.505653
106.700000	11.597211
107.250000	11.597211
107.800000	12.085514
108.350000	11.826103
108.900000	11.826103
109.450000	12.917156
110.000000	12.482261
110.550000	12.482261
