This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	54.001480
0.550000	54.001480
1.100000	54.001480
1.650000	54.001480
2.200000	46.998993
2.750000	32.001038
3.300000	45.000885
3.850000	45.999939
4.400000	45.999939
4.950000	55.000534
5.500000	61.999985
6.050000	61.999985
6.600000	67.001328
7.150000	67.001328
7.700000	67.001328
8.250000	71.999634
8.800000	72.998688
9.350000	72.998688
9.900000	71.999634
10.450000	67.001328
11.000000	72.998688
11.550000	81.999283
12.100000	84.000427
12.650000	84.000427
13.200000	84.000427
13.750000	84.000427
14.300000	84.000427
14.850000	74.000778
15.400000	64.001129
15.950000	49.999191
16.500000	26.000641
17.050000	22.001389
17.600000	49.999191
18.150000	49.999191
18.700000	49.999191
19.250000	49.999191
19.800000	49.999191
20.350000	49.999191
20.900000	49.999191
21.450000	49.999191
22.000000	26.000641
22.550000	26.000641
23.100000	26.000641
23.650000	26.000641
24.200000	26.000641
24.750000	26.000641
25.300000	23.000443
25.850000	20.999298
26.400000	6.001343
26.950000	6.001343
27.500000	6.001343
28.050000	6.001343
28.600000	6.001343
29.150000	6.001343
29.700000	6.001343
30.250000	6.001343
30.800000	6.001343
31.350000	14.998901
31.900000	14.998901
32.450000	14.998901
33.000000	14.998901
33.550000	14.998901
34.100000	14.998901
34.650000	10.999649
35.200000	10.999649
35.750000	7.999451
36.300000	11.998703
36.850000	23.999496
37.400000	23.999496
37.950000	23.999496
38.500000	23.999496
39.050000	7.750446
39.600000	7.999451
40.150000	7.000397
40.700000	7.000397
41.250000	13.999847
41.800000	20.000244
42.350000	20.000244
42.900000	20.000244
43.450000	20.000244
44.000000	20.000244
44.550000	20.000244
45.100000	20.000244
45.650000	17.000046
46.200000	17.000046
46.750000	17.000046
47.300000	17.000046
47.850000	17.000046
48.400000	17.999100
48.950000	29.000839
49.500000	33.999146
50.050000	39.000488
50.600000	39.000488
51.150000	39.000488
51.700000	39.000488
52.250000	39.000488
52.800000	39.000488
53.350000	39.000488
53.900000	68.999435
54.450000	68.999435
55.000000	68.999435
55.550000	68.999435
56.100000	68.999435
56.650000	61.000931
57.200000	61.000931
57.750000	61.000931
58.300000	61.000931
58.850000	61.000931
59.400000	61.000931
59.950000	61.000931
60.500000	17.999100
61.050000	17.999100
61.600000	17.999100
62.150000	17.999100
62.700000	13.999847
63.250000	13.999847
63.800000	13.999847
64.350000	11.998703
64.900000	11.998703
65.450000	11.998703
66.000000	11.998703
66.550000	11.998703
67.100000	11.998703
67.650000	11.998703
68.200000	10.000595
68.750000	10.000595
69.300000	10.000595
69.850000	10.000595
70.400000	10.000595
70.950000	11.998703
71.500000	11.998703
72.050000	11.998703
72.600000	11.998703
73.150000	11.998703
73.700000	11.998703
74.250000	11.998703
74.800000	11.998703
75.350000	11.998703
75.900000	11.998703
76.450000	11.998703
77.000000	7.000397
77.550000	7.000397
78.100000	7.000397
78.650000	7.000397
79.200000	7.000397
79.750000	7.000397
80.300000	7.000397
80.850000	7.000397
81.400000	7.000397
81.950000	7.000397
82.500000	7.000397
83.050000	7.000397
83.600000	7.000397
84.150000	7.000397
84.700000	7.000397
85.250000	7.000397
85.800000	7.000397
86.350000	7.000397
86.900000	10.000595
87.450000	10.000595
88.000000	10.999649
88.550000	13.000793
89.100000	13.000793
89.650000	13.000793
90.200000	13.000793
90.750000	13.000793
91.300000	16.000992
91.850000	16.000992
92.400000	16.000992
92.950000	16.000992
93.500000	13.000793
94.050000	13.000793
94.600000	13.999847
95.150000	22.001389
95.700000	22.001389
96.250000	22.001389
96.800000	16.000992
97.350000	16.000992
97.900000	16.000992
98.450000	11.998703
99.000000	11.998703
99.550000	7.999451
100.100000	11.998703
100.650000	23.999496
101.200000	23.999496
101.750000	23.999496
102.300000	23.999496
102.850000	23.999496
103.400000	23.999496
103.950000	7.999451
104.500000	7.999451
105.050000	7.999451
105.600000	7.999451
106.150000	7.999451
106.700000	7.999451
107.250000	7.999451
107.800000	7.000397
108.350000	7.000397
108.900000	7.000397
109.450000	7.000397
110.000000	7.000397
110.550000	7.000397
