This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	54.001480
0.550000	54.001480
1.100000	54.001480
1.650000	54.001480
2.200000	51.001282
2.750000	45.000885
3.300000	45.999939
3.850000	46.998993
4.400000	45.999939
4.950000	45.999939
5.500000	45.999939
6.050000	55.000534
6.600000	45.999939
7.150000	55.000534
7.700000	55.000534
8.250000	62.999039
8.800000	62.999039
9.350000	62.999039
9.900000	62.999039
10.450000	62.999039
11.000000	71.999634
11.550000	74.000778
12.100000	71.999634
12.650000	75.998886
13.200000	67.001328
13.750000	71.999634
14.300000	71.999634
14.850000	74.000778
15.400000	71.999634
15.950000	55.000534
16.500000	49.999191
17.050000	49.999191
17.600000	49.999191
18.150000	49.999191
18.700000	58.999786
19.250000	51.001282
19.800000	49.999191
20.350000	29.999893
20.900000	27.998749
21.450000	27.998749
22.000000	33.999146
22.550000	33.999146
23.100000	49.999191
23.650000	52.000336
24.200000	52.000336
24.750000	52.000336
25.300000	38.001434
25.850000	36.999344
26.400000	26.000641
26.950000	26.000641
27.500000	26.000641
28.050000	26.000641
28.600000	20.000244
29.150000	16.000992
29.700000	14.998901
30.250000	14.998901
30.800000	17.999100
31.350000	14.998901
31.900000	14.998901
32.450000	17.999100
33.000000	51.001282
33.550000	55.000534
34.100000	72.499161
34.650000	84.999481
35.200000	84.999481
35.750000	55.000534
36.300000	46.998993
36.850000	45.999939
37.400000	45.999939
37.950000	39.000488
38.500000	33.000092
39.050000	23.000443
39.600000	13.999847
40.150000	18.999672
40.700000	13.999847
41.250000	17.999100
41.800000	17.999100
42.350000	19.001190
42.900000	19.001190
43.450000	20.000244
44.000000	20.000244
44.550000	20.000244
45.100000	19.001190
45.650000	17.000046
46.200000	17.000046
46.750000	17.000046
47.300000	19.001190
47.850000	19.500717
48.400000	29.000839
48.950000	29.000839
49.500000	29.999893
50.050000	29.999893
50.600000	32.001038
51.150000	32.001038
51.700000	33.999146
52.250000	33.999146
52.800000	33.999146
53.350000	33.999146
53.900000	33.999146
54.450000	29.999893
55.000000	29.500366
55.550000	23.999496
56.100000	32.001038
56.650000	32.001038
57.200000	32.001038
57.750000	23.999496
58.300000	32.001038
58.850000	29.999893
59.400000	17.999100
59.950000	17.000046
60.500000	17.000046
61.050000	17.000046
61.600000	17.000046
62.150000	17.000046
62.700000	17.000046
63.250000	17.000046
63.800000	17.000046
64.350000	11.998703
64.900000	11.998703
65.450000	11.998703
66.000000	11.998703
66.550000	11.998703
67.100000	11.998703
67.650000	11.998703
68.200000	12.499748
68.750000	13.000793
69.300000	13.999847
69.850000	13.999847
70.400000	13.999847
70.950000	13.999847
71.500000	13.999847
72.050000	16.000992
72.600000	17.999100
73.150000	17.999100
73.700000	17.999100
74.250000	13.000793
74.800000	13.000793
75.350000	13.000793
75.900000	11.998703
76.450000	11.998703
77.000000	12.499748
77.550000	13.000793
78.100000	14.998901
78.650000	14.998901
79.200000	14.998901
79.750000	14.998901
80.300000	14.998901
80.850000	14.998901
81.400000	14.998901
81.950000	14.998901
82.500000	14.998901
83.050000	14.998901
83.600000	14.998901
84.150000	14.998901
84.700000	14.998901
85.250000	14.998901
85.800000	14.998901
86.350000	14.998901
86.900000	19.001190
87.450000	13.000793
88.000000	19.001190
88.550000	19.001190
89.100000	19.001190
89.650000	19.001190
90.200000	16.000992
90.750000	13.000793
91.300000	16.000992
91.850000	13.000793
92.400000	13.000793
92.950000	13.000793
93.500000	13.000793
94.050000	13.000793
94.600000	13.000793
95.150000	13.000793
95.700000	7.999451
96.250000	7.999451
96.800000	7.999451
97.350000	9.999077
97.900000	11.998703
98.450000	13.000793
99.000000	13.000793
99.550000	13.000793
100.100000	13.000793
100.650000	13.000793
101.200000	7.000397
101.750000	7.000397
102.300000	7.000397
102.850000	7.999451
103.400000	13.999847
103.950000	13.999847
104.500000	16.000992
105.050000	16.000992
105.600000	16.000992
106.150000	20.000244
106.700000	20.000244
107.250000	13.999847
107.800000	13.999847
108.350000	13.999847
108.900000	27.998749
109.450000	26.498650
110.000000	27.998749
110.550000	27.998749
