This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	1.999054
0.550000	4.000198
1.100000	4.000198
1.650000	4.000198
2.200000	4.000198
2.750000	4.000198
3.300000	4.999252
3.850000	4.999252
4.400000	1.999054
4.950000	1.999054
5.500000	1.999054
6.050000	1.999054
6.600000	1.999054
7.150000	1.999054
7.700000	10.999649
8.250000	10.999649
8.800000	10.999649
9.350000	10.999649
9.900000	10.999649
10.450000	17.999100
11.000000	17.999100
11.550000	17.999100
12.100000	26.000641
12.650000	26.000641
13.200000	20.000244
13.750000	20.000244
14.300000	10.000595
14.850000	1.999054
15.400000	1.999054
15.950000	1.999054
16.500000	1.999054
17.050000	1.999054
17.600000	1.999054
18.150000	1.999054
18.700000	1.999054
19.250000	1.999054
19.800000	1.999054
20.350000	1.999054
20.900000	1.999054
21.450000	1.999054
22.000000	1.999054
22.550000	1.999054
23.100000	1.999054
23.650000	1.999054
24.200000	1.999054
24.750000	1.999054
25.300000	1.999054
25.850000	1.999054
26.400000	1.999054
26.950000	1.999054
27.500000	1.999054
28.050000	4.999252
28.600000	4.999252
29.150000	4.999252
29.700000	4.999252
30.250000	4.999252
30.800000	4.999252
31.350000	4.999252
31.900000	4.000198
32.450000	4.000198
33.000000	4.000198
33.550000	3.001144
34.100000	3.001144
34.650000	3.001144
35.200000	3.001144
35.750000	3.001144
36.300000	4.999252
36.850000	4.999252
37.400000	4.999252
37.950000	4.999252
38.500000	4.999252
39.050000	4.999252
39.600000	4.999252
40.150000	3.001144
40.700000	3.001144
41.250000	3.001144
41.800000	3.001144
42.350000	1.999054
42.900000	1.999054
43.450000	1.999054
44.000000	4.999252
44.550000	4.999252
45.100000	4.501244
45.650000	4.501244
46.200000	4.501244
46.750000	4.501244
47.300000	4.999252
47.850000	4.999252
48.400000	4.999252
48.950000	4.999252
49.500000	13.000793
50.050000	13.000793
50.600000	13.000793
51.150000	13.999847
51.700000	7.999451
52.250000	7.999451
52.800000	7.999451
53.350000	7.999451
53.900000	1.999054
54.450000	1.999054
55.000000	1.999054
55.550000	1.999054
56.100000	1.999054
56.650000	10.000595
57.200000	10.000595
57.750000	10.000595
58.300000	10.000595
58.850000	3.001144
59.400000	3.001144
59.950000	3.001144
60.500000	3.001144
61.050000	3.001144
61.600000	3.001144
62.150000	3.001144
62.700000	3.001144
63.250000	3.001144
63.800000	3.001144
64.350000	3.001144
64.900000	3.001144
65.450000	3.001144
66.000000	3.001144
66.550000	3.001144
67.100000	3.001144
67.650000	1.999054
68.200000	1.999054
68.750000	1.999054
69.300000	1.999054
69.850000	4.000198
70.400000	4.000198
70.950000	4.000198
71.500000	4.000198
72.050000	4.000198
72.600000	4.000198
73.150000	4.000198
73.700000	4.000198
74.250000	4.000198
74.800000	4.000198
75.350000	4.000198
75.900000	4.000198
76.450000	4.000198
77.000000	4.000198
77.550000	4.000198
78.100000	4.000198
78.650000	4.000198
79.200000	4.000198
79.750000	4.000198
80.300000	4.000198
80.850000	4.000198
81.400000	4.000198
81.950000	4.000198
82.500000	4.000198
83.050000	4.000198
83.600000	4.000198
84.150000	3.001144
84.700000	3.001144
85.250000	3.001144
85.800000	3.001144
86.350000	3.001144
86.900000	3.001144
87.450000	3.001144
88.000000	3.001144
88.550000	4.000198
89.100000	3.001144
89.650000	3.001144
90.200000	3.001144
90.750000	3.001144
91.300000	1.999054
91.850000	1.999054
92.400000	1.999054
92.950000	1.999054
93.500000	1.999054
94.050000	1.999054
94.600000	4.000198
95.150000	7.999451
95.700000	7.999451
96.250000	7.999451
96.800000	7.999451
97.350000	7.999451
97.900000	7.999451
98.450000	4.999252
99.000000	4.999252
99.550000	4.000198
100.100000	4.000198
100.650000	4.000198
101.200000	4.000198
101.750000	4.000198
102.300000	4.000198
102.850000	4.000198
103.400000	4.999252
103.950000	5.500298
104.500000	5.500298
105.050000	7.000397
105.600000	7.999451
106.150000	7.999451
106.700000	7.999451
107.250000	7.999451
107.800000	7.000397
108.350000	7.000397
108.900000	7.000397
109.450000	7.000397
110.000000	7.000397
110.550000	7.000397
