This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	4.000198
0.550000	4.000198
1.100000	4.000198
1.650000	4.000198
2.200000	7.000397
2.750000	7.000397
3.300000	7.000397
3.850000	7.000397
4.400000	14.998901
4.950000	14.998901
5.500000	10.999649
6.050000	10.999649
6.600000	10.999649
7.150000	10.999649
7.700000	16.000992
8.250000	16.000992
8.800000	22.001389
9.350000	22.001389
9.900000	17.999100
10.450000	17.999100
11.000000	17.999100
11.550000	33.000092
12.100000	20.000244
12.650000	20.000244
13.200000	20.000244
13.750000	20.000244
14.300000	20.000244
14.850000	10.000595
15.400000	10.000595
15.950000	10.000595
16.500000	4.999252
17.050000	4.999252
17.600000	4.999252
18.150000	4.999252
18.700000	3.001144
19.250000	3.001144
19.800000	3.001144
20.350000	3.001144
20.900000	3.001144
21.450000	3.001144
22.000000	3.001144
22.550000	3.001144
23.100000	3.001144
23.650000	3.001144
24.200000	3.001144
24.750000	3.001144
25.300000	4.000198
25.850000	4.000198
26.400000	3.001144
26.950000	3.001144
27.500000	3.001144
28.050000	3.001144
28.600000	3.001144
29.150000	3.001144
29.700000	4.999252
30.250000	3.001144
30.800000	3.001144
31.350000	3.001144
31.900000	3.001144
32.450000	3.001144
33.000000	3.001144
33.550000	3.001144
34.100000	3.001144
34.650000	3.001144
35.200000	3.001144
35.750000	3.001144
36.300000	3.001144
36.850000	3.001144
37.400000	3.001144
37.950000	3.001144
38.500000	7.000397
39.050000	3.001144
39.600000	3.001144
40.150000	3.001144
40.700000	3.001144
41.250000	3.001144
41.800000	1.999054
42.350000	1.999054
42.900000	1.999054
43.450000	4.999252
44.000000	4.999252
44.550000	4.999252
45.100000	4.999252
45.650000	4.999252
46.200000	4.999252
46.750000	4.999252
47.300000	4.999252
47.850000	13.000793
48.400000	13.000793
48.950000	13.000793
49.500000	13.000793
50.050000	13.000793
50.600000	7.999451
51.150000	7.999451
51.700000	7.999451
52.250000	7.999451
52.800000	7.999451
53.350000	7.999451
53.900000	1.999054
54.450000	1.999054
55.000000	1.999054
55.550000	1.999054
56.100000	1.999054
56.650000	3.001144
57.200000	3.001144
57.750000	3.001144
58.300000	3.001144
58.850000	3.001144
59.400000	3.001144
59.950000	3.001144
60.500000	3.001144
61.050000	3.001144
61.600000	3.001144
62.150000	3.001144
62.700000	3.001144
63.250000	3.001144
63.800000	3.001144
64.350000	3.001144
64.900000	3.001144
65.450000	3.001144
66.000000	3.001144
66.550000	3.001144
67.100000	3.001144
67.650000	3.001144
68.200000	8.998505
68.750000	8.998505
69.300000	10.000595
69.850000	10.000595
70.400000	10.000595
70.950000	7.000397
71.500000	4.000198
72.050000	4.000198
72.600000	4.000198
73.150000	4.000198
73.700000	4.000198
74.250000	4.000198
74.800000	4.000198
75.350000	4.000198
75.900000	4.000198
76.450000	4.000198
77.000000	4.000198
77.550000	4.000198
78.100000	4.000198
78.650000	4.000198
79.200000	4.000198
79.750000	4.000198
80.300000	3.001144
80.850000	3.001144
81.400000	3.001144
81.950000	3.001144
82.500000	3.001144
83.050000	4.000198
83.600000	4.000198
84.150000	4.000198
84.700000	3.001144
85.250000	3.001144
85.800000	3.001144
86.350000	3.001144
86.900000	3.001144
87.450000	3.001144
88.000000	3.001144
88.550000	3.001144
89.100000	3.001144
89.650000	3.001144
90.200000	3.001144
90.750000	3.001144
91.300000	3.001144
91.850000	3.001144
92.400000	3.001144
92.950000	3.001144
93.500000	4.000198
94.050000	4.000198
94.600000	7.999451
95.150000	7.999451
95.700000	7.999451
96.250000	7.999451
96.800000	7.999451
97.350000	7.999451
97.900000	7.999451
98.450000	7.999451
99.000000	7.000397
99.550000	7.000397
100.100000	7.000397
100.650000	7.000397
101.200000	4.000198
101.750000	4.000198
102.300000	4.000198
102.850000	7.000397
103.400000	6.001343
103.950000	6.001343
104.500000	6.001343
105.050000	7.999451
105.600000	7.999451
106.150000	13.999847
106.700000	13.999847
107.250000	13.999847
107.800000	11.998703
108.350000	13.999847
108.900000	13.999847
109.450000	13.999847
110.000000	13.999847
110.550000	13.999847
