This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	264.551300
0.550000	349.368530
1.100000	434.230499
1.650000	547.993469
2.200000	676.249146
2.750000	809.674072
3.300000	955.900146
3.850000	1058.319580
4.400000	1135.271118
4.950000	1262.292847
5.500000	1348.189697
6.050000	1402.872192
6.600000	1453.728638
7.150000	1491.589966
7.700000	1523.291870
8.250000	1566.999023
8.800000	1597.024414
9.350000	1653.025269
9.900000	1669.612549
10.450000	1691.976074
11.000000	1668.030396
11.550000	1622.228760
12.100000	1577.053955
12.650000	1543.809692
13.200000	1502.858765
13.750000	1448.499756
14.300000	1406.499023
14.850000	1391.439209
15.400000	1356.846558
15.950000	1349.960938
16.500000	1327.214233
17.050000	1306.467651
17.600000	1271.492065
18.150000	1253.078857
18.700000	1248.417114
19.250000	1249.854858
19.800000	1242.526367
20.350000	1202.073120
20.900000	1190.555542
21.450000	1164.599854
22.000000	1145.107056
22.550000	1135.395386
23.100000	1130.957520
23.650000	1135.873047
24.200000	1132.942627
24.750000	1136.310913
25.300000	1141.271118
25.850000	1143.639404
26.400000	1143.420410
26.950000	1101.603882
27.500000	1091.469360
28.050000	1085.389648
28.600000	1071.911865
29.150000	1068.071045
29.700000	1047.015991
30.250000	1027.194824
30.800000	1012.179626
31.350000	1004.135925
31.900000	993.616150
32.450000	994.266479
33.000000	1008.606079
33.550000	1031.830566
34.100000	1075.005615
34.650000	1132.784912
35.200000	1162.979492
35.750000	1171.803589
36.300000	1179.482056
36.850000	1150.641846
37.400000	1142.084106
37.950000	1110.039551
38.500000	1096.931030
39.050000	1076.153564
39.600000	1063.339966
40.150000	1064.453003
40.700000	1076.189087
41.250000	1088.853027
41.800000	1094.301514
42.350000	1105.865967
42.900000	1120.369263
43.450000	1148.527344
44.000000	1214.207764
44.550000	1255.898315
45.100000	1266.631592
45.650000	1266.093628
46.200000	1278.767822
46.750000	1293.407471
47.300000	1329.145264
47.850000	1376.604370
48.400000	1427.000244
48.950000	1473.892090
49.500000	1522.324707
50.050000	1563.240234
50.600000	1581.779907
51.150000	1570.985229
51.700000	1545.591797
52.250000	1517.290283
52.800000	1501.022949
53.350000	1485.946899
53.900000	1473.939209
54.450000	1454.385864
55.000000	1446.718994
55.550000	1448.241821
56.100000	1434.533203
56.650000	1436.848999
57.200000	1417.126099
57.750000	1396.112183
58.300000	1332.012695
58.850000	1315.144165
59.400000	1316.303589
59.950000	1320.903931
60.500000	1325.973389
61.050000	1330.762451
61.600000	1315.083008
62.150000	1307.812256
62.700000	1284.782959
63.250000	1273.362915
63.800000	1221.403320
64.350000	1220.480225
64.900000	1228.280273
65.450000	1238.550659
66.000000	1241.471313
66.550000	1229.740967
67.100000	1238.911499
67.650000	1249.385742
68.200000	1252.244873
68.750000	1266.803345
69.300000	1260.492065
69.850000	1247.669800
70.400000	1247.387085
70.950000	1243.199341
71.500000	1270.177734
72.050000	1262.243408
72.600000	1255.940918
73.150000	1253.606812
73.700000	1250.197632
74.250000	1279.082642
74.800000	1308.011353
75.350000	1321.646240
75.900000	1322.261597
76.450000	1290.454468
77.000000	1230.224121
77.550000	1183.770264
78.100000	1162.939453
78.650000	1141.605103
79.200000	1124.963623
79.750000	1118.570679
80.300000	1140.170532
80.850000	1141.953247
81.400000	1141.377808
81.950000	1126.751099
82.500000	1100.860840
83.050000	1090.862793
83.600000	1092.841919
84.150000	1118.790283
84.700000	1185.145996
85.250000	1351.898438
85.800000	1407.979370
86.350000	1437.021973
86.900000	1450.843140
87.450000	1465.852173
88.000000	1458.473877
88.550000	1457.537354
89.100000	1448.817871
89.650000	1420.344238
90.200000	1340.213623
90.750000	1240.609863
91.300000	1173.443237
91.850000	1162.767700
92.400000	1161.378174
92.950000	1196.867065
93.500000	1201.926392
94.050000	1203.688965
94.600000	1209.807983
95.150000	1248.107666
95.700000	1314.298584
96.250000	1347.469238
96.800000	1348.417969
97.350000	1335.071655
97.900000	1259.855103
98.450000	1218.003662
99.000000	1195.715210
99.550000	1128.999756
100.100000	1125.315430
100.650000	1071.406128
101.200000	1072.163940
101.750000	1064.508057
102.300000	1055.309204
102.850000	1075.138916
103.400000	1102.155762
103.950000	1183.818115
104.500000	1198.253540
105.050000	1186.092163
105.600000	1180.723877
106.150000	1143.684204
106.700000	1139.017456
107.250000	1139.017456
107.800000	1164.900146
108.350000	1155.017700
108.900000	1155.017700
109.450000	1241.685669
110.000000	1213.893555
110.550000	1213.893555
