This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
primary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	65.860054
0.550000	62.504398
1.100000	60.484417
1.650000	60.297882
2.200000	62.163647
2.750000	61.506931
3.300000	62.979549
3.850000	62.034203
4.400000	53.153759
4.950000	43.905231
5.500000	41.169010
6.050000	31.601908
6.600000	31.213854
7.150000	32.656498
7.700000	35.039623
8.250000	37.905334
8.800000	40.094326
9.350000	38.113972
9.900000	37.895046
10.450000	41.447414
11.000000	43.726208
11.550000	44.761036
12.100000	50.149300
12.650000	51.368248
13.200000	50.064850
13.750000	44.651989
14.300000	39.527565
14.850000	40.652012
15.400000	40.701897
15.950000	40.333755
16.500000	42.622036
17.050000	69.084686
17.600000	69.049789
18.150000	69.606911
18.700000	66.975014
19.250000	62.686401
19.800000	59.925266
20.350000	59.661533
20.900000	48.477489
21.450000	38.467583
22.000000	27.109362
22.550000	24.373079
23.100000	21.746145
23.650000	19.119287
24.200000	19.104542
24.750000	15.463371
25.300000	16.224661
25.850000	23.791842
26.400000	27.393747
26.950000	28.378798
27.500000	29.030510
28.050000	29.139965
28.600000	32.488213
29.150000	45.816246
29.700000	51.293919
30.250000	49.885975
30.800000	54.522980
31.350000	57.116322
31.900000	56.925041
32.450000	57.739300
33.000000	54.881680
33.550000	51.535263
34.100000	49.796600
34.650000	49.254951
35.200000	49.672779
35.750000	45.945595
36.300000	41.619244
36.850000	37.807056
37.400000	33.244591
37.950000	27.451880
38.500000	27.554220
39.050000	26.774879
39.600000	27.006891
40.150000	26.491076
40.700000	25.947428
41.250000	24.540184
41.800000	22.051243
42.350000	20.522547
42.900000	18.321194
43.450000	10.078476
44.000000	10.381796
44.550000	10.976518
45.100000	10.721146
45.650000	10.479748
46.200000	9.067975
46.750000	9.176819
47.300000	8.756902
47.850000	8.631915
48.400000	7.985557
48.950000	8.612169
49.500000	8.911514
50.050000	8.869130
50.600000	8.862412
51.150000	8.705293
51.700000	8.598358
52.250000	7.549310
52.800000	7.316277
53.350000	7.230537
53.900000	6.809986
54.450000	6.628179
55.000000	7.029843
55.550000	9.507257
56.100000	13.811941
56.650000	17.714294
57.200000	18.626890
57.750000	22.174271
58.300000	22.740404
58.850000	24.216839
59.400000	25.795082
59.950000	28.213196
60.500000	27.115301
61.050000	25.507828
61.600000	23.811010
62.150000	23.761564
62.700000	11.663792
63.250000	9.999599
63.800000	8.853470
64.350000	8.884164
64.900000	13.015182
65.450000	17.674397
66.000000	19.650644
66.550000	21.793571
67.100000	23.123840
67.650000	22.125006
68.200000	16.931820
68.750000	20.025047
69.300000	19.338280
69.850000	19.509031
70.400000	18.537071
70.950000	18.705990
71.500000	18.809401
72.050000	17.578499
72.600000	16.209305
73.150000	15.983038
73.700000	12.589248
74.250000	11.828843
74.800000	10.685462
75.350000	10.721836
75.900000	9.931067
76.450000	9.956551
77.000000	10.883959
77.550000	11.628045
78.100000	18.565023
78.650000	27.056644
79.200000	26.910332
79.750000	36.758526
80.300000	38.296890
80.850000	38.036312
81.400000	36.720383
81.950000	25.641983
82.500000	28.683273
83.050000	25.163376
83.600000	22.922434
84.150000	30.211643
84.700000	29.604847
85.250000	33.952953
85.800000	32.200401
86.350000	31.253225
86.900000	29.432329
87.450000	28.915684
88.000000	29.678205
88.550000	29.707855
89.100000	29.678205
89.650000	29.903994
90.200000	29.955309
90.750000	22.273582
91.300000	15.483541
91.850000	10.784117
92.400000	8.790565
92.950000	8.790565
93.500000	9.608206
94.050000	9.704791
94.600000	9.551453
95.150000	9.631701
95.700000	9.682133
96.250000	9.690897
96.800000	9.626778
97.350000	9.626778
97.900000	9.177621
98.450000	9.177621
99.000000	9.998755
99.550000	14.631628
100.100000	14.543939
100.650000	14.474644
101.200000	14.065509
101.750000	13.704696
102.300000	12.982260
102.850000	11.233532
103.400000	11.332330
103.950000	12.949575
104.500000	15.000093
105.050000	14.185082
105.600000	12.058364
106.150000	4.999252
106.700000	4.999252
107.250000	4.999252
107.800000	4.999252
108.350000	4.999252
108.900000	4.999252
109.450000	7.332909
110.000000	4.999252
110.550000	4.999252
