This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	342.005219
0.550000	445.006805
1.100000	548.008362
1.650000	707.010803
2.200000	861.013123
2.750000	982.015015
3.300000	1180.018066
3.850000	1302.019897
4.400000	1342.020508
4.950000	1473.022461
5.500000	1583.024170
6.050000	1613.024658
6.600000	1752.026733
7.150000	1819.027710
7.700000	1932.029541
8.250000	1932.029541
8.800000	1932.029541
9.350000	1973.030151
9.900000	2052.031250
10.450000	2052.031250
11.000000	2052.031250
11.550000	1961.029907
12.100000	1845.028198
12.650000	1827.027832
13.200000	1757.026855
13.750000	1739.026489
14.300000	1639.025024
14.850000	1591.024292
15.400000	1487.022705
15.950000	1487.022705
16.500000	1487.022705
17.050000	1470.022461
17.600000	1470.022461
18.150000	1470.022461
18.700000	1470.022461
19.250000	1470.022461
19.800000	1470.022461
20.350000	1470.022461
20.900000	1470.022461
21.450000	1409.021484
22.000000	1402.021362
22.550000	1361.020752
23.100000	1362.020752
23.650000	1422.021729
24.200000	1422.021729
24.750000	1465.022339
25.300000	1465.022339
25.850000	1465.022339
26.400000	1424.021729
26.950000	1267.019287
27.500000	1267.019287
28.050000	1218.018555
28.600000	1189.018188
29.150000	1189.018188
29.700000	1189.018188
30.250000	1189.018188
30.800000	1189.018188
31.350000	1163.017700
31.900000	1175.017944
32.450000	1175.017944
33.000000	1266.019287
33.550000	1333.020386
34.100000	1406.021484
34.650000	1451.022095
35.200000	1469.022461
35.750000	1469.022461
36.300000	1469.022461
36.850000	1412.021606
37.400000	1375.020996
37.950000	1275.019409
38.500000	1253.019165
39.050000	1239.018921
39.600000	1190.018188
40.150000	1250.019043
40.700000	1304.019897
41.250000	1330.020264
41.800000	1337.020386
42.350000	1337.020386
42.900000	1337.020386
43.450000	1337.020386
44.000000	1455.022217
44.550000	1468.022461
45.100000	1506.022949
45.650000	1535.023438
46.200000	1558.023804
46.750000	1558.023804
47.300000	1558.023804
47.850000	1628.024902
48.400000	1721.026245
48.950000	1739.026489
49.500000	1772.027100
50.050000	1885.028809
50.600000	1896.028931
51.150000	1896.028931
51.700000	1896.028931
52.250000	1883.028687
52.800000	1883.028687
53.350000	1846.028198
53.900000	1835.027954
54.450000	1845.028198
55.000000	1845.028198
55.550000	1845.028198
56.100000	1926.029419
56.650000	2006.030640
57.200000	2006.030640
57.750000	2006.030640
58.300000	1801.027466
58.850000	1508.023071
59.400000	1508.023071
59.950000	1502.022949
60.500000	1499.022827
61.050000	1546.023560
61.600000	1546.023560
62.150000	1546.023560
62.700000	1509.023071
63.250000	1490.022705
63.800000	1481.022583
64.350000	1481.022583
64.900000	1481.022583
65.450000	1462.022339
66.000000	1441.021973
66.550000	1393.021240
67.100000	1388.021240
67.650000	1388.021240
68.200000	1388.021240
68.750000	1393.021240
69.300000	1415.021606
69.850000	1415.021606
70.400000	1415.021606
70.950000	1368.020874
71.500000	1407.021484
72.050000	1415.021606
72.600000	1415.021606
73.150000	1415.021606
73.700000	1377.020996
74.250000	1417.021606
74.800000	1456.022217
75.350000	1481.022583
75.900000	1481.022583
76.450000	1481.022583
77.000000	1413.021606
77.550000	1320.020142
78.100000	1290.019653
78.650000	1259.019165
79.200000	1211.018433
79.750000	1205.018433
80.300000	1254.019165
80.850000	1254.019165
81.400000	1254.019165
81.950000	1239.018921
82.500000	1203.018311
83.050000	1166.017822
83.600000	1151.017578
84.150000	1182.018066
84.700000	1326.020264
85.250000	1443.021973
85.800000	1515.023071
86.350000	1579.024048
86.900000	1579.024048
87.450000	1657.025269
88.000000	1657.025269
88.550000	1657.025269
89.100000	1655.025269
89.650000	1600.024414
90.200000	1507.022949
90.750000	1355.020630
91.300000	1296.019775
91.850000	1296.019775
92.400000	1296.019775
92.950000	1299.019775
93.500000	1343.020508
94.050000	1343.020508
94.600000	1343.020508
95.150000	1343.020508
95.700000	1427.021729
96.250000	1440.021973
96.800000	1440.021973
97.350000	1440.021973
97.900000	1388.021240
98.450000	1349.020630
99.000000	1281.019531
99.550000	1217.018555
100.100000	1217.018555
100.650000	1171.017822
101.200000	1177.017944
101.750000	1185.018066
102.300000	1167.017822
102.850000	1194.018188
103.400000	1240.018921
103.950000	1293.019775
104.500000	1317.020142
105.050000	1264.019287
105.600000	1257.019165
106.150000	1212.018555
106.700000	1198.018311
107.250000	1198.018311
107.800000	1273.019409
108.350000	1246.019043
108.900000	1246.019043
109.450000	1334.020386
110.000000	1315.020020
110.550000	1315.020020
