This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
primary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	88.998734
0.550000	88.998734
1.100000	88.998734
1.650000	88.998734
2.200000	88.998734
2.750000	88.998734
3.300000	88.998734
3.850000	88.998734
4.400000	88.998734
4.950000	88.998734
5.500000	88.998734
6.050000	88.998734
6.600000	83.001373
7.150000	91.998932
7.700000	91.998932
8.250000	91.998932
8.800000	91.998932
9.350000	91.998932
9.900000	91.998932
10.450000	90.999878
11.000000	90.999878
11.550000	90.999878
12.100000	90.999878
12.650000	90.999878
13.200000	90.999878
13.750000	90.999878
14.300000	90.999878
14.850000	90.999878
15.400000	93.001022
15.950000	93.001022
16.500000	93.001022
17.050000	94.000076
17.600000	94.000076
18.150000	94.000076
18.700000	94.000076
19.250000	94.000076
19.800000	94.000076
20.350000	94.000076
20.900000	94.000076
21.450000	94.000076
22.000000	88.998734
22.550000	88.998734
23.100000	88.998734
23.650000	88.998734
24.200000	88.998734
24.750000	88.998734
25.300000	74.999832
25.850000	74.999832
26.400000	91.998932
26.950000	91.998932
27.500000	91.998932
28.050000	91.998932
28.600000	91.998932
29.150000	91.998932
29.700000	94.999130
30.250000	94.999130
30.800000	94.999130
31.350000	100.000473
31.900000	100.000473
32.450000	100.000473
33.000000	78.000031
33.550000	100.000473
34.100000	100.000473
34.650000	100.000473
35.200000	100.000473
35.750000	100.000473
36.300000	100.000473
36.850000	54.001480
37.400000	54.001480
37.950000	54.001480
38.500000	54.001480
39.050000	54.001480
39.600000	54.001480
40.150000	65.999237
40.700000	65.999237
41.250000	65.999237
41.800000	65.999237
42.350000	65.999237
42.900000	65.999237
43.450000	54.001480
44.000000	68.999435
44.550000	68.999435
45.100000	68.999435
45.650000	68.999435
46.200000	68.999435
46.750000	84.000427
47.300000	84.000427
47.850000	84.000427
48.400000	13.999847
48.950000	27.998749
49.500000	27.998749
50.050000	27.998749
50.600000	27.998749
51.150000	27.998749
51.700000	27.998749
52.250000	10.000595
52.800000	10.000595
53.350000	10.000595
53.900000	10.000595
54.450000	14.998901
55.000000	22.001389
55.550000	40.998596
56.100000	55.000534
56.650000	55.000534
57.200000	55.000534
57.750000	55.000534
58.300000	55.000534
58.850000	77.000977
59.400000	77.000977
59.950000	77.000977
60.500000	77.000977
61.050000	77.000977
61.600000	77.000977
62.150000	77.000977
62.700000	77.000977
63.250000	77.000977
63.800000	26.999695
64.350000	26.999695
64.900000	65.999237
65.450000	65.999237
66.000000	65.999237
66.550000	65.999237
67.100000	65.999237
67.650000	65.999237
68.200000	42.000687
68.750000	49.999191
69.300000	49.999191
69.850000	49.999191
70.400000	49.999191
70.950000	23.000443
71.500000	23.000443
72.050000	39.999542
72.600000	39.999542
73.150000	39.999542
73.700000	23.000443
74.250000	23.000443
74.800000	14.998901
75.350000	14.998901
75.900000	14.998901
76.450000	14.998901
77.000000	13.999847
77.550000	13.999847
78.100000	88.998734
78.650000	88.998734
79.200000	88.998734
79.750000	90.000824
80.300000	90.000824
80.850000	90.000824
81.400000	90.000824
81.950000	90.000824
82.500000	90.000824
83.050000	90.000824
83.600000	90.000824
84.150000	58.000732
84.700000	56.998642
85.250000	56.998642
85.800000	56.998642
86.350000	56.998642
86.900000	56.998642
87.450000	42.999741
88.000000	36.000290
88.550000	36.000290
89.100000	36.000290
89.650000	36.000290
90.200000	36.000290
90.750000	36.000290
91.300000	36.000290
91.850000	36.000290
92.400000	13.000793
92.950000	13.000793
93.500000	10.999649
94.050000	10.999649
94.600000	10.999649
95.150000	20.999298
95.700000	20.999298
96.250000	20.999298
96.800000	20.999298
97.350000	20.999298
97.900000	20.999298
98.450000	20.999298
99.000000	20.999298
99.550000	20.999298
100.100000	20.999298
100.650000	16.000992
101.200000	16.000992
101.750000	16.000992
102.300000	16.000992
102.850000	16.000992
103.400000	19.001190
103.950000	19.001190
104.500000	19.001190
105.050000	19.001190
105.600000	19.001190
106.150000	4.999252
106.700000	4.999252
107.250000	4.999252
107.800000	4.999252
108.350000	4.999252
108.900000	4.999252
109.450000	19.001190
110.000000	4.999252
110.550000	4.999252
