This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
peak height of secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	259.003967
0.550000	343.005249
1.100000	427.006531
1.650000	516.007874
2.200000	641.009766
2.750000	773.011780
3.300000	935.014282
3.850000	1076.016479
4.400000	1202.018311
4.950000	1287.019653
5.500000	1359.020752
6.050000	1408.021484
6.600000	1474.022461
7.150000	1512.023071
7.700000	1529.023315
8.250000	1605.024536
8.800000	1633.024902
9.350000	1747.026611
9.900000	1747.026611
10.450000	1753.026733
11.000000	1678.025635
11.550000	1644.025146
12.100000	1617.024658
12.650000	1616.024658
13.200000	1569.023926
13.750000	1503.022949
14.300000	1433.021851
14.850000	1406.021484
15.400000	1371.020874
15.950000	1359.020752
16.500000	1331.020264
17.050000	1319.020142
17.600000	1303.019897
18.150000	1302.019897
18.700000	1302.019897
19.250000	1303.019897
19.800000	1296.019775
20.350000	1236.018921
20.900000	1227.018677
21.450000	1185.018066
22.000000	1166.017822
22.550000	1151.017578
23.100000	1151.017578
23.650000	1147.017456
24.200000	1146.017456
24.750000	1151.017578
25.300000	1167.017822
25.850000	1167.017822
26.400000	1163.017700
26.950000	1129.017212
27.500000	1104.016846
28.050000	1102.016846
28.600000	1090.016602
29.150000	1089.016602
29.700000	1075.016357
30.250000	1043.015869
30.800000	1023.015625
31.350000	1009.015381
31.900000	1004.015320
32.450000	1006.015381
33.000000	1010.015442
33.550000	1016.015503
34.100000	1094.016724
34.650000	1183.018066
35.200000	1220.018677
35.750000	1226.518677
36.300000	1229.018799
36.850000	1193.018188
37.400000	1184.018066
37.950000	1147.017456
38.500000	1128.017212
39.050000	1091.016602
39.600000	1085.016602
40.150000	1084.516602
40.700000	1094.516724
41.250000	1095.016724
41.800000	1096.516724
42.350000	1119.017090
42.900000	1126.017212
43.450000	1157.017700
44.000000	1207.018433
44.550000	1259.019165
45.100000	1270.019409
45.650000	1262.519287
46.200000	1278.019531
46.750000	1296.019775
47.300000	1321.520142
47.850000	1375.020996
48.400000	1414.021606
48.950000	1468.022461
49.500000	1519.523193
50.050000	1552.023682
50.600000	1572.024048
51.150000	1554.023682
51.700000	1512.023071
52.250000	1481.022583
52.800000	1497.022827
53.350000	1506.022949
53.900000	1449.522095
54.450000	1411.521484
55.000000	1379.520996
55.550000	1371.520996
56.100000	1370.020874
56.650000	1360.020752
57.200000	1350.520630
57.750000	1335.020386
58.300000	1322.020142
58.850000	1313.020020
59.400000	1313.020020
59.950000	1317.020142
60.500000	1321.520142
61.050000	1329.020264
61.600000	1324.020264
62.150000	1334.520386
62.700000	1310.020020
63.250000	1310.020020
63.800000	1212.018555
64.350000	1195.518311
64.900000	1204.018311
65.450000	1202.518311
66.000000	1212.518555
66.550000	1222.518677
67.100000	1232.018799
67.650000	1236.518921
68.200000	1244.519043
68.750000	1268.019409
69.300000	1273.019409
69.850000	1252.519165
70.400000	1252.019165
70.950000	1248.019043
71.500000	1274.519409
72.050000	1245.519043
72.600000	1238.018921
73.150000	1235.018799
73.700000	1249.019043
74.250000	1279.019531
74.800000	1298.519775
75.350000	1311.020020
75.900000	1312.020020
76.450000	1292.019775
77.000000	1257.519287
77.550000	1197.018311
78.100000	1170.017822
78.650000	1148.017578
79.200000	1137.017334
79.750000	1125.017212
80.300000	1130.017212
80.850000	1133.017334
81.400000	1131.017212
81.950000	1122.017090
82.500000	1099.016724
83.050000	1094.016724
83.600000	1095.016724
84.150000	1117.017090
84.700000	1181.018066
85.250000	1364.520752
85.800000	1414.021606
86.350000	1420.021729
86.900000	1446.022095
87.450000	1470.522461
88.000000	1474.022461
88.550000	1474.022461
89.100000	1465.022339
89.650000	1414.021606
90.200000	1336.520508
90.750000	1239.518921
91.300000	1172.017944
91.850000	1160.017700
92.400000	1160.017700
92.950000	1192.018188
93.500000	1192.018188
94.050000	1192.018188
94.600000	1195.018311
95.150000	1253.019165
95.700000	1313.020020
96.250000	1354.520752
96.800000	1356.020752
97.350000	1331.020264
97.900000	1259.019165
98.450000	1219.018555
99.000000	1197.518311
99.550000	1127.017212
100.100000	1121.017090
100.650000	1082.016479
101.200000	1082.016479
101.750000	1075.016357
102.300000	1066.516357
102.850000	1075.016357
103.400000	1094.516724
103.950000	1196.018311
104.500000	1203.018311
105.050000	1192.018188
105.600000	1183.018066
106.150000	1111.016968
106.700000	1111.016968
107.250000	1111.016968
107.800000	1151.017578
108.350000	1111.016968
108.900000	1111.016968
109.450000	1245.019043
110.000000	1216.518555
110.550000	1216.518555
