This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	7.999451
0.550000	7.999451
1.100000	7.999451
1.650000	7.999451
2.200000	7.999451
2.750000	7.999451
3.300000	7.999451
3.850000	7.999451
4.400000	17.000046
4.950000	17.000046
5.500000	17.000046
6.050000	1.999054
6.600000	1.999054
7.150000	1.999054
7.700000	1.999054
8.250000	1.999054
8.800000	1.999054
9.350000	7.000397
9.900000	7.000397
10.450000	17.000046
11.000000	17.000046
11.550000	17.000046
12.100000	19.001190
12.650000	19.001190
13.200000	7.999451
13.750000	7.999451
14.300000	7.999451
14.850000	7.999451
15.400000	7.999451
15.950000	7.999451
16.500000	7.999451
17.050000	7.999451
17.600000	7.999451
18.150000	7.999451
18.700000	7.999451
19.250000	7.999451
19.800000	7.999451
20.350000	7.999451
20.900000	3.001144
21.450000	3.001144
22.000000	3.001144
22.550000	3.001144
23.100000	3.001144
23.650000	3.001144
24.200000	3.001144
24.750000	3.001144
25.300000	3.001144
25.850000	3.001144
26.400000	3.001144
26.950000	3.001144
27.500000	3.001144
28.050000	3.001144
28.600000	3.001144
29.150000	3.001144
29.700000	6.001343
30.250000	6.001343
30.800000	6.001343
31.350000	7.000397
31.900000	7.000397
32.450000	7.000397
33.000000	4.000198
33.550000	4.000198
34.100000	4.000198
34.650000	4.000198
35.200000	7.000397
35.750000	7.000397
36.300000	14.998901
36.850000	14.998901
37.400000	11.998703
37.950000	11.998703
38.500000	11.998703
39.050000	6.001343
39.600000	6.001343
40.150000	6.001343
40.700000	6.001343
41.250000	1.999054
41.800000	1.999054
42.350000	1.999054
42.900000	1.999054
43.450000	1.999054
44.000000	4.501244
44.550000	4.501244
45.100000	4.999252
45.650000	4.999252
46.200000	4.999252
46.750000	4.999252
47.300000	4.999252
47.850000	4.999252
48.400000	4.999252
48.950000	6.001343
49.500000	6.001343
50.050000	6.001343
50.600000	6.001343
51.150000	1.999054
51.700000	1.999054
52.250000	1.999054
52.800000	1.999054
53.350000	1.999054
53.900000	1.999054
54.450000	1.999054
55.000000	1.999054
55.550000	1.999054
56.100000	1.999054
56.650000	1.999054
57.200000	1.999054
57.750000	1.999054
58.300000	1.999054
58.850000	6.001343
59.400000	6.001343
59.950000	8.998505
60.500000	7.999451
61.050000	1.999054
61.600000	1.999054
62.150000	1.999054
62.700000	7.000397
63.250000	7.000397
63.800000	7.000397
64.350000	7.501442
64.900000	6.001343
65.450000	6.001343
66.000000	6.001343
66.550000	6.001343
67.100000	6.001343
67.650000	6.001343
68.200000	4.000198
68.750000	4.000198
69.300000	4.000198
69.850000	4.000198
70.400000	4.000198
70.950000	4.000198
71.500000	4.000198
72.050000	4.000198
72.600000	4.000198
73.150000	4.000198
73.700000	4.000198
74.250000	4.000198
74.800000	4.000198
75.350000	7.000397
75.900000	7.000397
76.450000	7.000397
77.000000	7.000397
77.550000	7.000397
78.100000	7.000397
78.650000	7.000397
79.200000	7.000397
79.750000	4.999252
80.300000	4.999252
80.850000	4.999252
81.400000	4.999252
81.950000	4.999252
82.500000	4.999252
83.050000	4.999252
83.600000	4.999252
84.150000	7.999451
84.700000	13.000793
85.250000	13.000793
85.800000	13.000793
86.350000	6.001343
86.900000	6.001343
87.450000	6.001343
88.000000	29.000839
88.550000	29.000839
89.100000	29.000839
89.650000	29.000839
90.200000	29.000839
90.750000	6.001343
91.300000	6.001343
91.850000	6.001343
92.400000	6.001343
92.950000	6.001343
93.500000	6.001343
94.050000	8.998505
94.600000	8.998505
95.150000	8.998505
95.700000	8.998505
96.250000	8.998505
96.800000	8.998505
97.350000	8.998505
97.900000	8.998505
98.450000	8.998505
99.000000	8.998505
99.550000	8.998505
100.100000	8.998505
100.650000	8.998505
101.200000	8.998505
101.750000	8.998505
102.300000	8.998505
102.850000	8.998505
103.400000	8.998505
103.950000	8.998505
104.500000	8.998505
105.050000	8.998505
105.600000	4.999252
106.150000	4.999252
106.700000	4.999252
107.250000	4.999252
107.800000	4.999252
108.350000	4.999252
108.900000	4.999252
109.450000	4.999252
110.000000	4.999252
110.550000	4.999252
