This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter cAng:
Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	-3.804357
0.550000	-18.416634
1.100000	-27.313609
1.650000	-34.774536
2.200000	-43.486424
2.750000	-57.013872
3.300000	-68.838481
3.850000	-81.203931
4.400000	-88.388157
4.950000	-94.494118
5.500000	-101.802798
6.050000	-110.826938
6.600000	-117.999453
7.150000	-122.810395
7.700000	-129.614190
8.250000	-134.842987
8.800000	-139.633645
9.350000	-144.694976
9.900000	-146.820134
10.450000	-143.742772
11.000000	-144.693348
11.550000	-142.182801
12.100000	-130.066092
12.650000	-129.276694
13.200000	-118.214058
13.750000	-112.854804
14.300000	-113.397614
14.850000	-119.884424
15.400000	-116.523336
15.950000	-102.004882
16.500000	-108.275592
17.050000	-94.287372
17.600000	-84.843396
18.150000	-80.097268
18.700000	-84.580517
19.250000	-91.260904
19.800000	-95.010391
20.350000	-96.805014
20.900000	-95.509422
21.450000	-94.826454
22.000000	-89.355620
22.550000	-64.967651
23.100000	-63.047316
23.650000	-58.968263
24.200000	-71.916009
24.750000	-80.165112
25.300000	-83.639425
25.850000	-83.924118
26.400000	-83.597963
26.950000	-94.350609
27.500000	-95.565612
28.050000	-96.019741
28.600000	-95.588698
29.150000	-94.142779
29.700000	-92.868326
30.250000	-87.944131
30.800000	-84.052635
31.350000	-84.402327
31.900000	-79.728943
32.450000	-101.595296
33.000000	-94.135053
33.550000	-82.977718
34.100000	-78.879976
34.650000	-85.589259
35.200000	-94.445401
35.750000	-102.114302
36.300000	-107.840277
36.850000	-93.081090
37.400000	-89.467534
37.950000	-86.051934
38.500000	-85.700873
39.050000	-83.298587
39.600000	-71.249537
40.150000	-71.925288
40.700000	-78.397374
41.250000	-68.438265
41.800000	-68.526728
42.350000	-73.129324
42.900000	-75.580634
43.450000	-83.999116
44.000000	-84.090888
44.550000	-87.062634
45.100000	-83.784350
45.650000	-84.095940
46.200000	-75.296690
46.750000	-67.459087
47.300000	-82.045127
47.850000	-83.603368
48.400000	-87.053055
48.950000	-91.997225
49.500000	-91.200215
50.050000	-78.466475
50.600000	-80.401161
51.150000	-103.864583
51.700000	-86.240801
52.250000	-78.182518
52.800000	-80.869692
53.350000	-80.965903
53.900000	-80.206005
54.450000	-78.946093
55.000000	-76.774293
55.550000	-74.645198
56.100000	-79.627112
56.650000	-87.417753
57.200000	-89.746355
57.750000	-90.419162
58.300000	-91.626220
58.850000	-91.827100
59.400000	-96.930914
59.950000	-98.120440
60.500000	-97.670130
61.050000	-97.383363
61.600000	-86.485881
62.150000	-103.170168
62.700000	-104.132340
63.250000	-100.382869
63.800000	-81.539544
64.350000	-84.125699
64.900000	-88.082696
65.450000	-81.995599
66.000000	-79.075665
66.550000	-78.482243
67.100000	-83.805419
67.650000	-92.089515
68.200000	-93.929814
68.750000	-85.687198
69.300000	-90.750583
69.850000	-92.849582
70.400000	-93.378923
70.950000	-92.231271
71.500000	-90.638508
72.050000	-90.096268
72.600000	-81.007960
73.150000	-90.044384
73.700000	-82.222272
74.250000	-81.333011
74.800000	-88.520548
75.350000	-92.066910
75.900000	-95.526834
76.450000	-93.486713
77.000000	-78.602015
77.550000	-68.931530
78.100000	-81.042811
78.650000	-85.479861
79.200000	-94.833974
79.750000	-92.070011
80.300000	-89.498199
80.850000	-78.822174
81.400000	-77.721977
81.950000	-72.555515
82.500000	-75.414580
83.050000	-81.892239
83.600000	-45.069741
84.150000	-48.900325
84.700000	-54.229500
85.250000	-61.288121
85.800000	-72.093178
86.350000	-122.938967
86.900000	-114.973848
87.450000	-112.321190
88.000000	-116.626844
88.550000	-113.471774
89.100000	-105.224036
89.650000	-94.359159
90.200000	-94.810241
90.750000	-93.480040
91.300000	-64.231927
91.850000	-61.841635
92.400000	-59.790070
92.950000	-72.402204
93.500000	-64.665145
94.050000	-68.726862
94.600000	-74.620934
95.150000	-63.210400
95.700000	-66.508267
96.250000	-71.448466
96.800000	-76.065876
97.350000	-79.133916
97.900000	-79.325050
98.450000	-79.441607
99.000000	-78.626598
99.550000	-77.370298
100.100000	-75.674500
100.650000	-72.546757
101.200000	-68.018324
101.750000	-57.821445
102.300000	-58.487281
102.850000	-73.124642
103.400000	-70.987610
103.950000	-70.282882
104.500000	-102.630860
105.050000	-110.857356
105.600000	-113.442993
106.150000	-116.427934
106.700000	-121.422934
107.250000	-105.287574
107.800000	-83.209880
108.350000	-73.806766
108.900000	-81.401588
109.450000	-93.159942
110.000000	-99.827790
110.550000	-104.189058
111.100000	-108.967763
111.650000	-110.912210
112.200000	-103.958074
112.750000	-97.987642
113.300000	-90.682310
113.850000	-83.070022
114.400000	-85.443207
114.950000	-86.953445
115.500000	-82.913515
116.050000	-88.574085
116.600000	-89.491876
117.150000	-89.657923
117.700000	-87.915898
118.250000	-84.773969
118.800000	-75.290479
119.350000	-62.438947
119.900000	-53.942658
120.450000	-45.941186
121.000000	-40.155127
121.550000	-36.960508
122.100000	-34.356173
122.650000	-32.709285
123.200000	-35.992341
123.750000	-37.391170
124.300000	-43.073013
124.850000	-50.016771
125.400000	-55.025292
125.950000	-56.565648
126.500000	-54.433155
127.050000	-54.181796
127.600000	-53.710524
128.150000	-48.894690
128.700000	-49.536766
129.250000	-73.375727
129.800000	-98.011015
130.350000	-87.375852
130.900000	-96.160031
131.450000	-92.795417
132.000000	-58.270935
132.550000	-59.890695
133.100000	-59.122391
133.650000	-54.505847
134.200000	-46.830241
134.750000	-41.951523
135.300000	-42.806698
135.850000	-42.325934
136.400000	-52.634424
136.950000	-59.615598
137.500000	-61.284755
138.050000	-65.106035
138.600000	-67.133248
139.150000	-70.679088
139.700000	-73.540813
140.250000	-76.451493
140.800000	-24.210966
141.350000	-82.517798
141.900000	-35.618431
142.450000	-31.062392
143.000000	-26.964138
143.550000	-25.305003
144.100000	-24.361648
144.650000	-22.795869
145.200000	-14.016293
145.750000	-8.212781
146.300000	-13.087029
146.850000	?
147.400000	?
147.950000	?
148.500000	?
149.050000	?
149.600000	?
150.150000	?
150.700000	?
151.250000	?
151.800000	?
152.350000	?
152.900000	?
153.450000	?
154.000000	?
154.550000	?
155.100000	?
155.650000	?
156.200000	?
156.750000	?
157.300000	?
157.850000	?
158.400000	?
158.950000	?
159.500000	?
160.050000	?
160.600000	?
161.150000	?
161.700000	?
162.250000	?
162.800000	?
163.350000	?
163.900000	?
164.450000	?
165.000000	?
165.550000	?
166.100000	?
166.650000	?
167.200000	?
167.750000	?
168.300000	?
168.850000	?
169.400000	?
169.950000	?
170.500000	?
171.050000	?
171.600000	?
172.150000	?
172.700000	?
173.250000	?
173.800000	?
174.350000	?
174.900000	?
175.450000	?
176.000000	?
176.550000	?
177.100000	?
177.650000	?
178.200000	?
178.750000	?
179.300000	?
179.850000	?
180.400000	?
180.950000	?
181.500000	?
182.050000	?
182.600000	?
183.150000	?
183.700000	?
184.250000	?
184.800000	?
185.350000	?
185.900000	?
186.450000	?
187.000000	?
187.550000	?
188.100000	?
188.650000	?
189.200000	?
189.750000	?
190.300000	?
190.850000	?
191.400000	?
191.950000	?
192.500000	?
193.050000	?
193.600000	?
194.150000	?
194.700000	?
195.250000	?
195.800000	?
196.350000	?
196.900000	?
197.450000	?
198.000000	?
198.550000	?
199.100000	?
199.650000	?
200.200000	?
200.750000	?
201.300000	?
201.850000	?
202.400000	?
202.950000	?
203.500000	?
204.050000	?
204.600000	?
205.150000	?
205.700000	?
206.250000	?
206.800000	?
207.350000	?
207.900000	?
208.450000	?
209.000000	?
209.550000	?
210.100000	?
210.650000	?
211.200000	?
211.750000	?
212.300000	?
212.850000	?
213.400000	?
213.950000	?
214.500000	?
215.050000	?
215.600000	?
216.150000	?
216.700000	?
217.250000	?
217.800000	?
218.350000	?
218.900000	?
219.450000	?
220.000000	?
220.550000	?
221.100000	?
221.650000	?
222.200000	?
222.750000	?
223.300000	?
223.850000	?
224.400000	?
224.950000	?
225.500000	?
226.050000	?
226.600000	?
227.150000	?
227.700000	?
228.250000	?
228.800000	?
229.350000	?
229.900000	?
230.450000	?
231.000000	?
231.550000	?
232.100000	?
232.650000	?
233.200000	?
233.750000	?
234.300000	?
234.850000	?
235.400000	?
235.950000	?
236.500000	?
237.050000	?
237.600000	?
238.150000	?
238.700000	?
239.250000	?
239.800000	?
240.350000	?
240.900000	?
241.450000	?
242.000000	?
242.550000	?
243.100000	?
243.650000	?
244.200000	?
244.750000	?
245.300000	?
245.850000	?
246.400000	?
246.950000	?
247.500000	?
248.050000	?
248.600000	?
249.150000	?
249.700000	?
250.250000	?
250.800000	?
251.350000	?
251.900000	?
252.450000	?
253.000000	?
253.550000	?
254.100000	?
254.650000	?
255.200000	?
255.750000	?
256.300000	?
256.850000	?
257.400000	?
257.950000	?
258.500000	?
259.050000	?
259.600000	?
260.150000	?
260.700000	?
261.250000	?
261.800000	?
262.350000	?
262.900000	?
263.450000	?
264.000000	?
264.550000	?
265.100000	?
265.650000	?
266.200000	?
266.750000	?
267.300000	?
267.850000	?
268.400000	?
268.950000	?
269.500000	?
270.050000	?
270.600000	?
271.150000	?
271.700000	?
272.250000	?
272.800000	?
273.350000	?
273.900000	?
274.450000	?
275.000000	?
275.550000	?
276.100000	?
276.650000	?
277.200000	?
277.750000	?
278.300000	?
278.850000	?
279.400000	?
279.950000	?
280.500000	?
281.050000	?
281.600000	?
282.150000	?
282.700000	?
283.250000	?
283.800000	?
284.350000	?
284.900000	?
285.450000	?
286.000000	?
286.550000	?
287.100000	?
287.650000	?
288.200000	?
288.750000	?
289.300000	?
289.850000	?
290.400000	?
290.950000	?
291.500000	?
292.050000	?
292.600000	?
293.150000	?
293.700000	?
294.250000	?
294.800000	?
295.350000	?
295.900000	?
296.450000	?
297.000000	?
297.550000	?
298.100000	?
298.650000	?
299.200000	?
299.750000	?
300.300000	?
300.850000	?
301.400000	?
301.950000	?
302.500000	?
303.050000	?
303.600000	?
304.150000	?
304.700000	?
305.250000	
305.800000	
306.350000	
306.900000	?
307.450000	
308.000000	
308.550000	
309.100000	
309.650000	
310.200000	
310.750000	?
311.300000	
311.850000	?
312.400000	?
312.950000	?
313.500000	
314.050000	
314.600000	?
