This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	49.039845
0.550000	48.973366
1.100000	48.910744
1.650000	49.184814
2.200000	49.349304
2.750000	49.451992
3.300000	48.798912
3.850000	48.629265
4.400000	48.431870
4.950000	47.873592
5.500000	47.374435
6.050000	47.248383
6.600000	47.220203
7.150000	47.241119
7.700000	46.818253
8.250000	46.324440
8.800000	45.999008
9.350000	44.444901
9.900000	44.366367
10.450000	43.075485
11.000000	42.839016
11.550000	42.459221
12.100000	42.580090
12.650000	43.901058
13.200000	44.066067
13.750000	44.280087
14.300000	44.452900
14.850000	44.466297
15.400000	44.440456
15.950000	44.936634
16.500000	45.016357
17.050000	45.757801
17.600000	46.606869
18.150000	47.081379
18.700000	47.791969
19.250000	47.963814
19.800000	47.967541
20.350000	47.929420
20.900000	47.812973
21.450000	47.789959
22.000000	47.886299
22.550000	48.140312
23.100000	48.334202
23.650000	48.264893
24.200000	48.744881
24.750000	49.974258
25.300000	50.069832
25.850000	50.184124
26.400000	49.442917
26.950000	49.628880
27.500000	48.934761
28.050000	48.403629
28.600000	47.509148
29.150000	47.509148
29.700000	46.680683
30.250000	45.553352
30.800000	44.170483
31.350000	43.834816
31.900000	43.685684
32.450000	43.685684
