This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	2.472037
0.550000	2.487297
1.100000	2.487297
1.650000	2.487297
2.200000	2.365221
2.750000	2.044771
3.300000	1.892177
3.850000	1.815879
4.400000	1.815879
4.950000	1.754841
5.500000	1.693803
6.050000	1.663284
6.600000	1.663284
7.150000	1.571727
7.700000	1.571727
8.250000	1.495430
8.800000	1.480170
9.350000	1.586987
9.900000	1.770101
10.450000	1.800619
11.000000	1.876917
11.550000	1.876917
12.100000	1.876917
12.650000	1.602246
13.200000	1.571727
13.750000	1.571727
14.300000	1.632765
14.850000	1.846398
15.400000	1.846398
15.950000	1.846398
16.500000	1.846398
17.050000	1.693803
17.600000	1.571727
18.150000	1.571727
18.700000	1.419132
19.250000	1.419132
19.800000	1.419132
20.350000	1.358094
20.900000	1.327575
21.450000	1.297056
22.000000	1.220759
22.550000	1.190240
23.100000	1.190240
23.650000	1.129202
24.200000	1.129202
24.750000	1.174981
25.300000	1.174981
25.850000	1.174981
26.400000	1.174981
26.950000	1.174981
27.500000	1.174981
28.050000	1.159721
28.600000	1.159721
29.150000	1.159721
29.700000	1.281797
30.250000	1.251278
30.800000	1.281797
31.350000	1.281797
31.900000	1.236019
32.450000	1.236019
