This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	91.998932
0.550000	92.499977
1.100000	92.499977
1.650000	92.499977
2.200000	91.998932
2.750000	91.998932
3.300000	91.998932
3.850000	94.000076
4.400000	94.000076
4.950000	94.000076
5.500000	94.000076
6.050000	94.000076
6.600000	94.000076
7.150000	94.000076
7.700000	94.000076
8.250000	94.000076
8.800000	94.000076
9.350000	94.000076
9.900000	94.000076
10.450000	54.001480
11.000000	54.001480
11.550000	54.001480
12.100000	54.001480
12.650000	54.001480
13.200000	54.001480
13.750000	40.998596
14.300000	40.998596
14.850000	6.001343
15.400000	6.001343
15.950000	6.001343
16.500000	6.001343
17.050000	8.998505
17.600000	8.998505
18.150000	8.998505
18.700000	39.999542
19.250000	67.001328
19.800000	67.001328
20.350000	67.001328
20.900000	67.001328
21.450000	49.000137
22.000000	90.000824
22.550000	90.000824
23.100000	90.000824
23.650000	49.000137
24.200000	71.000580
24.750000	71.000580
25.300000	71.000580
25.850000	49.000137
26.400000	49.000137
26.950000	49.000137
27.500000	49.000137
28.050000	49.000137
28.600000	49.000137
29.150000	49.000137
29.700000	26.000641
30.250000	4.501244
30.800000	3.001144
31.350000	3.001144
31.900000	3.001144
32.450000	3.001144
