This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	2.395740
0.550000	2.327072
1.100000	2.258404
1.650000	2.204996
2.200000	2.029512
2.750000	1.899806
3.300000	1.785360
3.850000	1.663284
4.400000	1.571727
4.950000	1.571727
5.500000	1.571727
6.050000	1.571727
6.600000	1.564098
7.150000	1.350465
7.700000	1.350465
8.250000	1.373354
8.800000	1.510689
9.350000	1.571727
9.900000	1.571727
10.450000	1.571727
11.000000	1.617506
11.550000	1.648025
12.100000	1.663284
12.650000	1.693803
13.200000	1.861658
13.750000	2.067661
14.300000	2.067661
14.850000	2.067661
15.400000	2.052401
15.950000	2.075290
16.500000	2.105809
17.050000	2.090550
17.600000	2.075290
18.150000	1.937955
18.700000	1.846398
19.250000	1.731952
19.800000	1.663284
20.350000	1.663284
20.900000	1.632765
21.450000	1.632765
22.000000	1.625135
22.550000	1.457281
23.100000	1.312316
23.650000	1.243648
24.200000	1.236019
24.750000	1.236019
25.300000	1.220759
25.850000	1.205500
26.400000	1.220759
26.950000	1.205500
27.500000	1.205500
28.050000	1.205500
28.600000	1.205500
29.150000	1.205500
29.700000	1.388613
30.250000	1.602246
30.800000	1.754841
31.350000	1.754841
31.900000	1.754841
32.450000	1.754841
