This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	48.770870
0.550000	48.953068
1.100000	49.012283
1.650000	49.381237
2.200000	49.323540
2.750000	49.443485
3.300000	48.763279
3.850000	48.435322
4.400000	48.421658
4.950000	47.715641
5.500000	47.266216
6.050000	47.197891
6.600000	47.197891
7.150000	47.194855
7.700000	46.786427
8.250000	46.543495
8.800000	45.937687
9.350000	44.349525
9.900000	44.335861
10.450000	42.881313
11.000000	42.822098
11.550000	42.407597
12.100000	42.532097
12.650000	44.259945
13.200000	44.171883
13.750000	44.299423
14.300000	44.457329
14.850000	44.463402
15.400000	44.395077
15.950000	44.931042
16.500000	44.952297
17.050000	45.635544
17.600000	46.558681
18.150000	47.044544
18.700000	47.776371
19.250000	47.979828
19.800000	47.996529
20.350000	47.975273
20.900000	47.861397
21.450000	47.727787
22.000000	47.818886
22.550000	48.181763
23.100000	48.407993
23.650000	48.269825
24.200000	48.708622
24.750000	50.105473
25.300000	50.105473
25.850000	50.129768
26.400000	49.525475
26.950000	49.552807
27.500000	48.775425
28.050000	48.464172
28.600000	47.542549
29.150000	47.542549
29.700000	46.613338
30.250000	45.249889
30.800000	43.731571
31.350000	43.695129
31.900000	43.682983
32.450000	43.682983
