This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	42.999741
0.550000	32.499046
1.100000	22.001389
1.650000	22.001389
2.200000	22.001389
2.750000	22.001389
3.300000	22.001389
3.850000	22.001389
4.400000	32.500565
4.950000	32.001038
5.500000	32.001038
6.050000	32.001038
6.600000	42.999741
7.150000	36.000290
7.700000	28.499794
8.250000	26.999695
8.800000	22.500916
9.350000	13.999847
9.900000	10.999649
10.450000	10.999649
11.000000	7.000397
11.550000	6.499352
12.100000	4.999252
12.650000	4.999252
13.200000	6.001343
13.750000	6.001343
14.300000	6.001343
14.850000	6.001343
15.400000	6.001343
15.950000	6.001343
16.500000	6.001343
17.050000	6.001343
17.600000	8.998505
18.150000	8.998505
18.700000	8.998505
19.250000	39.999542
19.800000	39.999542
20.350000	39.999542
20.900000	39.999542
21.450000	39.999542
22.000000	39.999542
22.550000	42.500214
23.100000	44.499840
23.650000	44.499840
24.200000	49.000137
24.750000	49.000137
25.300000	49.000137
25.850000	43.998795
26.400000	43.998795
26.950000	43.998795
27.500000	43.998795
28.050000	43.998795
28.600000	43.998795
29.150000	26.000641
29.700000	3.001144
30.250000	3.001144
30.800000	3.001144
31.350000	3.001144
31.900000	3.001144
32.450000	3.001144
