This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
peak height of primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	1.754841
0.550000	1.754841
1.100000	1.709063
1.650000	1.709063
2.200000	1.617506
2.750000	1.571727
3.300000	1.388613
3.850000	1.327575
4.400000	1.174981
4.950000	1.174981
5.500000	1.113943
6.050000	1.113943
6.600000	1.113943
7.150000	1.190240
7.700000	1.190240
8.250000	1.190240
8.800000	1.266537
9.350000	1.358094
9.900000	1.358094
10.450000	1.358094
11.000000	1.388613
11.550000	1.388613
12.100000	1.495430
12.650000	1.510689
13.200000	1.510689
13.750000	1.846398
14.300000	1.846398
14.850000	1.892177
15.400000	1.892177
15.950000	2.014252
16.500000	2.044771
17.050000	1.800619
17.600000	1.724322
18.150000	1.648025
18.700000	1.525949
19.250000	1.480170
19.800000	1.480170
20.350000	1.480170
20.900000	1.449651
21.450000	1.449651
22.000000	1.388613
22.550000	1.327575
23.100000	1.159721
23.650000	1.159721
24.200000	1.159721
24.750000	1.144462
25.300000	1.144462
25.850000	1.144462
26.400000	1.174981
26.950000	1.144462
27.500000	1.159721
28.050000	1.174981
28.600000	1.174981
29.150000	1.174981
29.700000	1.190240
30.250000	1.281797
30.800000	1.495430
31.350000	1.693803
31.900000	1.724322
32.450000	1.724322
