This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	1.724322
0.550000	1.648025
1.100000	1.556468
1.650000	1.525949
2.200000	1.495430
2.750000	1.419132
3.300000	1.342835
3.850000	1.266537
4.400000	1.083424
4.950000	1.083424
5.500000	1.052905
6.050000	1.052905
6.600000	1.052905
7.150000	1.129202
7.700000	1.129202
8.250000	1.159721
8.800000	1.174981
9.350000	1.251278
9.900000	1.236019
10.450000	1.236019
11.000000	1.236019
11.550000	1.281797
12.100000	1.342835
12.650000	1.327575
13.200000	1.251278
13.750000	1.251278
14.300000	1.266537
14.850000	1.419132
15.400000	1.495430
15.950000	1.617506
16.500000	1.617506
17.050000	1.495430
17.600000	1.373354
18.150000	1.281797
18.700000	1.281797
19.250000	1.266537
19.800000	1.266537
20.350000	1.205500
20.900000	1.174981
21.450000	1.144462
22.000000	1.098683
22.550000	1.037645
23.100000	1.037645
23.650000	1.007126
24.200000	1.007126
24.750000	1.007126
25.300000	1.022386
25.850000	1.022386
26.400000	1.037645
26.950000	1.052905
27.500000	1.052905
28.050000	1.068164
28.600000	1.068164
29.150000	1.068164
29.700000	1.129202
30.250000	1.205500
30.800000	1.220759
31.350000	1.220759
31.900000	1.220759
32.450000	1.220759
