This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
center-of-mass of frequency spectrum	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	47.326950
0.550000	47.326950
1.100000	47.326950
1.650000	47.755116
2.200000	48.277416
2.750000	48.277416
3.300000	47.415012
3.850000	47.415012
4.400000	47.415012
4.950000	46.579937
5.500000	45.887585
6.050000	45.887585
6.600000	45.887585
7.150000	45.975647
7.700000	45.040359
8.250000	44.627380
8.800000	43.175865
9.350000	41.648438
9.900000	41.444981
10.450000	40.992523
11.000000	40.263729
11.550000	40.142265
12.100000	40.142265
12.650000	41.420689
13.200000	42.434925
13.750000	43.792305
14.300000	44.287273
14.850000	44.287273
15.400000	44.287273
15.950000	44.685074
16.500000	44.685074
17.050000	45.450306
17.600000	46.364334
18.150000	46.756062
18.700000	47.326950
19.250000	47.326950
19.800000	47.326950
20.350000	47.260143
20.900000	47.147789
21.450000	47.147789
22.000000	47.147789
22.550000	47.497002
23.100000	47.645798
23.650000	47.645798
24.200000	47.855324
24.750000	48.681290
25.300000	49.145897
25.850000	49.145897
26.400000	49.015320
26.950000	49.015320
27.500000	48.614483
28.050000	48.067890
28.600000	47.305695
29.150000	47.305695
29.700000	46.209469
30.250000	45.146645
30.800000	43.673874
31.350000	43.664764
31.900000	43.664764
32.450000	43.664764
