This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	13.999847
0.550000	13.999847
1.100000	13.999847
1.650000	13.999847
2.200000	13.999847
2.750000	13.999847
3.300000	10.999649
3.850000	10.999649
4.400000	10.999649
4.950000	10.999649
5.500000	3.001144
6.050000	3.001144
6.600000	3.001144
7.150000	10.999649
7.700000	10.999649
8.250000	3.001144
8.800000	3.001144
9.350000	3.001144
9.900000	3.001144
10.450000	3.001144
11.000000	1.999054
11.550000	1.999054
12.100000	1.999054
12.650000	3.001144
13.200000	3.001144
13.750000	3.001144
14.300000	3.001144
14.850000	3.001144
15.400000	3.001144
15.950000	3.001144
16.500000	6.001343
17.050000	6.001343
17.600000	6.001343
18.150000	6.001343
18.700000	6.001343
19.250000	6.001343
19.800000	6.001343
20.350000	6.001343
20.900000	6.001343
21.450000	6.001343
22.000000	6.001343
22.550000	6.001343
23.100000	4.999252
23.650000	4.999252
24.200000	4.999252
24.750000	6.001343
25.300000	6.001343
25.850000	6.001343
26.400000	6.001343
26.950000	6.001343
27.500000	6.001343
28.050000	6.001343
28.600000	6.001343
29.150000	6.001343
29.700000	6.001343
30.250000	6.001343
30.800000	6.001343
31.350000	6.001343
31.900000	6.001343
32.450000	6.001343
