This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	10.999649
0.550000	12.499748
1.100000	12.499748
1.650000	12.499748
2.200000	13.999847
2.750000	10.999649
3.300000	10.999649
3.850000	10.999649
4.400000	10.999649
4.950000	10.999649
5.500000	8.998505
6.050000	3.001144
6.600000	3.001144
7.150000	3.001144
7.700000	4.000198
8.250000	4.000198
8.800000	1.999054
9.350000	1.999054
9.900000	1.999054
10.450000	1.999054
11.000000	1.999054
11.550000	1.999054
12.100000	1.999054
12.650000	3.001144
13.200000	3.001144
13.750000	4.999252
14.300000	4.999252
14.850000	3.001144
15.400000	3.001144
15.950000	3.001144
16.500000	3.001144
17.050000	3.001144
17.600000	3.001144
18.150000	3.001144
18.700000	8.998505
19.250000	8.998505
19.800000	24.500542
20.350000	39.999542
20.900000	39.999542
21.450000	39.999542
22.000000	39.999542
22.550000	39.999542
23.100000	39.999542
23.650000	39.999542
24.200000	6.001343
24.750000	6.001343
25.300000	6.001343
25.850000	6.001343
26.400000	6.001343
26.950000	6.001343
27.500000	6.001343
28.050000	6.001343
28.600000	6.001343
29.150000	6.001343
29.700000	3.001144
30.250000	3.001144
30.800000	3.001144
31.350000	3.001144
31.900000	3.001144
32.450000	3.001144
