This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv:
Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	0.169774
0.550000	0.162696
1.100000	0.150506
1.650000	0.140067
2.200000	0.135493
2.750000	0.123130
3.300000	0.113335
3.850000	0.106957
4.400000	0.101236
4.950000	0.097229
5.500000	0.095348
6.050000	0.095208
6.600000	0.088763
7.150000	0.085415
7.700000	0.089949
8.250000	0.087296
8.800000	0.080305
9.350000	0.079462
9.900000	0.081686
10.450000	0.089567
11.000000	0.085513
11.550000	0.087296
12.100000	0.083291
12.650000	0.082900
13.200000	0.086605
13.750000	0.078243
14.300000	0.080968
14.850000	0.083268
15.400000	0.080474
15.950000	0.084728
16.500000	0.086544
17.050000	0.086997
17.600000	0.081966
18.150000	0.083021
18.700000	0.083803
19.250000	0.083424
19.800000	0.086750
20.350000	0.080833
20.900000	0.083778
21.450000	0.080123
22.000000	0.076282
22.550000	0.077344
23.100000	0.080593
23.650000	0.079556
24.200000	0.079426
24.750000	0.078443
25.300000	0.076005
25.850000	0.079525
26.400000	0.073718
26.950000	0.072610
27.500000	0.072406
28.050000	0.072754
28.600000	0.066088
29.150000	0.066120
29.700000	0.068587
30.250000	0.065675
30.800000	0.072731
31.350000	0.074883
31.900000	0.076739
32.450000	0.077500
33.000000	0.078246
33.550000	0.085665
34.100000	0.083039
34.650000	0.080665
35.200000	0.076409
35.750000	0.074108
36.300000	0.061633
36.850000	0.065487
37.400000	0.064461
37.950000	0.057215
38.500000	0.061671
39.050000	0.066318
39.600000	0.067556
40.150000	0.069220
40.700000	0.063227
41.250000	0.065094
41.800000	0.065408
42.350000	0.065581
42.900000	0.069453
43.450000	0.071143
44.000000	0.071556
44.550000	0.070376
45.100000	0.066273
45.650000	0.065719
46.200000	0.064902
46.750000	0.072037
47.300000	0.073856
47.850000	0.077261
48.400000	0.075694
48.950000	0.076179
49.500000	0.077930
50.050000	0.078930
50.600000	0.074105
51.150000	0.066822
51.700000	0.061359
52.250000	0.065821
52.800000	0.069806
53.350000	0.070721
53.900000	0.070064
54.450000	0.063684
55.000000	0.054031
55.550000	0.056361
56.100000	0.065788
56.650000	0.067353
57.200000	0.059060
57.750000	0.057991
58.300000	0.062050
58.850000	0.066092
59.400000	0.069903
59.950000	0.074400
60.500000	0.070398
61.050000	0.070644
61.600000	0.068221
62.150000	0.071453
62.700000	0.067952
63.250000	0.069542
63.800000	0.075213
64.350000	0.063979
64.900000	0.071349
65.450000	0.070137
66.000000	0.066546
66.550000	0.066857
67.100000	0.066335
67.650000	0.065775
68.200000	0.063289
68.750000	0.062411
69.300000	0.061196
69.850000	0.062576
70.400000	0.058491
70.950000	0.062608
71.500000	0.062598
72.050000	0.062662
72.600000	0.064698
73.150000	0.067531
73.700000	0.071666
74.250000	0.073206
74.800000	0.058309
75.350000	0.065528
75.900000	0.064204
76.450000	0.066535
77.000000	0.067250
77.550000	0.062093
78.100000	0.065487
78.650000	0.066039
