This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Curv:
Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	-0.145690
0.550000	-0.135446
1.100000	-0.139105
1.650000	-0.115061
2.200000	-0.124873
2.750000	-0.118691
3.300000	-0.111712
3.850000	-0.108061
4.400000	-0.099874
4.950000	-0.093221
5.500000	-0.090556
6.050000	-0.088889
6.600000	-0.089829
7.150000	-0.090686
7.700000	-0.088801
8.250000	-0.088083
8.800000	-0.091999
9.350000	-0.092346
9.900000	-0.089929
10.450000	-0.090163
11.000000	-0.091131
11.550000	-0.091451
12.100000	-0.091563
12.650000	-0.090259
13.200000	-0.091343
13.750000	-0.092220
14.300000	-0.093003
14.850000	-0.091593
15.400000	-0.094920
15.950000	-0.090296
16.500000	-0.091860
17.050000	-0.087943
17.600000	-0.086642
18.150000	-0.086441
18.700000	-0.087664
19.250000	-0.086343
19.800000	-0.083734
20.350000	-0.083903
20.900000	-0.083776
21.450000	-0.080360
22.000000	-0.084157
22.550000	-0.081719
23.100000	-0.081603
23.650000	-0.077911
24.200000	-0.078268
24.750000	-0.080120
25.300000	-0.078964
25.850000	-0.078970
26.400000	-0.080706
26.950000	-0.081806
27.500000	-0.078056
28.050000	-0.075872
28.600000	-0.075526
29.150000	-0.077002
29.700000	-0.081255
30.250000	-0.079925
30.800000	-0.076917
31.350000	-0.071012
31.900000	-0.070388
32.450000	-0.063365
33.000000	-0.061246
33.550000	-0.073708
34.100000	-0.067964
34.650000	-0.064543
35.200000	-0.071910
35.750000	-0.064801
36.300000	-0.057931
36.850000	-0.056217
37.400000	-0.062631
37.950000	-0.059930
38.500000	-0.058319
39.050000	-0.061276
39.600000	-0.062318
40.150000	-0.064317
40.700000	-0.054728
41.250000	-0.062165
41.800000	-0.062328
42.350000	-0.045920
42.900000	-0.040517
43.450000	-0.062958
44.000000	-0.060487
44.550000	-0.062484
45.100000	-0.059045
45.650000	-0.068068
46.200000	-0.071358
46.750000	-0.068646
47.300000	-0.070629
47.850000	-0.074164
48.400000	-0.075117
48.950000	-0.072302
49.500000	-0.063636
50.050000	-0.060145
50.600000	-0.060437
51.150000	-0.062750
51.700000	-0.063151
52.250000	-0.066568
52.800000	-0.070994
53.350000	-0.072476
53.900000	-0.071398
54.450000	-0.072910
55.000000	-0.073985
55.550000	-0.071049
56.100000	-0.067200
56.650000	-0.062033
57.200000	-0.060448
57.750000	-0.057179
58.300000	-0.056172
58.850000	-0.060100
59.400000	-0.066045
59.950000	-0.068774
60.500000	-0.069316
61.050000	-0.071127
61.600000	-0.069737
62.150000	-0.067720
62.700000	-0.066618
63.250000	-0.066449
63.800000	-0.067023
64.350000	-0.058392
64.900000	-0.048810
65.450000	-0.038749
66.000000	-0.031843
66.550000	-0.039767
67.100000	-0.040091
67.650000	-0.040424
68.200000	-0.041777
68.750000	-0.058038
69.300000	-0.057633
69.850000	-0.055741
70.400000	-0.059220
70.950000	-0.061490
71.500000	-0.073135
72.050000	-0.072968
72.600000	-0.074207
73.150000	-0.060923
73.700000	-0.068458
74.250000	-0.065401
74.800000	-0.062974
75.350000	-0.062516
75.900000	-0.067164
76.450000	-0.068057
77.000000	-0.062693
77.550000	-0.059754
78.100000	-0.063393
78.650000	-0.059360
79.200000	-0.050109
79.750000	-0.045571
80.300000	-0.043735
80.850000	-0.052031
81.400000	-0.053853
81.950000	-0.047069
82.500000	-0.047068
83.050000	-0.055428
83.600000	-0.052863
84.150000	-0.057977
84.700000	-0.055574
85.250000	-0.053458
85.800000	-0.050860
86.350000	-0.054862
86.900000	-0.058261
87.450000	-0.037072
88.000000	-0.061677
88.550000	-0.050833
89.100000	-0.053515
89.650000	-0.055943
90.200000	-0.056565
90.750000	-0.057135
91.300000	-0.050750
91.850000	-0.040579
92.400000	-0.037618
92.950000	-0.038756
93.500000	-0.031962
94.050000	-0.039588
94.600000	-0.042422
95.150000	-0.044340
95.700000	-0.055604
96.250000	-0.052513
96.800000	-0.052725
97.350000	-0.052435
97.900000	-0.044143
98.450000	-0.052381
99.000000	-0.050569
99.550000	-0.057752
100.100000	-0.059565
100.650000	-0.059163
101.200000	-0.045013
101.750000	-0.059755
102.300000	-0.061873
102.850000	-0.061062
103.400000	-0.065662
103.950000	-0.071451
104.500000	-0.076545
105.050000	-0.077808
105.600000	-0.075927
106.150000	-0.073181
106.700000	-0.068654
107.250000	-0.057575
107.800000	-0.057096
108.350000	-0.045544
108.900000	-0.047646
109.450000	-0.038759
110.000000	-0.036797
110.550000	-0.036262
111.100000	-0.037815
111.650000	-0.039455
112.200000	-0.037841
112.750000	-0.040005
113.300000	-0.045105
113.850000	-0.049462
114.400000	-0.056299
114.950000	-0.060269
115.500000	-0.058858
116.050000	-0.064597
116.600000	-0.071014
117.150000	-0.069833
117.700000	-0.065162
118.250000	-0.062261
118.800000	-0.056503
119.350000	-0.059016
119.900000	-0.061159
120.450000	-0.062520
121.000000	-0.061548
121.550000	-0.056928
122.100000	-0.056047
122.650000	-0.055623
123.200000	-0.059189
123.750000	-0.058723
124.300000	-0.059057
124.850000	-0.059203
125.400000	-0.056330
125.950000	-0.050838
126.500000	-0.045406
127.050000	-0.051469
127.600000	-0.051970
128.150000	-0.060383
128.700000	-0.061294
129.250000	-0.048390
129.800000	-0.051051
130.350000	-0.047091
130.900000	-0.044251
131.450000	-0.051369
132.000000	-0.037710
132.550000	-0.045554
133.100000	-0.050186
133.650000	-0.055383
134.200000	-0.061613
134.750000	-0.059426
135.300000	-0.059344
135.850000	-0.062306
136.400000	-0.062497
136.950000	-0.063301
137.500000	-0.065139
138.050000	-0.064509
138.600000	-0.063629
139.150000	-0.055186
139.700000	-0.051438
140.250000	-0.051011
140.800000	-0.049452
141.350000	-0.047423
141.900000	-0.051372
142.450000	-0.044643
143.000000	-0.043842
143.550000	-0.034050
144.100000	-0.044212
144.650000	-0.041781
145.200000	-0.039680
145.750000	-0.039534
146.300000	-0.038569
146.850000	-0.047386
147.400000	-0.046909
147.950000	-0.052698
148.500000	-0.045358
149.050000	-0.063257
149.600000	-0.068668
150.150000	-0.073208
150.700000	-0.070709
151.250000	-0.057789
151.800000	-0.053840
152.350000	-0.044950
152.900000	-0.039266
153.450000	-0.040406
154.000000	-0.048214
154.550000	-0.051800
155.100000	-0.056541
155.650000	-0.055049
