This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter head coordinates:
	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359		
time	X	Y	Z (fit width)
0.000000	70.949997	78.099998	0.638206
0.005000	68.750000	73.150002	0.685263
0.010000	69.849998	77.000000	1.383855
0.015000	62.700001	84.699997	0.000000
0.020000	72.466011	85.853592	1.185350
0.025000	75.320312	94.570312	1.479171
0.030000	74.250000	90.750000	0.764103
0.035000	67.650002	82.500000	0.638003
0.040000	67.650002	80.300003	0.605295
0.045000	67.650002	80.849998	0.891680
0.050000	67.650002	83.599998	0.513613
0.055000	67.099998	75.900002	0.732337
0.060000	66.550003	80.849998	0.574585
0.065000	66.000000	78.650002	1.068299
0.070000	64.900002	74.250000	2.738410
0.075000	76.193932	80.006065	1.966199
0.080000	76.931229	78.453560	4.042701
0.085000	73.699997	78.650002	0.563035
0.090000	63.250000	88.550003	0.000000
0.095000	65.449997	75.900002	0.715560
0.100000	74.250000	77.000000	0.175652
0.105000	75.539558	78.379204	1.531694
0.110000	76.150368	77.579964	2.070836
0.115000	76.097816	76.885658	2.147443
0.120000	68.750000	78.099998	0.590812
0.125000	68.750000	77.000000	4.533340
0.130000	77.550003	77.000000	0.809561
0.135000	77.794960	79.199997	1.325480
0.140000	63.250000	81.949997	2.582071
0.145000	70.949997	79.199997	0.652218
0.150000	67.010559	75.439438	0.748230
0.155000	51.700001	28.049999	1.900743
0.160000	75.618355	54.557343	0.411044
0.165000	61.599998	61.049999	0.388012
0.170000	26.950001	19.250000	0.876761
0.175000	136.928558	30.871462	0.683446
0.180000	50.599998	69.300003	0.150436
0.185000	47.849998	45.650002	1.507135
0.190000	44.549999	29.700001	0.592889
0.195000	56.650002	23.100000	0.198633
0.200000	31.900000	33.549999	0.845391
0.205000	53.326324	17.102633	0.639689
0.210000	44.000000	58.299999	0.234842
0.215000	50.599998	59.950001	0.755877
0.220000	80.849998	37.950001	1.260884
0.225000	50.599998	42.349998	1.057304
