This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter max Intensity in head:
	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
minimum	2.306896
maximum	236.354431
average	54.312729
median	9.127947
time
0.000000	69.160362
0.005000	39.657001
0.010000	38.349628
0.015000	50.219959
0.020000	152.189697
0.025000	149.531403
0.030000	144.410645
0.035000	39.830357
0.040000	43.452835
0.045000	45.601383
0.050000	52.355881
0.055000	29.695471
0.060000	44.653034
0.065000	42.071411
0.070000	26.223799
0.075000	41.473095
0.080000	47.080341
0.085000	34.007164
0.090000	27.125387
0.095000	24.475248
0.100000	25.533691
0.105000	44.404613
0.110000	40.890747
0.115000	31.481768
0.120000	46.949665
0.125000	37.717918
0.130000	22.513790
0.135000	34.668236
0.140000	25.605194
0.145000	39.898365
0.150000	30.348700
0.155000	7.267477
0.160000	5.801119
0.165000	10.621483
0.170000	6.122382
0.175000	
0.180000	5.453637
0.185000	5.356541
0.190000	4.564628
0.195000	7.509812
0.200000	4.917510
0.205000	6.049314
0.210000	7.443255
0.215000	5.430210
0.220000	14.948563
0.225000	5.292793
0.230000	4.811712
0.235000	4.828157
0.240000	
0.245000	5.613463
0.250000	5.537920
0.255000	7.300778
0.260000	3.829870
0.265000	4.769786
0.270000	6.407486
0.275000	2.678481
0.280000	4.367884
0.285000	
0.290000	
0.295000	5.458929
0.300000	6.129536
0.305000	
0.310000	7.921942
0.315000	6.084999
0.320000	5.759832
0.325000	3.674406
0.330000	4.932941
0.335000	3.972284
0.340000	5.759142
0.345000	4.211502
0.350000	4.546428
0.355000	5.057212
0.360000	
0.365000	
0.370000	2.868182
0.375000	4.497532
0.380000	5.166059
0.385000	6.483811
0.390000	6.811229
0.395000	6.051335
0.400000	6.878059
0.405000	5.968411
0.410000	5.782272
0.415000	4.926299
0.420000	
0.425000	8.107404
0.430000	4.536597
0.435000	6.795217
0.440000	5.723263
0.445000	5.163051
0.450000	2.887911
0.455000	5.066282
0.460000	5.299656
0.465000	6.008523
0.470000	6.389065
0.475000	5.231937
0.480000	7.946393
0.485000	5.081045
0.490000	6.547275
0.495000	8.114561
0.500000	3.430053
0.505000	
0.510000	5.815032
0.515000	
0.520000	2.962626
0.525000	4.637841
0.530000	6.096305
0.535000	4.672614
0.540000	3.788822
0.545000	
0.550000	4.813468
0.555000	
0.560000	3.346835
0.565000	9.579078
0.570000	7.793939
0.575000	3.929570
0.580000	7.894830
0.585000	3.078919
0.590000	5.430666
0.595000	6.257464
0.600000	5.605115
0.605000	
0.610000	6.316102
0.615000	5.377032
0.620000	3.696675
0.625000	4.249424
0.630000	7.210238
0.635000	7.278463
0.640000	6.986820
0.645000	5.425193
0.650000	6.899311
0.655000	6.830877
0.660000	5.791378
0.665000	6.793794
0.670000	4.975151
0.675000	4.917337
0.680000	
0.685000	3.774266
0.690000	4.384899
0.695000	5.724882
0.700000	
0.705000	4.424623
0.710000	6.873177
0.715000	4.737153
