This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter angle theta:
	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
minimum	2.288371
maximum	359.852417
average	139.485779
median	92.815781
time
0.000000	53.243488
0.005000	64.843109
0.010000	55.916752
0.015000	77.711411
0.020000	86.071381
0.025000	141.323334
0.030000	135.817566
0.035000	52.563004
0.040000	86.181831
0.045000	84.786201
0.050000	88.689590
0.055000	73.509819
0.060000	83.050819
0.065000	81.923782
0.070000	85.830765
0.075000	84.181198
0.080000	160.080078
0.085000	45.510086
0.090000	342.063202
0.095000	58.842083
0.100000	51.952862
0.105000	58.730618
0.110000	55.177074
0.115000	56.781242
0.120000	61.833286
0.125000	65.394974
0.130000	78.130463
0.135000	137.613007
0.140000	32.529327
0.145000	66.749268
0.150000	248.042587
0.155000	55.188446
0.160000	92.281288
0.165000	211.375198
0.170000	89.076515
0.175000	117.635803
0.180000	53.569324
0.185000	255.981049
0.190000	223.650085
0.195000	108.629974
0.200000	343.998444
0.205000	59.491039
0.210000	42.605770
0.215000	87.898735
0.220000	215.243927
0.225000	325.782593
0.230000	91.067101
0.235000	124.341377
0.240000	61.084759
0.245000	250.874390
0.250000	252.765625
0.255000	16.340956
0.260000	62.817013
0.265000	343.390472
0.270000	90.422630
0.275000	139.337646
0.280000	203.850235
0.285000	150.965256
0.290000	307.286560
0.295000	97.642265
0.300000	264.617065
0.305000	253.873154
0.310000	98.653999
0.315000	220.071716
0.320000	224.221161
0.325000	254.122772
0.330000	319.102173
0.335000	331.793854
0.340000	284.955841
0.345000	28.763857
0.350000	250.376862
0.355000	243.836792
0.360000	22.082380
0.365000	69.080688
0.370000	157.582016
0.375000	311.398560
0.380000	272.498962
0.385000	205.459702
0.390000	281.153015
0.395000	12.986716
0.400000	25.889118
0.405000	203.032761
0.410000	198.462738
0.415000	297.045044
0.420000	191.414474
0.425000	136.113663
0.430000	34.326576
0.435000	179.264603
0.440000	357.449646
0.445000	189.618271
0.450000	129.049652
0.455000	156.568039
0.460000	67.625122
0.465000	122.865089
0.470000	231.838882
0.475000	202.064804
0.480000	78.482529
0.485000	241.453247
0.490000	26.989777
0.495000	274.411652
0.500000	168.067841
0.505000	9.067217
0.510000	66.137901
0.515000	304.162018
0.520000	18.116976
0.525000	290.335693
0.530000	49.785599
0.535000	330.068634
0.540000	208.841110
0.545000	117.687241
0.550000	326.830597
0.555000	169.667847
0.560000	335.628296
0.565000	98.579758
0.570000	186.580338
0.575000	249.987976
0.580000	115.971878
0.585000	92.820724
0.590000	222.921753
0.595000	181.771149
0.600000	60.534706
0.605000	144.623932
0.610000	177.615234
0.615000	66.581474
0.620000	250.139496
0.625000	196.590149
0.630000	48.994484
0.635000	56.246311
0.640000	113.611794
0.645000	111.563972
0.650000	163.959244
0.655000	63.815735
0.660000	210.514206
0.665000	159.615921
0.670000	136.447083
0.675000	80.610855
0.680000	127.312340
0.685000	202.670105
0.690000	113.625305
0.695000	191.156494
0.700000	226.131851
0.705000	54.397141
0.710000	359.852417
0.715000	80.862709
0.720000	110.960892
0.725000	82.326141
0.730000	305.852722
0.735000	205.596191
0.740000	82.715195
0.745000	326.379883
0.750000	91.343567
0.755000	52.383823
0.760000	108.075256
0.765000	290.328369
0.770000	99.358612
0.775000	63.515602
0.780000	328.786957
0.785000	251.653198
0.790000	82.894539
0.795000	24.084967
0.800000	359.737274
0.805000	79.277946
0.810000	77.224297
0.815000	
0.820000	15.837011
0.825000	
0.830000	
0.835000	49.229053
0.840000	
0.845000	61.244877
0.850000	275.529938
0.855000	62.134933
0.860000	
0.865000	357.342773
0.870000	70.017960
0.875000	59.479195
0.880000	73.896149
0.885000	77.256096
0.890000	81.835289
0.895000	80.504745
0.900000	73.729767
0.905000	72.228279
0.910000	75.629021
0.915000	70.899651
0.920000	78.349037
0.925000	69.767303
0.930000	106.820282
0.935000	45.665821
0.940000	167.114700
0.945000	23.535545
0.950000	68.189178
0.955000	75.301949
0.960000	102.782043
0.965000	24.224957
0.970000	68.101753
0.975000	182.022598
0.980000	21.919350
0.985000	42.232681
0.990000	54.284554
0.995000	50.650417
1.000000	28.649876
1.005000	57.008751
1.010000	63.952122
1.015000	67.654381
1.020000	70.039337
1.025000	69.610992
1.030000	79.992020
1.035000	80.035240
1.040000	78.478394
1.045000	74.447899
1.050000	76.406067
1.055000	70.999245
1.060000	89.867310
1.065000	92.297241
1.070000	75.225281
1.075000	86.282562
1.080000	78.743042
