This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	38.834930
0.550000	37.970589
1.100000	37.106293
1.650000	36.794060
2.200000	35.211987
2.750000	34.520008
3.300000	33.761375
3.850000	32.244946
4.400000	31.675575
4.950000	30.662113
5.500000	29.940414
6.050000	29.729137
6.600000	29.486143
7.150000	28.945482
7.700000	28.337194
8.250000	31.440746
8.800000	32.868122
9.350000	32.933067
9.900000	32.870556
10.450000	32.821022
11.000000	32.684437
11.550000	31.955677
12.100000	30.280453
12.650000	29.154718
13.200000	29.224304
13.750000	29.350357
14.300000	29.363464
14.850000	31.743061
15.400000	32.253754
15.950000	32.168694
16.500000	31.987156
17.050000	31.021128
17.600000	31.032879
18.150000	31.113152
18.700000	31.652653
19.250000	32.121674
19.800000	32.552048
20.350000	33.086182
20.900000	33.542850
21.450000	34.027596
22.000000	34.603436
22.550000	35.017330
23.100000	35.221241
23.650000	35.704788
24.200000	36.094425
24.750000	36.467133
25.300000	36.762966
25.850000	36.902020
26.400000	36.812592
26.950000	36.987198
27.500000	36.943077
28.050000	36.933296
28.600000	37.136372
29.150000	37.619389
29.700000	37.625961
30.250000	37.875313
30.800000	37.897488
31.350000	37.891838
31.900000	37.973091
32.450000	37.973091
