This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	37.637566
0.550000	37.915791
1.100000	36.397781
1.650000	34.563744
2.200000	32.821350
2.750000	32.530483
3.300000	32.561127
3.850000	32.627468
4.400000	34.214237
4.950000	32.479694
5.500000	28.734886
6.050000	26.148088
6.600000	20.719370
7.150000	13.892667
7.700000	14.096338
8.250000	14.310483
8.800000	16.637339
9.350000	16.836285
9.900000	17.412874
10.450000	13.782635
11.000000	13.086067
11.550000	10.084386
12.100000	10.731544
12.650000	9.650535
13.200000	8.243082
13.750000	6.099730
14.300000	5.624547
14.850000	5.090489
15.400000	6.833382
15.950000	9.394547
16.500000	11.701691
17.050000	12.977425
17.600000	15.042338
18.150000	15.042338
18.700000	14.589784
19.250000	22.953375
19.800000	25.726101
20.350000	25.598742
20.900000	33.419788
21.450000	41.998768
22.000000	54.999016
22.550000	56.648972
23.100000	48.574097
23.650000	49.811680
24.200000	48.881531
24.750000	63.657188
25.300000	63.907154
25.850000	68.455574
26.400000	67.123932
26.950000	64.124191
27.500000	65.605545
28.050000	63.873779
28.600000	68.061111
29.150000	68.248627
29.700000	69.292740
30.250000	69.432053
30.800000	66.883369
31.350000	44.544559
31.900000	35.332565
32.450000	35.332565
