This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
peak height of secondary frequency	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	12.000183
0.550000	16.000244
1.100000	20.000305
1.650000	24.000366
2.200000	31.000473
2.750000	33.000504
3.300000	40.000610
3.850000	42.000641
4.400000	44.000671
4.950000	45.000687
5.500000	53.000809
6.050000	54.000824
6.600000	54.000824
7.150000	70.001068
7.700000	70.001068
8.250000	70.001068
8.800000	67.001022
9.350000	67.001022
9.900000	67.001022
10.450000	74.001129
11.000000	85.001297
11.550000	88.001343
12.100000	92.001404
12.650000	94.001434
13.200000	101.001541
13.750000	114.001740
14.300000	140.002136
14.850000	152.002319
15.400000	152.002319
15.950000	173.002640
16.500000	182.002777
17.050000	182.002777
17.600000	185.002823
18.150000	189.002884
18.700000	189.002884
19.250000	189.002884
19.800000	189.002884
20.350000	189.002884
20.900000	186.002838
21.450000	183.002792
22.000000	180.002747
22.550000	182.002777
23.100000	188.002869
23.650000	192.002930
24.200000	202.003082
24.750000	212.003235
25.300000	214.003265
25.850000	219.003342
26.400000	212.003235
26.950000	226.003448
27.500000	243.003708
28.050000	260.003967
28.600000	266.004059
29.150000	266.004059
29.700000	278.004242
30.250000	294.004486
30.800000	294.004486
31.350000	294.004486
31.900000	294.004486
32.450000	294.004486
