This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	22.001389
0.550000	29.999893
1.100000	30.500938
1.650000	30.500938
2.200000	30.500938
2.750000	34.500191
3.300000	36.000290
3.850000	39.000488
4.400000	36.000290
4.950000	20.000244
5.500000	12.000221
6.050000	7.000397
6.600000	4.999252
7.150000	4.999252
7.700000	3.001144
8.250000	3.001144
8.800000	3.001144
9.350000	3.001144
9.900000	3.001144
10.450000	3.001144
11.000000	3.001144
11.550000	3.001144
12.100000	7.000397
12.650000	11.998703
13.200000	11.998703
13.750000	7.000397
14.300000	5.999825
14.850000	7.000397
15.400000	1.999054
15.950000	1.999054
16.500000	1.999054
17.050000	11.998703
17.600000	11.998703
18.150000	11.998703
18.700000	6.998878
19.250000	5.249775
19.800000	5.249775
20.350000	1.999054
20.900000	1.999054
21.450000	11.998703
22.000000	11.998703
22.550000	11.998703
23.100000	85.998535
23.650000	85.998535
24.200000	85.998535
24.750000	85.998535
25.300000	85.998535
25.850000	85.998535
26.400000	85.998535
26.950000	85.998535
27.500000	1.999054
28.050000	1.999054
28.600000	1.999054
29.150000	1.999054
29.700000	1.999054
30.250000	1.999054
30.800000	1.999054
31.350000	1.999054
31.900000	1.999054
32.450000	1.999054
