This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter X_f:
peak height of secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	9.000137
0.550000	11.000168
1.100000	13.000198
1.650000	16.000244
2.200000	19.000290
2.750000	22.000336
3.300000	23.000351
3.850000	23.000351
4.400000	23.000351
4.950000	23.000351
5.500000	26.000397
6.050000	28.000427
6.600000	32.000488
7.150000	44.000671
7.700000	45.000687
8.250000	45.000687
8.800000	45.000687
9.350000	45.000687
9.900000	46.000702
10.450000	51.000778
11.000000	54.000824
11.550000	54.000824
12.100000	57.000870
12.650000	81.001236
13.200000	81.001236
13.750000	85.001297
14.300000	108.001648
14.850000	114.001740
15.400000	114.001740
15.950000	116.001770
16.500000	115.001755
17.050000	115.001755
17.600000	115.001755
18.150000	115.001755
18.700000	119.001816
19.250000	124.001892
19.800000	130.001984
20.350000	132.002014
20.900000	145.002213
21.450000	155.002365
22.000000	164.002502
22.550000	168.002563
23.100000	171.002609
23.650000	174.002655
24.200000	174.002655
24.750000	180.002747
25.300000	184.002808
25.850000	192.002930
26.400000	196.002991
26.950000	199.003036
27.500000	224.003418
28.050000	235.003586
28.600000	237.003616
29.150000	244.003723
29.700000	250.003815
30.250000	256.003906
30.800000	256.003906
31.350000	258.003937
31.900000	258.003937
32.450000	258.003937
