This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	48.562752
0.550000	48.440716
1.100000	48.284111
1.650000	48.601360
2.200000	48.436794
2.750000	48.086884
3.300000	47.917652
3.850000	47.358974
4.400000	46.948704
4.950000	46.712124
5.500000	46.337360
6.050000	46.193043
6.600000	46.041367
7.150000	45.527943
7.700000	45.719795
8.250000	45.859928
8.800000	46.314682
9.350000	46.582619
9.900000	46.880596
10.450000	46.941837
11.000000	46.649719
11.550000	46.415016
12.100000	46.370014
12.650000	46.386864
13.200000	46.297218
13.750000	46.344498
14.300000	46.493267
14.850000	46.313541
15.400000	46.236290
15.950000	46.197960
16.500000	46.032909
17.050000	46.021328
17.600000	46.021328
18.150000	46.021328
18.700000	45.916016
19.250000	45.849072
19.800000	45.806561
20.350000	45.851601
20.900000	45.889820
21.450000	45.888702
22.000000	45.864048
22.550000	45.879082
23.100000	45.869820
23.650000	45.989311
24.200000	45.989578
24.750000	46.289059
25.300000	46.459431
25.850000	46.571739
26.400000	46.918331
26.950000	46.917645
27.500000	47.404293
28.050000	47.514652
28.600000	47.565136
29.150000	47.764606
29.700000	47.758865
30.250000	47.907555
30.800000	47.885693
31.350000	47.850357
31.900000	47.968693
32.450000	47.968693
