This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
secondary frequency	Results Average:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	44.045490
0.550000	43.236877
1.100000	43.295502
1.650000	43.188385
2.200000	42.535492
2.750000	40.048313
3.300000	40.173328
3.850000	32.826366
4.400000	27.714094
4.950000	19.999763
5.500000	17.479446
6.050000	18.066402
6.600000	19.627605
7.150000	19.535624
7.700000	20.611847
8.250000	20.402584
8.800000	19.836220
9.350000	16.622030
9.900000	17.035292
10.450000	17.956261
11.000000	19.053339
11.550000	18.245565
12.100000	15.728024
12.650000	10.383141
13.200000	9.935347
13.750000	9.132724
14.300000	9.790814
14.850000	9.419631
15.400000	9.332366
15.950000	8.913798
16.500000	5.501310
17.050000	5.436000
17.600000	5.436000
18.150000	5.305557
18.700000	5.273930
19.250000	5.001184
19.800000	4.955635
20.350000	4.601149
20.900000	3.580024
21.450000	3.580024
22.000000	3.551080
22.550000	3.151154
23.100000	3.151154
23.650000	3.751194
24.200000	3.707073
24.750000	4.264386
25.300000	4.422291
25.850000	4.351233
26.400000	4.688756
26.950000	4.422291
27.500000	19.411850
28.050000	18.187370
28.600000	18.374695
29.150000	10.468616
29.700000	10.294077
30.250000	14.932703
30.800000	12.268497
31.350000	12.272000
31.900000	10.833309
32.450000	10.833309
