This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
center-of-mass of frequency spectrum	Results Maximum:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	50.475945
0.550000	50.190498
1.100000	50.308929
1.650000	50.363586
2.200000	50.363586
2.750000	50.363586
3.300000	50.251232
3.850000	49.762333
4.400000	49.218777
4.950000	48.675217
5.500000	48.496056
6.050000	48.496056
6.600000	47.651871
7.150000	48.137733
7.700000	49.516365
8.250000	49.804848
8.800000	49.804848
9.350000	49.804848
9.900000	49.777515
10.450000	49.616573
11.000000	48.930294
11.550000	47.925167
12.100000	47.925167
12.650000	47.235851
13.200000	47.184227
13.750000	47.184227
14.300000	47.184227
14.850000	47.050617
15.400000	46.956478
15.950000	46.956478
16.500000	46.774281
17.050000	46.774281
17.600000	46.774281
18.150000	46.774281
18.700000	46.680145
19.250000	46.661926
19.800000	46.661926
20.350000	46.661926
20.900000	46.658890
21.450000	46.658890
22.000000	46.658890
22.550000	46.658890
23.100000	46.658890
23.650000	46.658890
24.200000	46.658890
24.750000	47.175117
25.300000	47.217632
25.850000	47.384647
26.400000	47.457523
26.950000	47.630615
27.500000	48.174171
28.050000	48.222759
28.600000	48.240978
29.150000	48.368515
29.700000	48.368515
30.250000	48.368515
30.800000	48.250088
31.350000	48.207573
31.900000	48.280453
32.450000	48.280453
