This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:13

This file contains the kymograph results for the parameter Y_f:
primary frequency	Results Median:
arc length	Rabbit delta 78 heterozygote019_SpQP_spq_210215_205359
0.000000	16.000992
0.550000	16.000992
1.100000	16.000992
1.650000	16.000992
2.200000	16.000992
2.750000	16.000992
3.300000	16.000992
3.850000	14.998901
4.400000	14.998901
4.950000	13.999847
5.500000	13.999847
6.050000	13.999847
6.600000	13.999847
7.150000	16.000992
7.700000	10.999649
8.250000	7.000397
8.800000	7.000397
9.350000	10.999649
9.900000	10.999649
10.450000	10.999649
11.000000	10.999649
11.550000	7.501442
12.100000	9.499550
12.650000	10.999649
13.200000	10.999649
13.750000	10.999649
14.300000	8.998505
14.850000	8.998505
15.400000	8.998505
15.950000	8.998505
16.500000	10.999649
17.050000	10.999649
17.600000	10.999649
18.150000	10.999649
18.700000	10.999649
19.250000	10.999649
19.800000	10.999649
20.350000	10.999649
20.900000	10.999649
21.450000	10.999649
22.000000	10.999649
22.550000	10.999649
23.100000	10.999649
23.650000	10.999649
24.200000	10.999649
24.750000	10.999649
25.300000	10.999649
25.850000	10.999649
26.400000	10.999649
26.950000	10.999649
27.500000	10.999649
28.050000	10.999649
28.600000	10.999649
29.150000	10.999649
29.700000	10.999649
30.250000	10.999649
30.800000	10.999649
31.350000	10.999649
31.900000	10.999649
32.450000	10.999649
